KEY,Title,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,AVG,notes,questions
2-s2.0-85085038180,Team SVMrank: Leveraging feature-rich support vector machines for ranking explanations to elementary science questions,1,1,1,1,1,1,0,0,0,0.6666666667,,
2-s2.0-85087103850,Automated ontology-based annotation of scientific literature using deep learning,1,1,1,1,1,1,0,0,0,0.6666666667,,
NB39QA35,Learning to activate logic rules for textual reasoning,1,1,1,0,1,1,1,0,0,0.6666666667,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model,1,1,1,1,1,1,0,0,0,0.6666666667,,
2-s2.0-85070277710,A novel NLP-fuzzy system prototype for information extraction from medical guidelines,1,1,1,1,1,1,0,0,0,0.6666666667,the link to the code is stale,
2-s2.0-85083026315,Causal relation classification using convolutional neural networks and grammar tags,1,1,1,1,1,1,0,0,0,0.6666666667,,
2-s2.0-85096590382,Neural-Symbolic Relational Reasoning on Graph Models: Effective Link Inference and Computation from Knowledge Bases,1,1,1,1,1,1,1,0,0,0.7777777778,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations,1,1,1,1,1,1,1,0,0,0.7777777778,,
2-s2.0-85085049747,Graph enhanced cross-domain text-to-SQL generation,1,1,1,1,1,1,1,0,0,0.7777777778,,
2-s2.0-85067488804,Semantic Fake News Detection: A Machine Learning Perspective,1,1,1,1,1,1,1,0,0,0.7777777778,,
B47SSE6P,Fuzzy commonsense reasoning for multimodal sentiment analysis,1,1,1,1,1,1,0,1,0,0.7777777778,,
GS3TRUYZ,Semi-supervised learning for big social data analysis,1,1,1,1,1,1,0,0,1,0.7777777778,,
2-s2.0-85080593464,Attentive tensor product learning,1,1,1,1,1,1,1,0,0,0.7777777778,,
2-s2.0-85072850367,Jointly Learning to Detect Emotions and Predict Facebook Reactions,1,1,1,1,1,1,1,0,0,0.7777777778,,
2-s2.0-85083954234,"The neuro-symbolic concept learner: Interpreting scenes, words, and sentences from natural supervision",1,1,1,1,1,1,1,1,0,0.8888888889,,
2-s2.0-85081087069,Cases without borders: Automating knowledge acquisition approach using deep autoencoders and siamese networks in case-based reasoning,1,1,1,1,1,1,1,0,1,0.8888888889,,
2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis,1,1,1,1,1,1,1,0,1,0.8888888889,,
2-s2.0-85075592929,Complementing logical reasoning with sub-symbolic commonsense,1,1,1,1,1,1,1,1,1,1,,
,Modeling Content and Context with Deep Relational Learning,1,1,1,1,1,1,1,1,1,1,,
,{N}eural{L}og: Natural Language Inference with Joint Neural and Logical Reasoning,1,1,1,1,1,1,0,0,0,0.6666666667,,
,Graph-based Argument Quality Assessment,1,1,1,1,1,1,1,0,0,0.7777777778,,
,A Neuro-Symbolic Approach for Question Answering on Research Articles,1,0,1,1,1,1,0,0,0,0.5555555556,,
,Applied Medical Code Mapping with Character-based Deep Learning Models and Word-based Logic,1,1,1,1,1,0,1,0,0,0.6666666667,,
,Temporal Reasoning on Implicit Events from Distant Supervision,1,1,1,1,1,1,1,0,0,0.7777777778,,
,Adaptable and Interpretable Neural {M}emory{O}ver Symbolic Knowledge,1,1,1,1,1,1,1,0,0,0.7777777778,,
,{NOAHQA}: Numerical Reasoning with Interpretable Graph Question Answering Dataset,1,1,1,1,1,1,0,0,0,0.6666666667,,
,Neuro-Symbolic Approaches for Text-Based Policy Learning,1,1,1,1,1,1,1,0,,0.7777777778,,
,Neural Natural Logic Inference for Interpretable Question Answering,1,1,1,1,1,1,0,1,0,0.7777777778,,
,Case-based Reasoning for Natural Language Queries over Knowledge Bases,1,1,1,1,1,1,1,0,0,0.7777777778,,
,Variational Deep Logic Network for Joint Inference of Entities and Relations,1,1,1,1,1,1,1,0,1,0.8888888889,,
,Abstractive Text Summarization: Enhancing Sequence-to-Sequence Models Using Word Sense Disambiguation and Semantic Content Generalization,1,1,1,1,1,1,1,0,0,0.7777777778,,
,Augmenting Neural Networks with First-order Logic,1,1,1,1,1,1,0,1,0,0.7777777778,,
,{BDCN}: Semantic Embedding Self-explanatory Breast Diagnostic Capsules Network,1,1,1,1,1,1,1,0,0,0.7777777778,,
,{LNN}-{EL}: A Neuro-Symbolic Approach to Short-text Entity Linking,1,1,1,1,1,1,1,0,1,0.8888888889,,
,Neural-Symbolic Solver for Math Word Problems with Auxiliary Tasks,1,1,1,1,1,1,1,0,0,0.7777777778,,
,Using Meta-Knowledge Mined from Identifiers to Improve Intent Recognition in Conversational Systems,1,1,1,1,1,1,1,0,0,0.7777777778,,
,{D}ialogue{CRN}: Contextual Reasoning Networks for Emotion Recognition in Conversations,1,1,1,1,1,1,1,1,0,0.8888888889,,
,{ETHAN} at {S}em{E}val-2020 Task 5: Modelling Causal Reasoning in Language Using Neuro-symbolic Cloud Computing,1,1,0,1,1,1,0,1,1,0.7777777778,,
,Learning Explainable Linguistic Expressions with Neural Inductive Logic Programming for Sentence Classification,1,1,1,1,1,1,0,0,0,0.6666666667,,
,{D}eep {W}eighted {M}ax{SAT} for {A}spect-based {O}pinion {E}xtraction,1,1,1,1,1,1,1,0,1,0.8888888889,,
,Question Directed Graph Attention Network for Numerical Reasoning over Text,1,1,1,1,1,1,1,0,0,0.7777777778,,
,Neural Proof Nets,1,1,1,1,1,1,0,0,0,0.6666666667,,
,The Impact of Semantic Linguistic Features in Relation Extraction: A Logical Relational Learning Approach,1,1,0,1,1,1,1,1,0,0.7777777778,,
,Relation Embedding with Dihedral Group in Knowledge Graph,1,1,1,1,1,1,1,0,0,0.7777777778,,
,Zero-shot Multi-Domain Dialog State Tracking Using Prescriptive Rules,1,1,1,1,1,1,1,0,0,0.7777777778,,
,Neural Variational Inference For Estimating Knowledge Graph Embedding Uncertainty,1,1,1,1,1,1,0,1,0,0.7777777778,,
,Local ABox Consistency Prediction with Transparent TBoxes Using Gated Graph Neural Networks,1,1,1,1,1,1,1,0,0,0.7777777778,,
