,EID,Title,References
25,2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Zaremba, W., Sutskever, I., Vinyals, O., (2014) Recurrent neural network regularization, , CoRR abs/1409.2329"
26,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations,"Amini, A., Gabriel, S., Lin, P., Kedziorski, R. K., Choi, Y., Hajishirzi, H., Mathqa: Towards interpretable math word problem solving with operation-based formalisms (2019) NACCL"
27,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Bednarek, J., Piaskowski, K., Krawiec, K., (2019) Ain't nobody got time for coding: Structure-aware program synthesis from natural language, , arXiv.org"
28,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Cai, D., Lam, W., (2019) Core semantic frst: A top-down approach for amr parsing, , arXiv:1909.04303"
29,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Chen, K., Forbus, K. D., Action recognition from skeleton data via analogical generalization over qualitative representations (2018) Thirty-Second AAAI Conference"
30,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Chen, K., Rabkina, I., McLure, M. D., Forbus, K. D., Human-like sketch object recognition via analogical learning (2019) Thirty-Third AAAI Conference, 33, pp. 1336-1343"
31,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Crouse, M., McFate, C., Forbus, K. D., Learning from unannotated qa pairs to analogically disanbiguate and answer questions (2018) Thirty-Second AAAI Conference"
32,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Forbus, K., Liang, C., Rabkina, I., Representation and computation in cognitive models (2017) Top Cognitive System"
33,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Gao, J., Galley, M., Li, L., Neural approaches to conversational ai (2019) Foundations and Trends R in Information Retrieval, 13 (2-3), pp. 127-298"
34,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Goldin-Meadow, S., Gentner, D., (2003) Language in mind: Advances in the study of language and thought, , MIT Press"
35,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Huang, Q., Smolensky, P., He, X., Wu, O., Deng, L., Tensor product generation networks for deep nlp modeling (2018) NAACL"
36,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Huang, Q., Deng, L., Wu, D., Liu, c., He, X., Attentive tensor product learning (2019) Thirty-Third AAAI Conference, 33"
37,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Kamath, A., Das, R., A survey on semantic parsing (2019) AKBC"
38,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Kingma, D. P., Ba, J., (2017) Adam: A method for stochastic optimization, , arXiv preprint arXiv:1412.6980"
39,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Langley, P., Crafting papers on machine learning (2000) Proceedings of the 17th International Conference on Machine Learning (ICML 2000), pp. 1207-1216. , Langley, P. (ed), Stanford, CA, Morgan Kaufmann"
40,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Lee, K., Palangi, H., Chen, X., Hu, H., Gao, J., (2019) Learning visual relation priors for image-text matching and image captioning with neural scene graph generators, , http://arxiv.org/abs/1909.09953, abs/1909.09953"
41,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Lee, M., He, X., Yih, W.-t., Gao, J., Deng, L., Smolensky, P., Reasoning in vector space: An exploratory study of question answering (2016) ICLR"
42,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Liao, Y., Bing, L., Li, P., Shi, S., Lam, W., Zhang, T., Core semantic frst: A top-down approach for amr parsing (2018) EMNLP, pp. 3855-3864"
43,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Luong, M.-T., Pham, H., Manning, C. D., Effective approaches to attention-based neural machine translation (2015) EMNLP, pp. 533-536"
44,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Martin, A. E., A compositional neural architecture for language (2020) Journal of Cognitive Neuroscience"
45,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Palangi, H., Smolensky, P., He, X., Deng, L., Questionanswering with grammatically-interpretable representations (2018) AAAI"
46,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Polosukhin, I., Skidanov, A., Neural program search: Solving programming tasks from description and examples (2018) ICLR workshop"
47,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Roads, B., Love, B., (2019) Learning as the unsupervised alignment of conceptual systems, , arXiv preprint arXiv:1906.09012"
48,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Rumelhart, D. E., Hinton, G. E., Williams, R. J., Learning internal representations by error propagation (1986) Parallel distributed processing: Explorations in the microstructure of cognition, 1, pp. 318-362. , Rumelhart, D. E., McClelland, J. L., and the PDP Group (eds), MIT press, Cambridge, MA"
49,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Schlag, I., Schmidhuber, J., Learning to reason with third order tensor products (2018) Neural Information Processing Systems"
50,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Smolensky, P., Tensor product variable binding and the representation of symbolic structures in connectionist networks (1990) Artifcial Intelligence, 46, pp. 159-216"
51,2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Smolensky, P., Lee, M., He, X., Yih, W.-t., Gao, J., Deng, L., (2016) Basic reasoning with tensor product representations, , arXiv preprint arXiv:1601.02745"
52,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system,"Dodge, J., Gane, A., Zhang, X., Bordes, A., Chopra, S., Miller, A.H., Szlam, A., Weston, J., Evaluating prerequisite qualities for learning end-to-end dialog systems (2016) 4th International Conference on Learning Representations, ICLR 2016"
53,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Bordes, A., Boureau, Y., Weston, J., Learning end-to-end goal-oriented dialog (2017) 5th International Conference on Learning Representations, ICLR"
54,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Yan, Z., Duan, N., Chen, P., Zhou, M., Zhou, J., Li, Z., Building task-oriented dialogue systems for online shopping (2017) Proceedings of the Thirty-First AAAI Conference on Artificial Intelligence"
55,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Tang, K.-F., Kao, H.-C., Chou, C.-N., Chang, E.Y., Inquire and diagnose: Neural symptom checking ensemble using deep reinforcement learning (2016), Proceedings of NIPS Workshop on Deep Reinforcement Learning"
56,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Wei, Z., Liu, Q., Peng, B., Tou, H., Chen, T., Huang, X., Wong, K.-F., Dai, X., Task-oriented dialogue system for automatic diagnosis (2018) Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics, pp. 201-207"
57,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Liao, K., Liu, Q., Wei, Z., Peng, B., Chen, Q., Sun, W., Huang, X., (2004), Task-oriented dialogue system for automatic disease diagnosis via hierarchical reinforcement learning, CoRR abs/2004.14254. arXiv14254"
58,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Du, N., Wang, M., Tran, L., Lee, G., Shafran, I., Learning to infer entities, properties and their relations from clinical conversations (2019) Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP), pp. 4979-4990"
59,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Lin, X., He, X., Chen, Q., Tou, H., Wei, Z., Chen, T., Enhancing dialogue symptom diagnosis with global attention and symptom graph (2019) Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP), pp. 5033-5042"
60,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Xu, L., Zhou, Q., Gong, K., Liang, X., Tang, J., Lin, L., End-to-end knowledge-routed relational dialogue system for automatic diagnosis (2019) Proceedings of the Thirty-Third AAAI Conference on Artificial Intelligence"
61,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Zhang, S., Dinan, E., Urbanek, J., Szlam, A., Kiela, D., Weston, J., Personalizing dialogue agents: I have a dog, do you have pets too? (2018) Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics, pp. 2204-2213"
62,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Moghe, N., Arora, S., Banerjee, S., Khapra, M.M., Towards exploiting background knowledge for building conversation systems (2018) Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing, pp. 2322-2332. , Association for Computational Linguistics"
63,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Dinan, E., Roller, S., Shuster, K., Fan, A., Auli, M., Weston, J., Wizard of wikipedia: knowledge-powered conversational agents (2019) 7th International Conference on Learning Representations, ICLR"
64,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Wu, W., Guo, Z., Zhou, X., Wu, H., Zhang, X., Lian, R., Wang, H., Proactive human-machine conversation with explicit conversation goal (2019) Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics, pp. 3794-3804"
65,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Liu, S., Chen, H., Ren, Z., Feng, Y., Liu, Q., Yin, D., Knowledge diffusion for neural dialogue generation (2018) Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics, pp. 1489-1498"
66,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Zhou, H., Young, T., Huang, M., Zhao, H., Xu, J., Zhu, X., Commonsense knowledge aware conversation generation with graph attention (2018) Proceedings of the Twenty-Seventh International Joint Conference on Artificial Intelligence, IJCAI, pp. 4623-4629"
67,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Tuan, Y.-L., Chen, Y.-N., Lee, H.-Y., DyKgChat: benchmarking dialogue generation grounding on dynamic knowledge graphs (2019) Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP), pp. 1855-1865"
68,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Zhang, H., Liu, Z., Xiong, C., Liu, Z., Grounded conversation generation as guided traverses in commonsense knowledge graphs (2020) Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics, pp. 2031-2043"
69,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Zhou, H., Zheng, C., Huang, K., Huang, M., Zhu, X., KdConv, A Chinese multi-domain dialogue dataset towards multi-turn knowledge-driven conversation (2020) Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics"
70,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Ghazvininejad, M., Brockett, C., Chang, M., Dolan, B., Gao, J., Yih, W., Galley, M., A knowledge-grounded neural conversation model (2018) Proceedings of the Thirty-Second AAAI Conference on Artificial Intelligence, pp. 5110-5117"
71,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Lian, R., Xie, M., Wang, F., Peng, J., Wu, H., Learning to select knowledge for response generation in dialog systems (2019) Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence, IJCAI, pp. 5081-5087"
72,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Kim, B., Ahn, J., Kim, G., Sequential latent knowledge selection for knowledge-grounded dialogue (2020) 8th International Conference on Learning Representations, ICLR"
73,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Du, N., Chen, K., Kannan, A., Tran, L., Chen, Y., Shafran, I., Extracting symptoms and their status from clinical conversations (2019) Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics, pp. 915-925"
74,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Shi, X., Hu, H., Che, W., Sun, Z., Liu, T., Huang, J., Understanding medical conversations with scattered keyword attention and weak supervision from responses (2020), pp. 8838-8845. , The Thirty-Fourth AAAI Conference on Artificial Intelligence"
75,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Dhingra, B., Li, L., Li, X., Gao, J., Chen, Y.-N., Ahmed, F., Deng, L., Towards end-to-end reinforcement learning of dialogue agents for information access (2017) Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics, pp. 484-495"
76,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Li, X., Chen, Y.-N., Li, L., Gao, J., Celikyilmaz, A., End-to-end task-completion neural dialogue systems (2017) Proceedings of the Eighth International Joint Conference on Natural Language Processing, pp. 733-743"
77,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Peng, B., Li, X., Gao, J., Liu, J., Wong, K.-F., Deep Dyna-Q: integrating planning for task-completion dialogue policy learning (2018) Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics, pp. 2182-2192"
78,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Serban, I.V., Sordoni, A., Bengio, Y., Courville, A.C., Pineau, J., Building end-to-end dialogue systems using generative hierarchical neural network models (2016) Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, pp. 3776-3784"
79,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Linmei, H., Yang, T., Shi, C., Ji, H., Li, X., Heterogeneous graph attention networks for semi-supervised short text classification (2019) Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP), pp. 4821-4830"
80,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Yu, W., Zhou, J., Yu, W., Liang, X., Xiao, N., Heterogeneous graph learning for visual commonsense reasoning (2019), pp. 2765-2775. , Advances in Neural Information Processing Systems"
81,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Odmaa, B., Yunfei, Y., Zhifang, S., Damai, D., Baobao, C., Sujian, L., Hongying, Z., Preliminary study on the construction of chinese medical knowledge graph (2019) J. Chin. Inf. Process., 33 (10), pp. 1-7"
82,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Velickovic, P., Cucurull, G., Casanova, A., Romero, A., Liò, P., Bengio, Y., Graph attention networks (2018) 6th International Conference on Learning Representations, ICLR"
83,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," See, A., Liu, P.J., Manning, C.D., Get to the point: summarization with pointer-generator networks (2017) Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pp. 1073-1083"
84,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Bahdanau, D., Cho, K., Bengio, Y., Neural machine translation by jointly learning to align and translate (2015) 3rd International Conference on Learning Representations, ICLR"
85,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Chen, B., Cherry, C., A systematic comparison of smoothing techniques for sentence-level BLEU (2014), pp. 362-367. , Proceedings of the Ninth Workshop on Statistical Machine Translation"
86,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Luo, R., Xu, J., Zhang, Y., Ren, X., Sun, X., Pkuseg: A toolkit for multi-domain chinese word segmentation, Arxiv abs/1906.11455"
87,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Hochreiter, S., Schmidhuber, J., Long short-term memory (1997) Neural Comput., 9 (8), pp. 1735-1780"
88,2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Gardner, M., Grus, J., Neumann, M., Tafjord, O., Dasigi, P., Liu, N.F., Peters, M., Zettlemoyer, L., AllenNLP A deep semantic natural language processing platform (2018) Proceedings of Workshop for NLP Open Source Software (NLP-OSS) Melbourne, Australia, pp. 1-6"
89,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis,"Agarwal, R., Srikant, R., Fast algorithms for mining association rules (1994) Proc. Of the 20th Vldb Conference., pp. 487-499. , htps://doi.org/10.5555/645920.672836"
90,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Anderson, G., Verma, A., Dillig, I., Chaudhuri, S., Neurosymbolic reinforcement learning with formally verifed exploration (2020) NeurIPS"
91,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Andreas, J., Rohrbach, M., Darrell, T., Klein, D., Learning to compose neural networks for question answering (2016) Naacl, , htps://doi.org/10.18653/v1/N16-1181"
92,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Andreas, J., Rohrbach, M., Darrell, T., Klein, D., Neural module networks (2016) Proceedings of the Ieee Conference on Computer Vision and Pattern Recognition., pp. 39-48. , htps://doi.org/10.1109/CVPR.2016.12"
93,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Anton, T., Xpath-wrapper induction by generalizing tree traversal patterns (2005) Lernen, Wissensentdeckung und Adaptivitt (LWA) 2005, Gi Workshops, Saarbrcken., pp. 126-133"
94,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Baik, C., Jin, Z., Cafarella, M., Jagadish, H.V., Duoquest: A dual-specifcation system for expressive sql queries (2020) Proceedings of the 2020 Acm Sigmod International Conference on Management of Data (SIGMOD '20), pp. 2319-2329. , htps://doi.org/10.1145/3318464.3389776, Association for Computing Machinery, New York, NY, USA"
95,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Baldini Soares, L., FitzGerald, N., Ling, J., Kwiatkowski, T., (2019) Matching the Blanks: Distributional Similarity for Relation Learning., , htps://doi.org/10.18653/v1/P19-1279"
96,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Barman, S., Chasins, S., Bodik, R., Gulwani, S., Ringer: Web automation by demonstration (2016) Proceedings of the 2016 Acm Sigplan International Conference on Object-Oriented Programming, Systems, Languages, and Applications., pp. 748-764. , htps://doi.org/10.1145/3022671.2984020"
97,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Bornholt, J., Torlak, E., Grossman, D., Ceze, L., (2016) Optimizing Synthesis with Metasketches (POPL), pp. 775-788. , htps://doi.org/10.1145/2914770.2837666"
98,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Chang, C.-H., Lui, S.-C., Iepad: Information extraction based on pattern discovery (2001) Proceedings of the 10th International Conference on World Wide Web., pp. 681-688. , htps://doi.org/10.1145/371920.372182"
99,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Chasins, S., Barman, S., Bodik, R., Gulwani, S., Browser record and replay as a building block for end-user web automation tools (2015) Proceedings of the 24th International Conference on World Wide Web., pp. 179-182. , htps://doi.org/10.1145/2740908.2742849"
100,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Chasins, S., Bodik, R., Skip blocks: Reusing execution history to accelerate web scripts (2017) Proceedings of the Acm on Programming Languages 1, Oopsla, pp. 1-28. , htps://doi.org/10.1145/3133875, 2017"
101,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Chasins, S.E., Mueller, M., Bodik, R., Rousillon: Scraping distributed hierarchical web data (2018) Proceedings of the 31st Annual Acm Symposium on User Interface Software and Technology., pp. 963-975"
102,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Chen, Q., Wang, X., Ye, X., Durrett, G., Dillig, I., Multi-modal synthesis of regular expressions (2020) Proceedings of the 41st Acm Sigplan Conference on Programming Language Design and Implementation (PLDI 2020), pp. 487-502. , htps://doi.org/10.1145/3385412.3385988, Association for Computing Machinery, New York, NY, USA"
103,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Chen, W., Wang, H., Chen, J., Zhang, Y., Wang, H., Li, S., Zhou, X., Yang Wang, W., Tabfact: A large-scale dataset for table-based fact verifcation (2020) International Conference on Learning Representations (ICLR), , Addis Ababa, Ethiopia"
104,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Chen, Y., Martins, R., Feng, Y., Maximal multi-layer specifcation synthesis (2019) Proceedings of the 2019 27th Acm Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE 2019), pp. 602-612. , htps://doi.org/10.1145/3338906.3338951, Association for Computing Machinery, New York, NY, USA"
105,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Choi, E., Kwiatkowski, T., Zettlemoyer, L., Scalable semantic parsing with partial ontologies (2015) Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 1: Long Papers), pp. 1311-1320. , htps://doi.org/10.3115/v1/P15-1127, Association for Computational Linguistics, Beijing, China"
106,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Crescenzi, V., Mecca, G., Merialdo, P., Roadrunner: Towards automatic data extraction from large web sites (2001) Vldb, 1, pp. 109-118. , htps://doi.org/10.5555/645927.672370"
107,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Devlin, J., Chang, M.-W., Lee, K., Toutanova, K., Bert: Pre-training of deep bidirectional transformers for language understanding (2019) Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers), pp. 4171-4186. , htps://doi.org/10.18653/v1/N19-1423, Association for Computational Linguistics, Minneapolis, Minnesota"
108,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Dietterich, T.G., Ensemble methods in machine learning (2000) International Workshop on Multiple Classifer Systems, pp. 1-15. , htps://doi.org/10.5555/648054.743935, Springer"
109,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Dua, D., Wang, Y., Dasigi, P., Stanovsky, G., Singh, S., Gardner, M., Drop: A reading comprehension benchmark requiring discrete reasoning over paragraphs (2019) Proceedings of the 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers), pp. 2368-2378. , htps://doi.org/10.18653/v1/N19-1246, Association for Computational Linguistics, Minneapolis, Minnesota"
110,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Ellis, K., Ritchie, D., Solar-Lezama, A., Tenen-Baum, J., Learning to infer graphics programs from hand-drawn images (2018) Advances in Neural Information Processing Systems., pp. 6059-6068"
111,2-s2.0-85108908770,Web question answering with neurosymbolic program synthesis," Etzioni, O., Banko, M., Soderland, S., Weld, D.S., Open information extraction from the web (2008) Commun. Acm, 51 (12), pp. 68-74. , htps://doi.org/10.1145/1409360.1409378, Dec. 2008)"
