Doc type,citation,Title,Abstract,Scopus Hash ID,DOI,Journal/Conference,Year,Business Use Case,Technical Application,Type of Learning,Key-intake,Contribution,Authors Definition of NeSy,Symbolic terms,Neural terms,NeSy Category,Kautz category,Datasets,Model description,Evaluation Metrics,Reported Score,Study Quality,Comments,MISC,leverages natural language structure,leverages relational structure,Knowledge representation,implicit vs explicit,reasoning,out-of-distribution generalization,interpretability,reduced data,transferability,NeSy (check if the authors label their work as NeSy),total,,,
cp,\cite{Das_Zaheer_Thai_2021},Case-based Reasoning for Natural Language Queries over Knowledge Bases,"It is often challenging to solve a complex problem from scratch, but much easier if we can access other similar problems with their solutions {---} a paradigm known as case-based reasoning (CBR). We propose a neuro-symbolic CBR approach (CBR-KBQA) for question answering over large knowledge bases. CBR-KBQA consists of a nonparametric memory that stores cases (question and logical forms) and a parametric model that can generate a logical form for a new question by retrieving cases that are relevant to it. On several KBQA datasets that contain complex questions, CBR-KBQA achieves competitive performance. For example, on the CWQ dataset, CBR-KBQA outperforms the current state of the art by 11{\%} on accuracy. Furthermore, we show that CBR-KBQA is capable of using new cases \textit{without} any further training: by incorporating a few human-labeled examples in the case memory, CBR-KBQA is able to successfully generate logical forms containing unseen KB entities as well as relations.",https://aclanthology.org/2021.emnlp-main.755,10.18653/v1/2021.emnlp-main.755,,2021,Question answering,information extraction,semi-supervised,using a combination of ocs similarity and nearest neighbor to find the logical forms of natural language queries. these LF are then revised based on neural KB completion techniques,"(a) We present a neural CBR approach for KBQA capable of generating complex logical forms conditioned on similar retrieved questions and their logical forms. (b) Since CBR-KBQA explicitly learns to reuse cases, we show it is able to generalize to unseen relations at test time, when relevant cases are provided. (c) We also show the efficacy of our revise step of CBR-KBQA which allows to correct generated output by aligning it to local neighborhood of the query entity. (d) Lastly, we show that CBR-KBQA significantly outperforms other competitive models on several KBQA benchmarks.",,case based reasoning (CBR),"TransE,
transformer",cooperative,3. Neuro; Symbolic,COMPLEXWEBQUESTIONS,"train a model using natural language and lofgical form pairs. where the input for inference is a natural language query and the output is an embedding of a logical form. next, find most similar embeddings of logical forms. use the LF to query a KB. Revise: vector space alignment between generated relation with actual KB relations.",F1,significantly above baselines,0.7777777778,"training data consists of pairs of natural language queries and their logical forms (eg. SPARQL query). cosine sim is used to extract similar queries using RoBerta. CBR-KBQA derives the logical form (LF) for a new query from the LFs of other retrieved queries from the case-memory. However, the derived LF might not execute because of missing edges in the KB. The revise step aligns any such missing edges (relations) with existing semantically-similar edges in the KB. 

A limitation of this approach is the need for logical forms of many queries for the case base, and a KB relevant to the domain.",,FALSE,FALSE,rules,explicit,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,,,
ar,\cite{Wang_Pan_2021},Variational Deep Logic Network for Joint Inference of Entities and Relations,"Abstract Currently, deep learning models have been widely adopted and achieved promising results on various application domains. Despite their intriguing performance, most deep learning models function as black boxes, lacking explicit reasoning capabilities and explanations, which are usually essential for complex problems. Take joint inference in information extraction as an example. This task requires the identification of multiple structured knowledge from texts, which is inter-correlated, including entities, events, and the relationships between them. Various deep neural networks have been proposed to jointly perform entity extraction and relation prediction, which only propagate information implicitly via representation learning. However, they fail to encode the intensive correlations between entity types and relations to enforce their coexistence. On the other hand, some approaches adopt rules to explicitly constrain certain relational facts, although the separation of rules with representation learning usually restrains the approaches with error propagation. Moreover, the predefined rules are inflexible and might result in negative effects when data is noisy. To address these limitations, we propose a variational deep logic network that incorporates both representation learning and relational reasoning via the variational EM algorithm. The model consists of a deep neural network to learn high-level features with implicit interactions via the self-attention mechanism and a relational logic network to explicitly exploit target interactions. These two components are trained interactively to bring the best of both worlds. We conduct extensive experiments ranging from fine-grained sentiment terms extraction, end-to-end relation prediction, to end-to-end event extraction to demonstrate the effectiveness of our proposed method.",https://aclanthology.org/2021.cl-4.26,10.1162/coli_a_00415,Computational Linguistics,2021,Information extraction,classification,supervised,knowledge is encoded via learned rules and/or manually designed ones. The improvement in performance is attributed to the automatically learned rules and EM algorithm,"novel marriage between deep feature learning and relational logic reasoning, named Variational Deep Logic Network (VDLN), for joint inference in the IE domain.
the logic reasoning module is flexible enough to achieve both rule learning given some simple rule templates and integration of predefined logic rules.
our proposed model is able to learn different combinations of logic atoms to form the rules and it is also flexible to incorporate predefined knowledge. Moreover, our EM training algorithm alternates between an inference step and a learning step to achieve mutual enhancement which globally enforces the learning of both modules",,first order logic (FOL),transformer,cooperative,3. Neuro; Symbolic,SemEval 2014,text input -> E-step transformer: output: sequence of probailisitic labels -> M-step Logic netwrok: output: final probabilistic evaluations,F1,slightly better than baselines,0.8888888889,"FOL via t-norms. Performance improves with larger transformer models. Without any of the other NeSy goals being met, I'm not sure the extra complexity is worth the small performance gains. Future work: ""We also plan to design more interpretable networks in terms of logic reasoning so that the learned rules can be explicitly explained.""","Aspect and Opinion Extraction,
Relation Extraction,
Event Extraction",TRUE,FALSE,logical,implicit,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,
ar,\cite{Kouris_Alexandridis_Stafylopatis_2021},Abstractive Text Summarization: Enhancing Sequence-to-Sequence Models Using Word Sense Disambiguation and Semantic Content Generalization,"Abstract Nowadays, most research conducted in the field of abstractive text summarization focuses on neural-based models alone, without considering their combination with knowledge-based approaches that could further enhance their efficiency. In this direction, this work presents a novel framework that combines sequence-to-sequence neural-based text summarization along with structure and semantic-based methodologies. The proposed framework is capable of dealing with the problem of out-of-vocabulary or rare words, improving the performance of the deep learning models. The overall methodology is based on a well-defined theoretical model of knowledge-based content generalization and deep learning predictions for generating abstractive summaries. The framework is composed of three key elements: (i) a pre-processing task, (ii) a machine learning methodology, and (iii) a post-processing task. The pre-processing task is a knowledge-based approach, based on ontological knowledge resources, word sense disambiguation, and named entity recognition, along with content generalization, that transforms ordinary text into a generalized form. A deep learning model of attentive encoder-decoder architecture, which is expanded to enable a coping and coverage mechanism, as well as reinforcement learning and transformer-based architectures, is trained on a generalized version of text-summary pairs, learning to predict summaries in a generalized form. The post-processing task utilizes knowledge resources, word embeddings, word sense disambiguation, and heuristic algorithms based on text similarity methods in order to transform the generalized version of a predicted summary to a final, human-readable form. An extensive experimental procedure on three popular data sets evaluates key aspects of the proposed framework, while the obtained results exhibit promising performance, validating the robustness of the proposed approach.",https://aclanthology.org/2021.cl-4.27,10.1162/coli_a_00417,Computational Linguistics,2021,Text summarization,generative,unsupervised,"the said framework is an appropriate sequence-to-sequence deep learning neural network, aided by a knowledge-based methodology",augmenting input data with ontological inofrmation and POS and NER for word sense diambiguation,,"knowledge graph (KG),
ontology","recurrent neural network (RNN),
transformer",sequential,1. symbolic Neuro symbolic,"Gigaword,
DUC 2004,
CNN/DailyMail","(i) the pre-processing task, (ii) the machine learning methodology, and (iii) the post-processing task. The first step achieves text generalization through the utilization of knowledge-based semantic ontologies and named entity recognition (NER) in order to extract named entities, concepts, and senses from the original document. Subsequently, the generalized text is provided to a seq2seq deep learning model of an attentive encoder-decoder architecture, which learns to predict a generalized version of the summary. Lastly, the post-processing task creates the final summary, based on heuristic algorithms and text similarity metrics that match the concepts of the generalized summary to specific ones.",ROUGE,better than baselines,0.7777777778,"a novel knowledge-based framework that enhances neural-based abstractive Text Summarization, by combining characteristics of structure and semantic-based methodologies. In particular, in the current work, the content generalization methodology has been redesigned through the inclusion of Word Sense Disambiguation for more accurate concept generalization, assuming new generalization strategies.

The symbolic part comes in the preprocessing phase. Linguistic structure information is concatenated with words from which embeddings are learned using a BOW NN.",,TRUE,TRUE,semantic network,implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,
cp,\cite{Li_Srikumar_2019},Augmenting Neural Networks with First-order Logic,"Today, the dominant paradigm for training neural networks involves minimizing task loss on a large dataset. Using world knowledge to inform a model, and yet retain the ability to perform end-to-end training remains an open question. In this paper, we present a novel framework for introducing declarative knowledge to neural network architectures in order to guide training and prediction. Our framework systematically compiles logical statements into computation graphs that augment a neural network without extra learnable parameters or manual redesign. We evaluate our modeling strategy on three tasks: machine comprehension, natural language inference, and text chunking. Our experiments show that knowledge-augmented networks can strongly improve over baselines, especially in low-data regimes.",https://aclanthology.org/P19-1028/,10.18653/v1/P19-1028,,2019,Reading comprehension,classification,supervised,netprok neurons are constrained using logical distnace functions. distance functions are implemented using t-norms,we present a novel framework for introducing declarative knowledge to neural network architectures in order to guide training and prediction. Our framework systematically compiles logical statements into computation graphs that augment a neural network without extra learnable parameters or manual redesign.,,"ontology,
first order logic (FOL)",transformer,compiled,5. Neuro_Symbolic,"SQuAD,
SNLI,
CoNLL2000","given a conditional statement and a computation graph: (1) Convert the antecedent into a conjunctive or a disjunctive normal form if necessary. (2) Convert the conjunctive/disjunctive antecedent into distance functions using t-norms (with appropriate corrections for negations). (3) Use the distance functions to construct constrained layers and/or auxiliary layers to augment the computation graph by replacing the original layer with constrained one. (4) Finally, use the augmented network for end-to-end training and inference",F1,slightly better than baselines,0.7777777778,"uses ConceptNet for external knowledge to get alignments. Conditional statements (FOL rules) are given - assuming these are hand-crafted.
The architecture gives improvements of up to 4% points (F1) over NN when training data is very small, and very slight improvement or no improvemtn (depending on task) when using 100% of the training data. 
No other NeSy goals are discussed.",,FALSE,FALSE,logical,implicit,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,,,
cp,\cite{Dehua_Keting_Jianrong_2021},{BDCN}: Semantic Embedding Self-explanatory Breast Diagnostic Capsules Network,Building an interpretable AI diagnosis system for breast cancer is an important embodiment ofAI assisted medicine. Traditional breast cancer diagnosis methods based on machine learning areeasy to explain but the accuracy is very low. Deep neural network greatly improves the accuracy of diagnosis but the black box model does not provide transparency and interpretation. In this work we propose a semantic embedding self-explanatory Breast Diagnostic Capsules Network(BDCN). This model is the first to combine the capsule network with semantic embedding for theAI diagnosis of breast tumors using capsules to simulate semantics. We pre-trained the extrac-tion word vector by embedding the semantic tree into the BERT and used the capsule network to improve the semantic representation of multiple heads of attention to construct the extraction feature the capsule network was extended from the computer vision classification task to the text classification task. Simultaneously both the back propagation principle and dynamic routing algorithm are used to realize the local interpretability of the diagnostic model. The experimental results show that this breast diagnosis model improves the model performance and has good interpretability which is more suitable for clinical situations.IntroductionBreast cancer is an important killer threatening women{'}s health because of rising incidence. Early detection and diagnosis are the key to reduce the mortality rate of breast cancer and improve the quality of life of patients. Mammary gland molybdenum target report contains rich semantic information whichcan directly reflect the results of breast cancer screening (CACA-CBCS 2019) and AI-assisted diagno-sis of breast cancer is an important means. Therefore various diagnostic models were born. Mengwan(2020) used support vector machine(SVM) and Naive Bayes to classify morphological features with anaccuracy of 91.11{\%}. Wei (2009) proposed a classification method of breast cancer based on SVM andthe accuracy of the classifier experiment is 79.25{\%}. These traditional AI diagnoses of breast tumors havelimited data volume and low accuracy. Deep Neural Networks (DNN) enters into the ranks of the diagno-sis of breast tumor. Wang (2019) put forward a kind of based on feature fusion with CNN deep features of breast computer-aided diagnosis methods the accuracy is 92.3{\%}. Zhao (2018) investigated capsule networks with dynamic routing for text classification which proves the feasibility of text categorization. Existing models have poor predictive effect and lack of interpretation which can not meet the clinical needs.,https://aclanthology.org/2021.ccl-1.105,,,2021,Decision support,classification,supervised,"The semantic segmentation layer of inspection report, the semantic tree knowledge embedding  extraction word vector layer (Sem-Bert), and the capsule network assisted target feature multi-head attention representation classification layer (Muti-Cap).",Semantic segmentation algorithm is used to segment breast cancer lesions. Semantic tree is integrated into Bidirectional Encoder  representation from Transformers(BERT) pre-training to obtain word vectors. A capsule network with multi-head attention mechanism was proposed to predict breast tumors.,,semantic net,transformer,compiled,4. Neuro: Symbolic → Neuro,Private,input text -> Semantic segmentation -> Semantic tree -> Multiple levels of embeddings -> Capsule network,F1,Upto 91,0.7777777778,"Clinician has to semantically segment the report by using some specific keywords. SemBert layer is responsible to generate embeddings from semantic tree representation of the semantically segmented report. Finally, layer converts the word vectors of the pre-training layer into capsules, uses the capsule network to obtain the required prediction capsules, and combines effective  information from multiple attention heads to achieve better classification","Semantic tree has obvious advantages
of context hierarchy, so the construction of semantic tree can help to solve the problem of unreasonable
word segmentation and context incoherence",TRUE,TRUE,semantic network,implicit,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,,,
cp,\cite{Jiang_Gurajada_Lu_2021},{LNN}-{EL}: A Neuro-Symbolic Approach to Short-text Entity Linking,"Entity linking (EL) is the task of disambiguating mentions appearing in text by linking them to entities in a knowledge graph, a crucial task for text understanding, question answering or conversational systems. In the special case of short-text EL, which poses additional challenges due to limited context, prior approaches have reached good performance by employing heuristics-based methods or purely neural approaches. Here, we take a different, neuro-symbolic approach that combines the advantages of using interpretable rules based on first-order logic with the performance of neural learning. Even though constrained to use rules, we show that we reach competitive or better performance with SoTA black-box neural approaches. Furthermore, our framework has the benefits of extensibility and transferability. We show that we can easily blend existing rule templates given by a human expert, with multiple types of features (priors, BERT encodings, box embeddings, etc), and even with scores resulting from previous EL methods, thus improving on such methods. As an example of improvement, on the LC-QuAD-1.0 dataset, we show more than 3{\%} increase in F1 score relative to previous SoTA. Finally, we show that the inductive bias offered by using logic results in a set of learned rules that transfers from one dataset to another, sometimes without finetuning, while still having high accuracy.",https://aclanthology.org/2021.acl-long.64,10.18653/v1/2021.acl-long.64,,2021,Entity Linking,information extraction,supervised,combination of embeddings and rules to train LNN,"first neuro-symbolic method for entity linking (coined “LNN-EL"") that provides a principled approach to learning EL rules.",,"first order logic (FOL),
knowledge graph (KG)","Logical Neural Network,
transformer",compiled,4. Neuro: Symbolic → Neuro,"LC-QuAD 1.0
QALD-9
WebQSP
",hand craft rules and feature extraction (including cos sim) -> LLN -> candidate selection,F1,better than (BERT) baselines.,0.8888888889,Transformers are used for calculating cos sim between entities (an alternative to Spacy's word2vec). Also BERT with box embeddings which approximate the relations between entities are used. The NeSy component is the modified LNN using handcrafted rules. That is the limitation.,"the authors say the solution  has transferability, but they also say ""By leveraging rules, the learned model shows a desirable transferability property: it performs well not only on the dataset on which it was trained, but also on other datasets from the same domain without further training."" This is more like OOD, whereas transferability deals with different domains.",FALSE,FALSE,rules,explicit,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,,,
cp,\cite{Qin_Liang_Hong_Tang_Lin_2021},Neural-Symbolic Solver for Math Word Problems with Auxiliary Tasks,"Previous math word problem solvers following the encoder-decoder paradigm fail to explicitly incorporate essential math symbolic constraints, leading to unexplainable and unreasonable predictions. Herein, we propose Neural-Symbolic Solver (NS-Solver) to explicitly and seamlessly incorporate different levels of symbolic constraints by auxiliary tasks. Our NS-Solver consists of a problem reader to encode problems, a programmer to generate symbolic equations, and a symbolic executor to obtain answers. Along with target expression supervision, our solver is also optimized via 4 new auxiliary objectives to enforce different symbolic reasoning: a) self-supervised number prediction task predicting both number quantity and number locations; b) commonsense constant prediction task predicting what prior knowledge (e.g. how many legs a chicken has) is required; c) program consistency checker computing the semantic loss between predicted equation and target equation to ensure reasonable equation mapping; d) duality exploiting task exploiting the quasi-duality between symbolic equation generation and problem{'}s part-of-speech generation to enhance the understanding ability of a solver. Besides, to provide a more realistic and challenging benchmark for developing a universal and scalable solver, we also construct a new largescale MWP benchmark CM17K consisting of 4 kinds of MWPs (arithmetic, one-unknown linear, one-unknown non-linear, equation set) with more than 17K samples. Extensive experiments on Math23K and our CM17k demonstrate the superiority of our NS-Solver compared to state-of-the-art methods.",https://aclanthology.org/2021.acl-long.456,10.18653/v1/2021.acl-long.456,,2021,Reading comprehension,reasoning,supervised,Model is optimized by four novel auxiliary objectives that enforce four levels of problem understanding and symbolic reasoning. 1. Number prediction task to predict both the number quantity and number location in he problem in a self-supervised manner. 2. Commonsense constant prediction task to predict what prior commonsense knowledge (e.g. how many legs a chicken has) is required for our solver. 3. Program consistency checker to compute the semantic loss between the predicted program and ground-truth equation to ensure reasonable equation mapping. 4. Duality exploiting task that exploits the quasi duality between symbolic grounded equation generation and the problem’s part-of-speech generation to  enhance the understanding ability of the solver.,Neural-Symbolic Solver(NS-Solver) to explicitly and seamlessly incorporate different levels of symbolic constraints by four auxiliary tasks,,graph representation,recurrent neural network (RNN),cooperative,3. Neuro; Symbolic,"CM17K, Math23K",Problem reader represents question in the form of embedding using 2 layer bidirectional GRU. Programmer decodes ouput of problem reader as a tree. Using sympy python library math problem is solved.,Accuracy,Upto 75%,0.7777777778,"A problem reader that encodes the math word problems into vector representations, a programmer to generate the symbolic grounded programs in prefixorder, and a symbolic executor to obtain final results.  4 levels of auxillary tasks are perfomed in programmer.","marked s type 3 due to the dual learning process in the programmer module, which is akin to RL. But this paper was not clear, and it's still not clear to me whihc category if any it falls into -Kyle",TRUE,FALSE,rules,implicit,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,generalization,,
cp,\cite{Pinhanez_Cavalin_Alves_2021},Using Meta-Knowledge Mined from Identifiers to Improve Intent Recognition in Conversational Systems,"In this paper we explore the improvement of intent recognition in conversational systems by the use of meta-knowledge embedded in intent identifiers. Developers often include such knowledge, structure as taxonomies, in the documentation of chatbots. By using neuro-symbolic algorithms to incorporate those taxonomies into embeddings of the output space, we were able to improve accuracy in intent recognition. In datasets with intents and example utterances from 200 professional chatbots, we saw decreases in the equal error rate (EER) in more than 40{\%} of the chatbots in comparison to the baseline of the same algorithm without the meta-knowledge. The meta-knowledge proved also to be effective in detecting out-of-scope utterances, improving the false acceptance rate (FAR) in two thirds of the chatbots, with decreases of 0.05 or more in FAR in almost 40{\%} of the chatbots. When considering only the well-developed workspaces with a high level use of taxonomies, FAR decreased more than 0.05 in 77{\%} of them, and more than 0.1 in 39{\%} of the chatbots.",https://aclanthology.org/2021.acl-long.545,10.18653/v1/2021.acl-long.545,,2021,Reading comprehension,information extraction,supervised,The key idea behind our algorithms is to substitute the typical softmax used in the output layer of a ML text classifier with a space of embeddings of the taxonomic descriptions of the intents.,"By using neurosymbolic  algorithms to incorporate those taxonomies into embeddings of the output space, we were able to improve accuracy in intent recognition.",,semantic net,recurrent neural network (RNN),compiled,4. Neuro: Symbolic → Neuro,ChatWorks,Embeddings are generated on KG by considering deep walk algorithm and  Convolutional Deep Structured Semantic Model. Neural models are modeled using LSTM and Universal Sentence Enconder. Combinations embeddings and neural models are considered to identify better perfoming model.,Far Acceptance Rate (FAR ),Upto 40%,0.6666666667,Knowledge graphs are populated by considering external datasets.,,TRUE,TRUE,semantic network,implicit,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,,,
cp,\cite{Hu_Wei_Huai_2021},{D}ialogue{CRN}: Contextual Reasoning Networks for Emotion Recognition in Conversations,"Emotion Recognition in Conversations (ERC) has gained increasing attention for developing empathetic machines. Recently, many approaches have been devoted to perceiving conversational context by deep learning models. However, these approaches are insufficient in understanding the context due to lacking the ability to extract and integrate emotional clues. In this work, we propose novel Contextual Reasoning Networks (DialogueCRN) to fully understand the conversational context from a cognitive perspective. Inspired by the Cognitive Theory of Emotion, we design multi-turn reasoning modules to extract and integrate emotional clues. The reasoning module iteratively performs an intuitive retrieving process and a conscious reasoning process, which imitates human unique cognitive thinking. Extensive experiments on three public benchmark datasets demonstrate the effectiveness and superiority of the proposed model.",https://aclanthology.org/2021.acl-long.547,10.18653/v1/2021.acl-long.547,,2021,Emotion recognition,classification,supervised,Multiple LSTM models are modeled to extract emotion at different context.,,,semantic enrichement,recurrent neural network (RNN),sequential,1. symbolic Neuro symbolic,"SEMAINE, IEMOCAP, MELD","Model is divided into three phases. Perception phase: , Two bi-directional LSTM networks are leveraged to  capture situationlevel and speaker-level context  dependencies. Cognitive phase: Mutli turn reasoning modules to iteratively extract emotional clues (LSTM with attention). Finally emotion is classified.",Accuracy,Upto 66,0.8888888889,"Emotion is recognised by considering speaker and situation context. The model consists of three phases. First two phases tries to recognise the emotion independent of context. Based on contextual clues, in the final phase emotion is classified.",,TRUE,FALSE,frames,implicit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,
cp,\cite{Yabloko_2020},{ETHAN} at {S}em{E}val-2020 Task 5: Modelling Causal Reasoning in Language Using Neuro-symbolic Cloud Computing,I present ETHAN: Experimental Testing of Hybrid AI Node implemented entirely on free cloud computing infrastructure. The ultimate goal of this research is to create modular reusable hybrid neuro-symbolic architecture for Artificial Intelligence. As a test case I model natural language comprehension of causal relations from open domain text corpus that combines semi-supervised language model (Huggingface Transformers) with constituency and dependency parsers (Allen Institute for Artificial Intelligence.),https://aclanthology.org/2020.semeval-1.83,10.18653/v1/2020.semeval-1.83,,2020,Causal Reasoning,classification,semi-supervised,Expansion can be achieved by layering symbolic modules with neural networks on a basis of the universal dependency scheme.,Universal Dependency (UD) parsing in the NeSy pipeline,,"dependency parsing,
constituency parsing",transformer,compiled,4. Neuro: Symbolic → Neuro,SemEval 2020,"constiuency parse -> puts corresponding textual chunks into sets of candidates for the binary classification -> Finally, at the end, ETHAN once more applies symbolic logic in order to determine which of the candidate chunks should be classified as antecedents and which as consequents. This time the hybrid AI becomes braided again since ETHAN applies neural attention-based (Dozat and Manning, 2017) dependency parser 6 to each of the candidates in order to determine the direction of causality by following the dependency tree.",F1,"0.878
2nd place on leaderboar, on par with SOTA",0.7222222222,"ETHAN relies on hand-crafted rules for detecting the counterfactual conditionals.
Note how in this case the hybrid AI becomes braided (neural precedes symbolic which in turn is succeeded by neural filtering)",,TRUE,FALSE,rules,explicit,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,,,
cp,\cite{Sen_Danilevsky_Li_2020},Learning Explainable Linguistic Expressions with Neural Inductive Logic Programming for Sentence Classification,"Interpretability of predictive models is becoming increasingly important with growing adoption in the real-world. We present RuleNN, a neural network architecture for learning transparent models for sentence classification. The models are in the form of rules expressed in first-order logic, a dialect with well-defined, human-understandable semantics. More precisely, RuleNN learns linguistic expressions (LE) built on top of predicates extracted using shallow natural language understanding. Our experimental results show that RuleNN outperforms statistical relational learning and other neuro-symbolic methods, and performs comparably with black-box recurrent neural networks. Our user studies confirm that the learned LEs are explainable and capture domain semantics. Moreover, allowing domain experts to modify LEs and instill more domain knowledge leads to human-machine co-creation of models with better performance.",https://aclanthology.org/2020.emnlp-main.345,10.18653/v1/2020.emnlp-main.345,,2020,Text classification,classification,supervised,RuleNN learns linguistic expressions (LE) built on top of predicates extracted using shallow natural language understanding,explainable NN,,first order logic (FOL),recurrent neural network (RNN),compiled,4. Neuro: Symbolic → Neuro,TREC,logical expressions are learned from labeld data. the NN learns FOL using t-norms,F1,on par with baselines,0.6666666667,this paper was difficult to understand. I think the NN learns logic expressions using t-norms to simuate FOL. Are these functions the layers of the network? The authors illustrate these functoins as matix/vecot operations. The paper lacks examples.,The main point here is that the proposed architecture is interpretable while retaining performance on par with blck box models.,TRUE,FALSE,rules,explicit,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3,,,
cp,\cite{Wu_Wang_Pan_2020},{D}eep {W}eighted {M}ax{SAT} for {A}spect-based {O}pinion {E}xtraction,"Though deep learning has achieved significant success in various NLP tasks, most deep learning models lack the capability of encoding explicit domain knowledge to model complex causal relationships among different types of variables. On the other hand, logic rules offer a compact expression to represent the causal relationships to guide the training process. Logic programs can be cast as a satisfiability problem which aims to find truth assignments to logic variables by maximizing the number of satisfiable clauses (MaxSAT). We adopt the MaxSAT semantics to model logic inference process and smoothly incorporate a weighted version of MaxSAT that connects deep neural networks and a graphical model in a joint framework. The joint model feeds deep learning outputs to a weighted MaxSAT layer to rectify the erroneous predictions and can be trained via end-to-end gradient descent. Our proposed model associates the benefits of high-level feature learning, knowledge reasoning, and structured learning with observable performance gain for the task of aspect-based opinion extraction.",https://aclanthology.org/2020.emnlp-main.453,10.18653/v1/2020.emnlp-main.453,,2020,Opnion extraction,classification,supervised,incorporates logic rules into DNN with the ability to correct erronous predictions post hoc,"a novel attention-based weighted MaxSAT solver that can selectively rectify and update deep learning predictions according to the relevance of specific rules.
An end-to-end joint model associating DNNs, logic reasoning and structured learning",,first order logic (FOL),transformer,cooperative,3. Neuro; Symbolic,"SemEval 2014,
SemEval 2016","word embeddings + POS tags -> Transformer generates contextual embeddings -> Using manulally constructed clauses and atoms, MaXSAT generates probabilistic predictions -> CRF layer combines previous two layers and generates the final structured predictions.
The joint model can be trained in an end-to-end manner via gradient descent",F1,only slighty higher than baselines (BERT by itself),0.8333333333,"To make the logic knowledge more effective that is able to directly rectify the erroneous predictions made by deep learning models, and at the same time adapt its rules selectively according to different data instances, we propose a neuralsymbolic integration by incorporating an attentionbased weighted MaxSAT layer.
In the meantime, the partial gradient of the final loss with respect to the MaxSAT output is backpropagated to the DNN parameters, making logic rules as a form of indirect supervision to the training of the DNN. In this sense this is a coopertative architecture where each of the symbolic and sub-symbolic modules inform each other during training. ",It seems like a lot of effort just to eek out a tiny improvement in performance while not acheiving any of the stated NeSy goals.,TRUE,FALSE,logical,implicit,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,,,
cp,\cite{Chen_Xu_Cheng_2020},Question Directed Graph Attention Network for Numerical Reasoning over Text,"Numerical reasoning over texts, such as addition, subtraction, sorting and counting, is a challenging machine reading comprehension task, since it requires both natural language understanding and arithmetic computation. To address this challenge, we propose a heterogeneous graph representation for the context of the passage and question needed for such reasoning, and design a question directed graph attention network to drive multi-step numerical reasoning over this context graph. Our model, which combines deep learning and graph reasoning, achieves remarkable results in benchmark datasets such as DROP.",https://aclanthology.org/2020.emnlp-main.549,10.18653/v1/2020.emnlp-main.549,,2020,Reading comprehension,reasoning,supervised,"(1) We use a heterogeneous graph containing entities and different types of numbers to encode the relations among the entities and numbers, rather than the relations from numerical comparison; (2) We use the question embedding to modulate the attention over graph neighbors and update the representation to achieve reasoning",,,"dependency parsing,
graph reasoning,
graph representation","graph neural network (GNN),
transformer",sequential,1. symbolic Neuro symbolic,"DROP,
RACE","The model is composed of three main components, i.e., a representation extractor module, a reasoning module, and a prediction module.
RoBERTa (input: CLS passage SEP question CLS) -> Graph construction w/nodes: numbers and entities -> message passing graph reasoning module -> classification module (input: roberta embeddings + graph) classifying each number into one of (−1, 0, +1), which is then used as the coefficient of the number in the -> numerical expression to arrive at the final answer.",F1,better than baselines,0.7222222222,It's clear that clever combination of transformers and GNNs results in perfomance improvements. The symbolic contribution consits of a cleverly constructed graph which is then used as input to implicit reasoning. A final explict computation module is used to perform the arithmentic.,,TRUE,TRUE,semantic network,implicit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,
