EID_x,Title_x,References,ref_title,Authors,Title_y,Abstract,DOI,Year,Cited by,Author Keywords,Index Keywords,EID_y
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Spithourakis, G. P., Augenstein, I., Riedel, S., Numerically grounded language models for semantic error correction (2016) EMNLP",Numerically grounded language models for semantic error correction,"Spithourakis G.P., Augenstein I., Riedel S.",Numerically grounded language models for semantic error correction,"Semantic error detection and correction is an important task for applications such as fact checking, speech-to-text or grammatical error correction. Current approaches generally focus on relatively shallow semantics and do not account for numeric quantities. Our approach uses language models grounded in numbers within the text. Such groundings are easily achieved for recurrent neural language model architectures, which can be further conditioned on incomplete background knowledge bases. Our evaluation on clinical reports shows that numerical grounding improves perplexity by 33% and F1 for semantic error correction by 5 points when compared to ungrounded approaches. Conditioning on a knowledge base yields further improvements. © 2016 Association for Computational Linguistics",10.18653/v1/d16-1101,2016.0,4.0,,Computational linguistics; Error correction; Knowledge based systems; Semantics; Back-ground knowledge; Grammatical errors; Knowledge base; Language model; Semantic errors; Natural language processing systems,2-s2.0-85063098121
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Tobler, W. R., (1970) A computer movie simulating urban growth in the detroit region",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Yang, Z., Dai, Z., Salakhutdinov, R. R., Cohen, W. W., (2018) Breaking the softmax bottleneck: A high-rank rnn language model, , CoRR abs/1711.03953",,,,,,,,,,
2-s2.0-85106687657,Just Add Functions: A Neural-Symbolic Language Model," Zaremba, W., Sutskever, I., Vinyals, O., (2014) Recurrent neural network regularization, , CoRR abs/1409.2329",,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations,"Amini, A., Gabriel, S., Lin, P., Kedziorski, R. K., Choi, Y., Hajishirzi, H., Mathqa: Towards interpretable math word problem solving with operation-based formalisms (2019) NACCL",Mathqa: Towards interpretable math word problem solving with operation-based formalisms,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Bednarek, J., Piaskowski, K., Krawiec, K., (2019) Ain't nobody got time for coding: Structure-aware program synthesis from natural language, , arXiv.org",,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Cai, D., Lam, W., (2019) Core semantic frst: A top-down approach for amr parsing, , arXiv:1909.04303",,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Chen, K., Forbus, K. D., Action recognition from skeleton data via analogical generalization over qualitative representations (2018) Thirty-Second AAAI Conference",Action recognition from skeleton data via analogical generalization over qualitative representations,"Chen K., Forbus K.D.",Action recognition from skeleton data via analogical generalization over qualitative representations,"Human action recognition remains a difficult problem for AI. Traditional machine learning techniques can have high recognition accuracy, but they are typically black boxes whose internal models are not inspectable and whose results are not explainable. This paper describes a new pipeline for recognizing human actions from skeleton data via analogical generalization. Specifically, starting with Kinect data, we segment each human action by temporal regions where the motion is qualitatively uniform, creating a sketch graph that provides a form of qualitative representation of the behavior that is easy to visualize. Models are learned from sketch graphs via analogical generalization, which are then used for classification via analogical retrieval. The retrieval process also produces links between the new example and components of the model that provide explanations. To improve recognition accuracy, we implement dynamic feature selection to pick reasonable relational features. We show the explanation advantage of our approach by example, and results on three public datasets illustrate its utility. Copyright © 2018, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,2018.0,3.0,,Learning systems; Musculoskeletal system; Action recognition; Dynamic feature selections; Human-action recognition; Machine learning techniques; Qualitative representation; Recognition accuracy; Relational features; Retrieval process; Artificial intelligence,2-s2.0-85060442252
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Chen, K., Rabkina, I., McLure, M. D., Forbus, K. D., Human-like sketch object recognition via analogical learning (2019) Thirty-Third AAAI Conference, 33, pp. 1336-1343",Human-like sketch object recognition via analogical learning,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Crouse, M., McFate, C., Forbus, K. D., Learning from unannotated qa pairs to analogically disanbiguate and answer questions (2018) Thirty-Second AAAI Conference",Learning from unannotated qa pairs to analogically disanbiguate and answer questions,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Forbus, K., Liang, C., Rabkina, I., Representation and computation in cognitive models (2017) Top Cognitive System",Representation and computation in cognitive models,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Gao, J., Galley, M., Li, L., Neural approaches to conversational ai (2019) Foundations and Trends R in Information Retrieval, 13 (2-3), pp. 127-298",Neural approaches to conversational ai,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Goldin-Meadow, S., Gentner, D., (2003) Language in mind: Advances in the study of language and thought, , MIT Press",,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Huang, Q., Smolensky, P., He, X., Wu, O., Deng, L., Tensor product generation networks for deep nlp modeling (2018) NAACL",Tensor product generation networks for deep nlp modeling,"Huang Q., Smolensky P., He X., Deng L., Wu D.",Tensor product generation networks for deep nlp modeling,"We present a new approach to the design of deep networks for natural language processing (NLP), based on the general technique of Tensor Product Representations (TPRs) for encoding and processing symbol structures in distributed neural networks. A network architecture - the Tensor Product Generation Network (TPGN) - is proposed which is capable in principle of carrying out TPR computation, but which uses unconstrained deep learning to design its internal representations. Instantiated in a model for image-caption generation, TPGN outperforms LSTM baselines when evaluated on the COCO dataset. The TPR-capable structure enables interpretation of internal representations and operations, which prove to contain considerable grammatical content. Our caption-generation model can be interpreted as generating sequences of grammatical categories and retrieving words by their categories from a plan encoded as a distributed representation. © 2018 The Association for Computational Linguistics.",,2018.0,8.0,,Computational linguistics; Deep learning; Natural language processing systems; Network architecture; Product design; Tensors; Distributed neural networks; Distributed representation; Grammatical category; Image caption; Internal representation; NAtural language processing; New approaches; Tensor products; Long short-term memory,2-s2.0-85066460500
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Huang, Q., Deng, L., Wu, D., Liu, c., He, X., Attentive tensor product learning (2019) Thirty-Third AAAI Conference, 33",Attentive tensor product learning,"Huang Q., Deng L., Wu D., Liu C., He X.",Attentive tensor product learning,"This paper proposes a novel neural architecture - Attentive Tensor Product Learning (ATPL) - to represent grammatical structures of natural language in deep learning models. ATPL exploits Tensor Product Representations (TPR), a structured neural-symbolic model developed in cognitive science, to integrate deep learning with explicit natural language structures and rules. The key ideas of ATPL are: 1) unsupervised learning of role-unbinding vectors of words via the TPR-based deep neural network; 2) the use of attention modules to compute TPR; and 3) the integration of TPR with typical deep learning architectures including long short-term memory and feedforward neural networks. The novelty of our approach lies in its ability to extract the grammatical structure of a sentence by using role-unbinding vectors, which are obtained in an unsupervised manner. Our ATPL approach is applied to 1) image captioning, 2) part of speech (POS) tagging, and 3) constituency parsing of a natural language sentence. The experimental results demonstrate the effectiveness of the proposed approach in all these three natural language processing tasks. © 2019, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,2019.0,4.0,,Deep neural networks; Feedforward neural networks; Learning systems; Natural language processing systems; Network architecture; Syntactics; Tensors; Cognitive science; Grammatical structure; Image captioning; Learning architectures; NAtural language processing; Natural languages; Neural architectures; Part of speech tagging; Deep learning,2-s2.0-85080593464
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Kamath, A., Das, R., A survey on semantic parsing (2019) AKBC",A survey on semantic parsing,"Kamath Aishwarya, Das Rajarshi",A survey on semantic parsing,[No abstract available],,2019.0,4.0,,,2-s2.0-85093195060
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Kingma, D. P., Ba, J., (2017) Adam: A method for stochastic optimization, , arXiv preprint arXiv:1412.6980",,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Langley, P., Crafting papers on machine learning (2000) Proceedings of the 17th International Conference on Machine Learning (ICML 2000), pp. 1207-1216. , Langley, P. (ed), Stanford, CA, Morgan Kaufmann",Crafting papers on machine learning,Langley P.,Crafting papers on machine learning,[No abstract available],,2000.0,54.0,,,2-s2.0-18744411494
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Lee, K., Palangi, H., Chen, X., Hu, H., Gao, J., (2019) Learning visual relation priors for image-text matching and image captioning with neural scene graph generators, , http://arxiv.org/abs/1909.09953, abs/1909.09953",,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Lee, M., He, X., Yih, W.-t., Gao, J., Deng, L., Smolensky, P., Reasoning in vector space: An exploratory study of question answering (2016) ICLR",Reasoning in vector space: An exploratory study of question answering,"Lee M., He X., Yih W.-T., Gao J., Deng L., Smolensky P.",Reasoning in vector space: An exploratory study of question answering,"Question answering tasks have shown remarkable progress with distributed vector representation. In this paper, we investigate the recently proposed Facebook bAbI tasks which consist of twenty different categories of questions that require complex reasoning. Because the previous work on bAbI are all end-to-end models, errors could come from either an imperfect understanding of semantics or in certain steps of the reasoning. For clearer analysis, we propose two vector space models inspired by Tensor Product Representation (TPR) to perform knowledge encoding and logical reasoning based on common-sense inference. They together achieve near-perfect accuracy on all categories including positional reasoning and path finding that have proved difficult for most of the previous approaches. We hypothesize that the difficulties in these categories are due to the multi-relations in contrast to uni-relational characteristic of other categories. Our exploration sheds light on designing more sophisticated dataset and moving one step toward integrating transparent and interpretable formalism of TPR into existing learning paradigms. © ICLR 2016: San Juan, Puerto Rico. All Rights Reserved.",,2016.0,11.0,,Semantics; End-to-end models; Exploratory studies; Learning paradigms; Logical reasoning; Question Answering; Question Answering Task; Vector representations; Vector space models; Vector spaces,2-s2.0-85083951918
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Liao, Y., Bing, L., Li, P., Shi, S., Lam, W., Zhang, T., Core semantic frst: A top-down approach for amr parsing (2018) EMNLP, pp. 3855-3864",Core semantic frst: A top-down approach for amr parsing,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Luong, M.-T., Pham, H., Manning, C. D., Effective approaches to attention-based neural machine translation (2015) EMNLP, pp. 533-536",Effective approaches to attention-based neural machine translation,"Luong M.-T., Pham H., Manning C.D.",Effective approaches to attention-based neural machine translation,[No abstract available],,2015.0,1257.0,,,2-s2.0-84994358876
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Martin, A. E., A compositional neural architecture for language (2020) Journal of Cognitive Neuroscience",A compositional neural architecture for language,Martin A.E.,A compositional neural architecture for language,"Hierarchical structure and compositionality imbue human language with unparalleled expressive power and set it apart from other perception–action systems. However, neither formal nor neurobiological models account for how these defining computational properties might arise in a physiological system. I attempt to reconcile hierarchy and compositionality with principles from cell assembly computation in neuroscience; the result is an emerging theory of how the brain could convert distributed perceptual representations into hierarchical structures across multiple timescales while representing interpretable incremental stages of (de) compositional meaning. The model’s architecture—a multidimensional coordinate system based on neurophysiological models of sensory processing—proposes that a manifold of neural trajectories encodes sensory, motor, and abstract linguistic states. Gain modulation, including inhibition, tunes the path in the manifold in accordance with behavior and is how latent structure is inferred. As a consequence, predictive information about upcoming sensory input during production and comprehension is available without a separate operation. The proposed processing mechanism is synthesized from current models of neural entrainment to speech, concepts from systems neuroscience and category theory, and a symbolic-connectionist computational model that uses time and rhythm to structure information. I build on evidence from cognitive neuroscience and computational modeling that suggests a formal and mechanistic alignment between structure building and neural oscillations, and moves toward unifying basic insights from linguistics and psycholinguistics with the currency of neural computation. © 2020 Massachusetts Institute of Technology",10.1162/jocn_a_01552,2020.0,19.0,,Computational linguistics; Hierarchical systems; Neurology; Physiological models; Cognitive neurosciences; Computational properties; Hierarchical structures; Neurobiological model; Neurophysiological model; Perceptual representations; Predictive information; Structure information; Computational neuroscience; article; brain; cognitive neuroscience; comprehension; computer model; human; human experiment; oscillation; perception; psycholinguistics; rhythm; sensory stimulation; speech; theoretical study,2-s2.0-85084999818
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Palangi, H., Smolensky, P., He, X., Deng, L., Questionanswering with grammatically-interpretable representations (2018) AAAI",Questionanswering with grammatically-interpretable representations,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Polosukhin, I., Skidanov, A., Neural program search: Solving programming tasks from description and examples (2018) ICLR workshop",Neural program search: Solving programming tasks from description and examples,"Polosukhin I., Skidanov A.",Neural program search: Solving programming tasks from description and examples,"We present a Neural Program Search, an algorithm to generate programs from natural language description and a small number of input / output examples. The algorithm combines methods from Deep Learning and Program Synthesis fields by designing rich domain-specific language (DSL) and defining efficient search algorithm guided by a Seq2Tree model on it. To evaluate the quality of the approach we also present a semi-synthetic dataset of descriptions with test examples and corresponding programs. We show that our algorithm significantly outperforms a sequence-to-sequence model with attention baseline. © 6th International Conference on Learning Representations, ICLR 2018 - Workshop Track Proceedings. All rights reserved.",,2018.0,20.0,,Natural language processing systems; Problem oriented languages; Statistical tests; Domain specific languages; Input/output; Natural languages; Program synthesis; Programming tasks; Search Algorithms; Sequence modeling; Test examples; Deep learning,2-s2.0-85083953158
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Roads, B., Love, B., (2019) Learning as the unsupervised alignment of conceptual systems, , arXiv preprint arXiv:1906.09012",,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Rumelhart, D. E., Hinton, G. E., Williams, R. J., Learning internal representations by error propagation (1986) Parallel distributed processing: Explorations in the microstructure of cognition, 1, pp. 318-362. , Rumelhart, D. E., McClelland, J. L., and the PDP Group (eds), MIT press, Cambridge, MA",Learning internal representations by error propagation,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Schlag, I., Schmidhuber, J., Learning to reason with third order tensor products (2018) Neural Information Processing Systems",Learning to reason with third order tensor products,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Smolensky, P., Tensor product variable binding and the representation of symbolic structures in connectionist networks (1990) Artifcial Intelligence, 46, pp. 159-216",Tensor product variable binding and the representation of symbolic structures in connectionist networks,,,,,,,,,
2-s2.0-85105153943,Mapping natural-language problems to formal-language solutions using structured neural representations," Smolensky, P., Lee, M., He, X., Yih, W.-t., Gao, J., Deng, L., (2016) Basic reasoning with tensor product representations, , arXiv preprint arXiv:1601.02745",,,,,,,,,,
2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system,"Dodge, J., Gane, A., Zhang, X., Bordes, A., Chopra, S., Miller, A.H., Szlam, A., Weston, J., Evaluating prerequisite qualities for learning end-to-end dialog systems (2016) 4th International Conference on Learning Representations, ICLR 2016",Evaluating prerequisite qualities for learning end-to-end dialog systems,"Dodge J., Gane A., Zhang X., Bordes A., Chopra S., Miller A.H., Szlam A., Weston J.",Evaluating prerequisite qualities for learning end-to-end dialog systems,"A long-term goal of machine learning is to build intelligent conversational agents. One recent popular approach is to train end-to-end models on a large amount of real dialog transcripts between humans (Sordoni et al., 2015; Vinyals & Le, 2015; Shang et al., 2015). However, this approach leaves many questions unanswered as an understanding of the precise successes and shortcomings of each model is hard to assess. A contrasting recent proposal are the bAbI tasks (Weston et al., 2015b) which are synthetic data that measure the ability of learning machines at various reasoning tasks over toy language. Unfortunately, those tests are very small and hence may encourage methods that do not scale. In this work, we propose a suite of new tasks of a much larger scale that attempt to bridge the gap between the two regimes. Choosing the domain of movies, we provide tasks that test the ability of models to answer factual questions (utilizing OMDB), provide personalization (utilizing MovieLens), carry short conversations about the two, and finally to perform on natural dialogs from Reddit. We provide a dataset covering ∼75k movie entities and with ∼3.5M training examples. We present results of various models on these tasks, and evaluate their performance. © ICLR 2016: San Juan, Puerto Rico. All Rights Reserved.",,2016.0,38.0,,Conversational agents; End-to-end models; Learning machines; Long-term goals; Personalizations; Reasoning tasks; Synthetic data; Training example; Machine learning,2-s2.0-85083950683
2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Bordes, A., Boureau, Y., Weston, J., Learning end-to-end goal-oriented dialog (2017) 5th International Conference on Learning Representations, ICLR",Learning end-to-end goal-oriented dialog,"Bordes A., Lan Boureau Y., Weston J.",Learning end-to-end goal-oriented dialog,"Traditional dialog systems used in goal-oriented applications require a lot of domain-specific handcrafting, which hinders scaling up to new domains. End-to-end dialog systems, in which all components are trained from the dialogs themselves, escape this limitation. But the encouraging success recently obtained in chit-chat dialog may not carry over to goal-oriented settings. This paper proposes a testbed to break down the strengths and shortcomings of end-to-end dialog systems in goal-oriented applications. Set in the context of restaurant reservation, our tasks require manipulating sentences and symbols in order to properly conduct conversations, issue API calls and use the outputs of such calls. We show that an end-to-end dialog system based on Memory Networks can reach promising, yet imperfect, performance and learn to perform non-trivial operations. We confirm those results by comparing our system to a hand-crafted slot-filling baseline on data from the second Dialog State Tracking Challenge (Henderson et al., 2014a). We show similar result patterns on data extracted from an online concierge service. © ICLR 2019 - Conference Track Proceedings. All rights reserved.",,2017.0,159.0,,Break down; Dialog systems; Domain specific; End to end; Goal-oriented; Memory network; Non-trivial; State tracking,2-s2.0-85086405484
2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Yan, Z., Duan, N., Chen, P., Zhou, M., Zhou, J., Li, Z., Building task-oriented dialogue systems for online shopping (2017) Proceedings of the Thirty-First AAAI Conference on Artificial Intelligence",Building task-oriented dialogue systems for online shopping,"Yan Z., Duan N., Chen P., Zhou M., Zhou J., Li Z.",Building task-oriented dialogue systems for online shopping,"We present a general solution towards building task-oriented dialogue systems for online shopping, aiming to assist online customers in completing various purchase-related tasks, such as searching products and answering questions, in a natural language conversation manner. As a pioneering work, we show what & how existing natural language processing techniques, data resources, and crowdsourcing can be leveraged to build such task-oriented dialogue systems for E-commerce usage. To demonstrate its effectiveness, we integrate our system into a mobile online shopping application. To the best of our knowledge, this is the first time that an dialogue system in Chinese is practically used in online shopping scenario with millions of real consumers. Interesting and insightful observations are shown in the experimental part, based on the analysis of human-bot conversation log. Several current challenges are also pointed out as our future directions. Copyright © 2017, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,2017.0,68.0,,Artificial intelligence; Data handling; Electronic commerce; Online systems; Speech processing; Data resources; Dialogue systems; General solutions; Natural languages; Online customers; Online shopping; Task-oriented; Natural language processing systems,2-s2.0-85030462261
2-s2.0-85102968935,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system," Tang, K.-F., Kao, H.-C., Chou, C.-N., Chang, E.Y., Inquire and diagnose: Neural symptom checking ensemble using deep reinforcement learning (2016), Proceedings of NIPS Workshop on Deep Reinforcement Learning",Inquire and diagnose: Neural symptom checking ensemble using deep reinforcement learning,,,,,,,,,
