Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Sutton R.S., Barto A.G.","",[No title available],1998,"Reinforcement Learning: An Introduction",,,,"","",,23402,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0004102479
"Chang C.-C., Lin C.-J.","57212663688;57154890600;","LIBSVM: A Library for support vector machines",2011,"ACM Transactions on Intelligent Systems and Technology","2","3","27","","",,23067,"10.1145/1961189.1961199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955702502&doi=10.1145%2f1961189.1961199&partnerID=40&md5=dd03b423a92c61178036037cfd9e2444","LIBSVM is a library for Support Vector Machines (SVMs). We have been actively developing this package since the year 2000. The goal is to help users to easily apply SVM to their applications. LIBSVM has gained wide popularity in machine learning and many other areas. In this article, we present all implementation details of LIBSVM. Issues such as solving SVM optimization problems theoretical convergence multiclass classification probability estimates and parameter selection are discussed in detail. © 2011 ACM.","Classification LIBSVM optimization regression support vector machines SVM","Machine-learning; Multi-class classification; Parameter selection; Probability estimate; Regression support vector machines; SVM-optimization; Optimization; Vectors; Support vector machines",,,,,,Article,"Final","",Scopus,2-s2.0-79955702502
"Mikolov T., Sutskever I., Chen K., Corrado G., Dean J.","34969425500;24831264500;57304936500;7006502115;16427311000;","Distributed representations ofwords and phrases and their compositionality",2013,"Advances in Neural Information Processing Systems",,,,"","",,15513,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898956512&partnerID=40&md5=dfbefdd1802d61da676977c9ddce4729","The recently introduced continuous Skip-gram model is an efficient method for learning high-quality distributed vector representations that capture a large number of precise syntactic and semantic word relationships. In this paper we present several extensions that improve both the quality of the vectors and the training speed. By subsampling of the frequent words we obtain significant speedup and also learn more regular word representations. We also describe a simple alternative to the hierarchical softmax called negative sampling. An inherent limitation of word representations is their indifference to word order and their inability to represent idiomatic phrases. For example, the meanings of ""Canada"" and ""Air"" cannot be easily combined to obtain ""Air Canada"". Motivated by this example, we present a simple method for finding phrases in text, and show that learning good vector representations for millions of phrases is possible.",,"Compositionality; Distributed representation; High quality; Inherent limitations; SIMPLE method; Training speed; Vector representations; Word representations; Semantics","Air Force Office of Scientific Research (AFOSR);Amazon.com;et al.;Facebook;Google;Microsoft Research","27th Annual Conference on Neural Information Processing Systems, NIPS 2013","5 December 2013 through 10 December 2013","Lake Tahoe, NV",104690,Conference Paper,"Final","",Scopus,2-s2.0-84898956512
"Albert R., Barabási A.-L.","7202686127;7006567633;","Statistical mechanics of complex networks",2002,"Reviews of Modern Physics","74","1",,"47","97",,14535,"10.1103/RevModPhys.74.47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036013593&doi=10.1103%2fRevModPhys.74.47&partnerID=40&md5=7849e23292c3d114c7641cbe602dba40","Complex networks describe a wide range of systems in nature and society. Frequently cited examples include the cell, a network of chemicals linked by chemical reactions, and the Internet, a network of routers and computers connected by physical links. While traditionally these systems have been modeled as random graphs, it is increasingly recognized that the topology and evolution of real networks are governed by robust organizing principles. This article reviews the recent advances in the field of complex networks, focusing on the statistical mechanics of network topology and dynamics. After reviewing the empirical data that motivated the recent interest in networks, the authors discuss the main models and analytical tools, covering random graphs, small-world and scale-free networks, the emerging theory of evolving networks, and the interplay between topology and the network's robustness against failures and attacks.",,,,,,,,Article,"Final","All Open Access, Green",Scopus,2-s2.0-0036013593
"Van Der Maaten L., Hinton G.","23092276000;7006699573;","Visualizing data using t-SNE",2008,"Journal of Machine Learning Research","9",,,"2579","2625",,13802,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57249084011&partnerID=40&md5=234c45663c3957ae2268abc330a03438","We present a new technique called ""t-SNE"" that visualizes high-dimensional data by giving each datapoint a location in a two or three-dimensional map. The technique is a variation of Stochastic Neighbor Embedding (Hinton and Roweis, 2002) that is much easier to optimize, and produces significantly better visualizations by reducing the tendency to crowd points together in the center of the map. t-SNE is better than existing techniques at creating a single map that reveals structure at many different scales. This is particularly important for high-dimensional data that lie on several different, but related, low-dimensional manifolds, such as images of objects from multiple classes seen from multiple viewpoints. For visualizing the structure of very large data sets, we show how t-SNE can use random walks on neighborhood graphs to allow the implicit structure of all of the data to influence the way in which a subset of the data is displayed. We illustrate the performance of t-SNE on a wide variety of data sets and compare it with many other non-parametric visualization techniques, including Sammon mapping, Isomap, and Locally Linear Embedding. The visualizations produced by t-SNE are significantly better than those produced by the other techniques on almost all of the data sets.","Dimensionality reduction; Embedding algorithms; Manifold learning; Multidimensional scaling; Visualization","Learning algorithms; Maps; Numerical analysis; Three dimensional; Visualization; Data sets; Different scales; Dimensional datums; Dimensionality reduction; Embedding algorithms; Locally linear embedding.; Manifold learning; Multidimensional scaling; Multiple classes; Multiple viewpoints; Neighborhood graphs; New techniques; Random walks; Sammon mappings; Stochastic neighbor embedding; Very large datums; Visualization techniques; Data visualization",,,,,,Article,"Final","",Scopus,2-s2.0-57249084011
"Rumelhart D.E., McClelland J.L.","",[No title available],1986,"Parallel Distributed Processing",,,,"","",,13279,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-0003444646
"Hodgkin A.L., Huxley A.F.","7004387152;7005746969;","A quantitative description of membrane current and its application to conduction and excitation in nerve",1952,"The Journal of Physiology","117","4",,"500","544",,13225,"10.1113/jphysiol.1952.sp004764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-35649001607&doi=10.1113%2fjphysiol.1952.sp004764&partnerID=40&md5=6aa1026626cee0603551c918b54870ca",[No abstract available],,"article; nerve fiber; AXONS; Axons",,,,,,Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-35649001607
"Pennington J., Socher R., Manning C.D.","22953926600;24766896100;35280197500;","GloVe: Global vectors for word representation",2014,"EMNLP 2014 - 2014 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",,,,"1532","1543",,12738,"10.3115/v1/d14-1162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961289992&doi=10.3115%2fv1%2fd14-1162&partnerID=40&md5=53f2b22fdb7676d7ea744a3676c76cc8","Recent methods for learning vector space representations of words have succeeded in capturing fine-grained semantic and syntactic regularities using vector arithmetic, but the origin of these regularities has remained opaque. We analyze and make explicit the model properties needed for such regularities to emerge in word vectors. The result is a new global logbilinear regression model that combines the advantages of the two major model families in the literature: global matrix factorization and local context window methods. Our model efficiently leverages statistical information by training only on the nonzero elements in a word-word cooccurrence matrix, rather than on the entire sparse matrix or on individual context windows in a large corpus. The model produces a vector space with meaningful substructure, as evidenced by its performance of 75% on a recent word analogy task. It also outperforms related models on similarity tasks and named entity recognition. © 2014 Association for Computational Linguistics.",,"Factorization; Matrix algebra; Natural language processing systems; Regression analysis; Semantics; Vectors; Learning vectors; Model properties; Named entity recognition; Regression model; Sparse matrices; Statistical information; Word co-occurrence; Word representations; Vector spaces","Carnegie Mellon University Qatar;Facebook;iHorizons;Qatar Computing Research Institute;Qatar National Research Fund (QNRF);Yandex","2014 Conference on Empirical Methods in Natural Language Processing, EMNLP 2014","25 October 2014 through 29 October 2014",,111414,Conference Paper,"Final","",Scopus,2-s2.0-84961289992
"Rumelhart D.E., Hinton G.E., Williams R.J.","6603375627;7006699573;57224681279;","Learning representations by back-propagating errors",1986,"Nature","323","6088",,"533","536",,12560,"10.1038/323533a0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022471098&doi=10.1038%2f323533a0&partnerID=40&md5=2e1eae82a89c7503560b15a74e4c698d","We describe a new learning procedure, back-propagation, for networks of neurone-like units. The procedure repeatedly adjusts the weights of the connections in the network so as to minimize a measure of the difference between the actual output vector of the net and the desired output vector. As a result of the weight adjustments, internal 'hidden' units which are not part of the input or output come to represent important features of the task domain, and the regularities in the task are captured by the interactions of these units. The ability to create useful new features distinguishes back-propagation from earlier, simpler methods such as the perceptron-convergence procedure 1. © 1986 Nature Publishing Group.",,"learning; model; nerve cell network; nervous system; nonbiological model; nonhuman; priority journal",,,,,,Article,"Final","",Scopus,2-s2.0-0022471098
"Mikolov T., Chen K., Corrado G., Dean J.","34969425500;57304936500;7006502115;16427311000;","Efficient estimation of word representations in vector space",2013,"1st International Conference on Learning Representations, ICLR 2013 - Workshop Track Proceedings",,,,"","",,12416,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083951332&partnerID=40&md5=20428820e8b09cdfb5078ea812a71f2d","We propose two novel model architectures for computing continuous vector representations of words from very large data sets. The quality of these representations is measured in a word similarity task, and the results are compared to the previously best performing techniques based on different types of neural networks. We observe large improvements in accuracy at much lower computational cost, i.e. it takes less than a day to learn high quality word vectors from a 1.6 billion words data set. Furthermore, we show that these vectors provide state-of-the-art performance on our test set for measuring syntactic and semantic word similarities. © 2013 International Conference on Learning Representations, ICLR. All rights reserved.",,"Semantics; Vectors; Computational costs; Efficient estimation; Model architecture; State-of-the-art performance; Vector representations; Very large datum; Word representations; Word similarity; Vector spaces",,"1st International Conference on Learning Representations, ICLR 2013","2 May 2013 through 4 May 2013",,149796,Conference Paper,"Final","",Scopus,2-s2.0-85083951332
"Newman M.E.J.","7401940367;","The structure and function of complex networks",2003,"SIAM Review","45","2",,"167","256",,12405,"10.1137/S003614450342480","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038718854&doi=10.1137%2fS003614450342480&partnerID=40&md5=8be796efe4c09efdcb0e0de09e90a205","The structure and function of complex networks were discussed. The study of networks, in the form of mathematical graph theory, is one of the fundamental pillars of discrete mathematics. Analysis showed that the network properties would affect the behavior of networked systems substantially.","Complex systems; Computer networks; Graph theory; Networks; Percolation theory; Random graphs; Social networks","Graph theory; Internet; Large scale systems; Percolation (computer storage); Topology; Random graphs; Computer networks",,,,,,Review,"Final","All Open Access, Green",Scopus,2-s2.0-0038718854
"Agrawal R., Srikant R.","","Fast algorithms for mining association rules",1994,"Proceedings of the 20th International Conference on Very Large Databases",,,,"487","499",,12207,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0001882616
"Jang J.-S.R.","7402965041;","ANFIS: Adaptive-Network-Based Fuzzy Inference System",1993,"IEEE Transactions on Systems, Man and Cybernetics","23","3",,"665","685",,11782,"10.1109/21.256541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027601884&doi=10.1109%2f21.256541&partnerID=40&md5=1b37c64dea82d83e701b9bd07185ae13","The architecture and learning procedure underlying ANFIS (adaptive-network-based fuzzy inference system) is presented, which is a fuzzy inference system implemented in the framework of adaptive networks. By using a hybrid learning procedure, the proposed ANFIS can construct an input-output mapping based on both human knowledge (in the form of fuzzy if-then rules) and stipulated input-output data pairs. In the simulation, the ANFIS architecture is employed to model nonlinear functions, identify nonlinear components on-Iinely in a control system, and predict a chaotic time series, all yielding remarkable results. Comparisons with artificial neural networks and earlier work on fuzzy modeling are listed and discussed. Other extensions of the proposed ANFIS and promising applications to automatic control and signal processing are also suggested. © 1993 IEEE",,"Adaptive control systems; Computer architecture; Cybernetics; Learning systems; Linguistics; Neural networks; Signal processing; Simulation; Time series analysis; Adaptive network; Fuzzy associative memories; Fuzzy interference system; Human knowledge; Hybrid learning procedure; Input output mapping; Fuzzy sets",,,,,,Article,"Final","",Scopus,2-s2.0-0027601884
"Quinlan J.R.","7103316475;","Induction of Decision Trees",1986,"Machine Learning","1","1",,"81","106",,11626,"10.1023/A:1022643204877","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744584654&doi=10.1023%2fA%3a1022643204877&partnerID=40&md5=48a99c15698f92848809769c74f260a1","The technology for building knowledge-based systems by inductive inference from examples has been demonstrated successfully in several practical applications. This paper summarizes an approach to synthesizing decision trees that has been used in a variety of systems, and it describes one such system, ID3, in detail. Results from recent studies show ways in which the methodology can be modified to deal with information that is noisy and/or incomplete. A reported shortcoming of the basic algorithm is discussed and two means of overcoming it are compared. The paper concludes with illustrations of current research directions. © 2004, Kluwer Academic Publishers. All rights reserved.","classification; decision trees; expert systems; induction; information theory; knowledge acquisition",,,,,,,Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-33744584654
"Simon H.A.","",[No title available],1969,"The Sciences of the Artificial",,,,"","",,11589,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003960921
"Vaswani A., Shazeer N., Parmar N., Uszkoreit J., Jones L., Gomez A.N., Kaiser Ł., Polosukhin I.","55147219200;6505939767;57202055737;51666085000;57192432426;57202060635;15044821700;57193222468;","Attention is all you need",2017,"Advances in Neural Information Processing Systems","2017-December",,,"5999","6009",,11162,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043317328&partnerID=40&md5=3e5a5c2b862c8979ffea845bb707b3c3","The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 English-to-German translation task, improving over the existing best results, including ensembles, by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.0 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature. © 2017 Neural information processing systems foundation. All rights reserved.",,"Convolution; Decoding; Network architecture; Program processors; Signal encoding; Attention mechanisms; Best model; Bleu scores; Convolutional neural network; Single models; Training costs; Two machines; Recurrent neural networks","","31st Annual Conference on Neural Information Processing Systems, NIPS 2017","4 December 2017 through 9 December 2017",,136033,Conference Paper,"Final","",Scopus,2-s2.0-85043317328
"Chang C.-C., Lin C.-J.","","LIBSVM: A library for support vector machines",2001,"LIBSVM: A Library for Support Vector Machines",,,,"","",,10537,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003710380
"Mnih V., Kavukcuoglu K., Silver D., Rusu A.A., Veness J., Bellemare M.G., Graves A., Riedmiller M., Fidjeland A.K., Ostrovski G., Petersen S., Beattie C., Sadik A., Antonoglou I., King H., Kumaran D., Wierstra D., Legg S., Hassabis D.","15845911500;25646533000;7202151417;56536225100;21744020700;16199466700;56273511600;6603794300;8838993800;36996117900;56535950000;56536156200;56536367700;56536965900;56535990600;8650774800;16551181100;12242205800;15839738700;","Human-level control through deep reinforcement learning",2015,"Nature","518","7540",,"529","533",,9228,"10.1038/nature14236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924051598&doi=10.1038%2fnature14236&partnerID=40&md5=babda0bcd55350613c26ba3aed808ce4","The theory of reinforcement learning provides a normative account, deeply rooted in psychological and neuroscientific perspectives on animal behaviour, of how agents may optimize their control of an environment. To use reinforcement learning successfully in situations approaching real-world complexity, however, agents are confronted with a difficult task: they must derive efficient representations of the environment from high-dimensional sensory inputs, and use these to generalize past experience to new situations. Remarkably, humans and other animals seem to solve this problem through a harmonious combination of reinforcement learning and hierarchical sensory processing systems, the former evidenced by a wealth of neural data revealing notable parallels between the phasic signals emitted by dopaminergic neurons and temporal difference reinforcement learning algorithms. While reinforcement learning agents have achieved some successes in a variety of domains, their applicability has previously been limited to domains in which useful features can be handcrafted, or to domains with fully observed, low-dimensional state spaces. Here we use recent advances in training deep neural networks to develop a novel artificial agent, termed a deep Q-network, that can learn successful policies directly from high-dimensional sensory inputs using end-to-end reinforcement learning. We tested this agent on the challenging domain of classic Atari 2600 games. We demonstrate that the deep Q-network agent, receiving only the pixels and the game score as inputs, was able to surpass the performance of all previous algorithms and achieve a level comparable to that of a professional human games tester across a set of 49 games, using the same algorithm, network architecture and hyperparameters. This work bridges the divide between high-dimensional sensory inputs and actions, resulting in the first artificial agent that is capable of learning to excel at a diverse array of challenging tasks. © 2015 Macmillan Publishers Limited. All rights reserved.",,"algorithm; artificial intelligence; behavioral ecology; game theory; harmonic analysis; hierarchical system; neurology; parameterization; sensory system; animal behavior; Article; human; learning algorithm; nonhuman; priority journal; reinforcement; sensory stimulation; algorithm; artificial intelligence; artificial neural network; psychological model; recreation; reward; Animalia; Algorithms; Artificial Intelligence; Humans; Models, Psychological; Neural Networks (Computer); Reinforcement (Psychology); Reward; Video Games",,,,,,Article,"Final","",Scopus,2-s2.0-84924051598
"Hopcroft J.E., Ullman J.D.","",[No title available],1979,"Introduction to Automata Theory, Languages, and Computation",,,,"","",,9083,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003620778
"Schölkopf B., Smola A.J.","","Learning with kernels",2002,"Learning with Kernels",,,,"","",,8943,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0004094721
"Hebb D.O.","",[No title available],1949,"The Organization of Behavior",,,,"","",,8882,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0004230131
"Lakoff G.","",[No title available],1987,"Women, Fire, and Dangerous Things",,,,"","",,8708,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003770368
"McCulloch W.S., Pitts W.","7005416468;8949658600;","A logical calculus of the ideas immanent in nervous activity",1943,"The Bulletin of Mathematical Biophysics","5","4",,"115","133",,8443,"10.1007/BF02478259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51249194645&doi=10.1007%2fBF02478259&partnerID=40&md5=edb67afceee33d22eaabbf1f8c1dca90","Because of the ""all-or-none"" character of nervous activity, neural events and the relations among them can be treated by means of propositional logic. It is found that the behavior of every net can be described in these terms, with the addition of more complicated logical means for nets containing circles; and that for any logical expression satisfying certain conditions, one can find a net behaving in the fashion it describes. It is shown that many particular choices among possible neurophysiological assumptions are equivalent, in the sense that for every net behaving under one assumption, there exists another net which behaves under the other and gives the same results, although perhaps not in the same time. Various applications of the calculus are discussed. © 1943 The University of Chicago Press.",,,,,,,,Article,"Final","",Scopus,2-s2.0-51249194645
"Mitchell M.","",[No title available],1996,"An Introduction to Genetic Algorithms",,,,"","",,8412,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003587805
"Fellbaum C.","",[No title available],1998,"WordNet: An Electronic Lexical Database",,,,"","",,8385,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0004289791
"Sutskever I., Vinyals O., Le Q.V.","24831264500;24342311100;12140898300;","Sequence to sequence learning with neural networks",2014,"Advances in Neural Information Processing Systems","4","January",,"3104","3112",,8371,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928547704&partnerID=40&md5=a48ad857cb90914792ad1b1191d7c591","Deep Neural Networks (DNNs) are powerful models that have achieved excellent performance on difficult learning tasks. Although DNNs work well whenever large labeled training sets are available, they cannot be used to map sequences to sequences. In this paper, we present a general end-to-end approach to sequence learning that makes minimal assumptions on the sequence structure. Our method uses a multilayered Long Short-Term Memory (LSTM) to map the input sequence to a vector of a fixed dimensionality, and then another deep LSTM to decode the target sequence from the vector. Our main result is that on an English to French translation task from the WMT'14 dataset, the translations produced by the LSTM achieve a BLEU score of 34.8 on the entire test set, where the LSTM's BLEU score was penalized on out-of-vocabulary words. Additionally, the LSTM did not have difficulty on long sentences. For comparison, a phrase-based SMT system achieves a BLEU score of 33.3 on the same dataset. When we used the LSTM to rerank the 1000 hypotheses produced by the aforementioned SMT system, its BLEU score increases to 36.5, which is close to the previous best result on this task. The LSTM also learned sensible phrase and sentence representations that are sensitive to word order and are relatively invariant to the active and the passive voice. Finally, we found that reversing the order of the words in all source sentences (but not target sentences) improved the LSTM's performance markedly, because doing so introduced many short term dependencies between the source and the target sentence which made the optimization problem easier.",,"Optimization; Statistical tests; Deep neural networks; Learning tasks; Long short term memory; Optimization problems; Out of vocabulary words; Sequence learning; Sequence structure; Target sequences; Information science","Air Force Office of Scientic Research;Amazon;et al.;Facebook;Ketchum Trading, LLC;Microsoft Research","28th Annual Conference on Neural Information Processing Systems 2014, NIPS 2014","8 December 2014 through 13 December 2014",,112962,Conference Paper,"Final","",Scopus,2-s2.0-84928547704
