Key,Title,include_aparna,include_kyle
TNQ9QG45,Neural Network Inference on Mobile SoCs,0,0
NB39QA35,Learning to activate logic rules for textual reasoning,0,1
LVIKJ2AS,Automated detection of cognitive engagement to inform the art of staying engaged in problem-solving,0,0
8MT47N5Y,A machine learning approach for optimizing heuristic decision-making in Web Ontology Language reasoners,1,1
TUVZGCHD,Neural Network Methods for Natural Language Processing,0,0
8B9CH47V,Machine learning and symbolic regression investigation on stability of MXene materials,0,0
APAYH7C2,Compositional Falsification of Cyber-Physical Systems with Machine Learning Components,1,0
NQI9B797,A novel plausible reasoning based on intuitionistic fuzzy propositional logic and its application in decision making,0,0
2N43RWSY,Research and Design on Cognitive Computing Framework for Predicting Judicial Decisions,1,1
YJAE26I7,A review and prospect of readable machine proofs for geometry theorems,0,0
DPR3HWPZ,"MultiPredGO: Deep Multi-Modal Protein Function Prediction by Amalgamating Protein Structure, Sequence, and Interaction Information",0,0
WQ7KRNXL,"Reasoning with Rough Inclusions: Granular Computing, Granular Logics, Perception Calculus, Cognitive and MAS Reasoning",0,1
5PDBVUWW,Making sense of raw input,1,0
JN4IZETG,autoBOT: evolving neuro-symbolic representations for explainable low resource text classification,0,1
NFK585BK,Artificial intelligence to deep learning: machine intelligence approach for drug discovery,0,0
IADBKVDB,Pattern recognition and beyond: Alfredo Petrosino's scientific results,0,0
Q4LPN6I8,Deep Neural Networks for Image Classification,0,0
KSDE58VV,Continuous fields: Enhanced in-vehicle anomaly detection using machine learning models,0,0
EKX2PU85,Ultra-Strong Machine Learning: comprehensibility of programs learned with ILP,1,0
A8RPZG9Y,Survey on frontiers of language and robotics,0,1
Q7873LYV,On the role of knowledge graphs in explainable AI,0,0
4288AB9K,Image matting in the perception granular deep learning,0,0
Y6V929T2,Towards reasoning based representations: Deep Consistence Seeking Machine,1,0
94Q97J7C,The Computational Origin of Representation,1,1
FC8WCW5P,A hybridization of deep learning techniques to predict and control traffic disturbances,0,0
N6H2XHZF,A defeasible reasoning model of inductive concept learning from examples and communication,0,0
HNVJJ6WV,Smart dispatching and optimal elevator group control through real-time occupancy-aware deep learning of usage patterns,0,0
P9YQ6EFR,Banana disease diagnosis using computer vision and machine learning methods,0,0
QK6KLI3G,A framework for hierarchical perception-action learning utilizing fuzzy reasoning,0,0
M8Z5J8KA,A Deep and Scalable Unsupervised Machine Learning System for Cyber-Attack Detection in Large-Scale Smart Grids,0,0
7SDMQNPP,These do not Look like Those: An Interpretable Deep Learning Model for Image Recognition,0,0
M36TNPXK,Some thoughts on knowledge-enhanced machine learning,1,1
6Z9JP7A2,Towards Bayesian Deep Learning: A Framework and Some Existing Methods,1,1
NIJX7GV3,Manifold: A Model-Agnostic Framework for Interpretation and Diagnosis of Machine Learning Models,0,0
DFVAQCYK,Does machine learning need fuzzy logic?,0,1
W9ZTSUJL,On Approximation of Concept Similarity Measure in Description Logic ELH with Pre-Trained Word Embedding,1,1
5EEQ5ZAD,A bottom-up complement to the logic-based top-down approach to the story arrangement test,1,1
B47SSE6P,Fuzzy commonsense reasoning for multimodal sentiment analysis,1,1
6MJP3R6E,Case-based reasoning: A concise introductionz,0,0
8MXUIQCN,DLAU: A scalable deep learning accelerator unit on FPGA,0,0
NB9ATMIZ,Inter-Patient ECG Classification with Symbolic Representations and Multi-Perspective Convolutional Neural Networks,0,0
FID3CQC2,Silas: A high-performance machine learning foundation for logical reasoning and verification,1,0
FQ78YXTY,Holographic Declarative Memory: Distributional Semantics as the Architecture of Memory,0,1
86M4DFR4,"Artificial intelligence, machine learning and process automation: existing knowledge frontier and way forward for mining sector",0,0
G7A2MTFU,Why Machines Don’t (yet) Reason Like People,1,1
H42NNAJX,Symbolic Information Flow Measurement (SIFM): A software for measurement of information flow using symbolic analysis,1,0
JQNQNRGA,A survey on temporal reasoning for temporal information extraction from text,1,1
YBBHMIUM,Applications of Deep Learning and Fuzzy Systems to Detect Cancer Mortality in Next-Generation Genomic Data,1,0
IQU9Q8N2,An architecture for adaptive task planning in support of IoT-based machine learning applications for disaster scenarios,0,0
CDBXMQNU,Analytic Continued Fractions for Regression: A Memetic Algorithm Approach,0,0
UHPX4UN3,Explainable classification by learning human-readable sentences in feature subsets,1,1
JG7WSN9B,BICA for AGI,0,0
Z9LQSC4L,Symbolic knowledge extraction from trained neural networks governed by Łukasiewicz logics,1,1
BYLHAZZD,Fuzzy deep learning based urban traffic incident detection,0,1
ABBRPB2W,Self-Similar Magneto-Electric Nanocircuit Technology for Probabilistic Inference Engines,0,0
ZRVVSYJS,A fuzzy binary neural network for interpretable classifications,1,0
P53Y4CWV,Incorporating symbolic domain knowledge into graph neural networks,1,1
3TAY8JB3,Dynamic logic machine learning for cybersecurity,0,0
MBTKMGYY,A Software Architecture for Service Robots Manipulating Objects in Human Environments,0,0
QTZ3D9XY,Fuzzy deep learning-based crop yield prediction model for sustainable agronomical frameworks,1,0
Q9QRT7Q7,An intensive healthcare monitoring paradigm by using IoT based machine learning strategies,0,0
BC9VZ9N8,Common-sense reasoning for human action recognition,0,0
SR6NMLH8,ProCAVIAR: Hybrid Data-Driven and Probabilistic Knowledge-Based Activity Recognition,1,0
BHTPX39Q,A Modified Fuzzy Logic Relation-Based Approach for Electricity Consumption Forecasting in India,0,0
PU8QQXLC,Understanding and predicting short-term passenger flow of station-free shared bike: A spatiotemporal deep learning approach,0,0
47SLCMFA,Towards Automated Reentrancy Detection for Smart Contracts Based on Sequential Models,0,0
CL6MK6AE,XCR-1: An Experimental Cognitive Robot Based on an Associative Neural Architecture,0,0
LKV55ABP,Stochastic simulation and modelling of metabolic networks in a machine learning framework,1,0
ET57NWY3,Symbolic Regression Based Extreme Learning Machine Models for System Identification,1,0
Q5DASCAC,A multimodal convolutional neuro-fuzzy network for emotion understanding of movie clips,0,0
8INQPZF7,Deep learning-based reasoning with multi-ontology for IoT applications,1,1
5ZPANC8A,Machine learning of octahedral tilting in oxide perovskites by symbolic classification with compressed sensing,1,0
UFXC578Y,FPGA Logic Block Architectures for Efficient Deep Learning Inference,0,0
7SGVPUQ2,Perception granular computing in visual haze-free task,0,1
JIAW6SJJ,A multi-strategy machine learning student modeling for intelligent tutoring systems: Based on blackboard approach,0,0
H45KKPLF,Activity Recognition for Diabetic Patients Using a Smartphone,0,0
96RM683E,Duplicate Question Detection with Deep Learning in Stack Overflow,0,0
M3WPKU55,An epistemic approach to the formal specification of statistical machine learning,0,1
6G8P9YYB,Fuzzy machine learning and data mining,0,0
Q2RU93A3,Machine learning techniques for semantic analysis of dysarthric speech: An experimental study,0,0
YBUAUWEY,Machine Discovery of Comprehensible Strategies for Simple Games Using Meta-interpretive Learning,0,1
F42A3BYC,Improving cognitive ability of edge intelligent IIoT through machine learning,0,0
VXKL79DR,A fusion method based on Deep Learning and Case-Based Reasoning which improves the resulting medical image segmentations,0,0
J9DS9WQH,Improving Visual Reasoning through Semantic Representation (December 2020),0,0
44WHSCJI,Selecting Informative Data Samples for Model Learning through Symbolic Regression,0,0
EH3BMBMR,The State of the Art in Integrating Machine Learning into Visual Analytics,0,0
QJAQWKUS,Logic Encryption for Resource Constrained Designs,0,0
M3TG8SKF,OntoILPER: an ontology- and inductive logic programming-based system to extract entities and relations from text,1,1
32KWJPQX,Fuzzy Restricted Boltzmann Machine for the Enhancement of Deep Learning,1,0
MLIW5XJN,Distributional logic programming for Bayesian knowledge representation,1,1
KDZ6AWYV,Visual Interaction with Deep Learning Models through Collaborative Semantic Inference,0,1
4RM8QMSE,Blockchain for explainable and trustworthy artificial intelligence,0,0
8FCXTF65,Fuzzification of attribute information granules and its formal reasoning model,0,0
4XBWWFM7,Medical Diagnostic Systems Using Artificial Intelligence (AI) Algorithms: Principles and Perspectives,0,0
I9IHFH6N,A connectionist account of the relational shift and context sensitivity in the development of generalisation,1,1
CDYCTGLD,Degradation stage classification via interpretable feature learning,0,0
WZPCLZV6,HypoML: Visual analysis for hypothesis-based evaluation of machine learning models,0,0
TZQTNAVD,Learning to Drive by Imitation: An Overview of Deep Behavior Cloning Methods,0,0
LJ6KTV3S,Dynamic maintenance case base using knowledge discovery techniques for case based reasoning systems,0,0
CGLBI7VX,"Short-term cognitive networks, flexible reasoning and nonsynaptic learning",0,1
UGTAYGSI,Turning biases into hypotheses through method: A logic of scientific discovery for machine learning,0,0
Q7RZGZ48,Hybridizing metric learning and case-based reasoning for adaptable clickbait detection,0,1
EGI547RA,Question Answering Systems with Deep Learning-Based Symbolic Processing,1,1
J2VN49U9,DNA Cryptography and Deep Learning using Genetic Algorithm with NW algorithm for Key Generation,0,0
7FV4X2GA,A logic-based computational method for the automated induction of fuzzy ontology axioms,0,0
28AU6BRU,Roles played by Bayesian networks in machine learning: An empirical investigation,0,0
BNUU5UXR,Using Machine Learning to Infer Reasoning Provenance from User Interaction Log Data,1,0
6QNPYEA5,COMPOSE: Using temporal patterns for interpreting wearable sensor data with computer interpretable guidelines,0,0
ZW6KGA63,Learning-based scheduling of flexible manufacturing systems using ensemble methods,0,1
N74Z86UI,From machine learning to machine reasoning: An essay,1,1
7F87LCWU,Temporal Reasoning via Audio Question Answering,0,0
P32QRIYJ,Fraud Prediction in Smart Societies Using Logistic Regression and k-fold Machine Learning Techniques,0,0
7Q5JRVK2,Semantic-based regularization for learning and inference,0,1
L33Q7QJ5,Clustering in vehicular ad hoc network: Algorithms and challenges,0,0
HRGZGEVN,Finding broken gates in quantum circuits: exploiting hybrid machine learning,0,0
9AMIEFEX,Learning of defaults by agents in a distributed multi-agent system environment,0,1
5DGXDZ77,Fuzzy logic interpretation of quadratic networks,0,1
J9TUSXR6,Explainable artificial intelligence for breast cancer: A visual case-based reasoning approach,0,0
NJSX8NPA,Hybrid case-base maintenance approach for modeling large scale case-based reasoning systems,0,0
X9Z84HMG,Blind Identification of Sparse Systems Using Symbolic Dynamics Encoding,0,0
AZXPAGR7,Learning strategies for task delegation in norm-governed environments,1,1
K5VREYQ8,Scheme fuzzy approach to classify skin tonalities through geographic distribution,0,0
YY3243BS,Envisioning the qualitative effects of robot manipulation actions using simulation-based projections,0,0
WIRWVTPG,A Psychologically Inspired Fuzzy Cognitive Deep Learning Framework to Predict Crowd Behavior,0,0
5P2Z4DHH,A hybrid feature model and deep learning based fault diagnosis for unmanned aerial vehicle sensors,0,0
E55R8LH9,An intelligent decision support system for production planning based on machine learning,1,1
Q6IGFUXE,Hierarchical Semantic Graph Reasoning for Train Component Detection,0,0
B7D2DTG3,A cognitive/intelligent resource provisioning for cloud computing services: opportunities and challenges,0,1
R3KAQ6JV,Machine learning based feature selection and knowledge reasoning for CBR system under big data,1,0
FEXZ3FTL,"HaemoKBS: A knowledge-based system for real-time, continuous categorisation of adverse reactions in blood recipients",1,1
LWBRNSMB,Semiring programming: A semantic framework for generalized sum product problems,1,0
3YG74NCW,KM4: Visual reasoning via Knowledge Embedding Memory Model with Mutual Modulation,0,0
JNLYI6BL,Cross-document structural relationship identification using supervised machine learning,0,0
6R2XFBJL,Exploration of artistic creation of Chinese ink style painting based on deep learning framework and convolutional neural network model,0,0
UFEDPFJX,Using social network analysis and gradient boosting to develop a soccer win–lose prediction model,0,0
SJ38TLUH,Ensemble modeling of transport and dispersion simulations guided by machine learning hypotheses generation,0,0
2PNFHS7L,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system,1,0
A6RER5LE,Explainable Prediction of Chronic Renal Disease in the Colombian Population Using Neural Networks and Case-Based Reasoning,0,0
E3NY8RZF,Resilient training of neural network classifiers with approximate computing techniques for hardware-optimised implementations,0,0
ZZAHFFRU,A big data intelligence analysis expression method based on machine learning,1,1
HF8M5WU5,Visual Question Answering: A Tutorial,0,0
UN2ELMEG,Neurules-A Type of Neuro-symbolic Rules: An Overview,1,1
9HJAZC4J,Layouts from panoramic images with geometry and deep learning,0,0
DAUD7PW2,A Spam Transformer Model for SMS Spam Detection,0,0
YS67B433,Human Posture Recognition Using a Hybrid of Fuzzy Logic and Machine Learning Approaches,0,0
RFAHZZH8,Probabilistic inference of Bayesian neural networks with generalized expectation propagation,1,0
SX2W3B6B,What can Android mobile app developers do about the energy consumption of machine learning?,0,0
AT28KRG8,Value of fuzzy logic for data mining and machine learning: A case study,0,0
YAYYLU6C,Optimal Type-3 Fuzzy System for Solving Singular Multi-Pantograph Equations,0,0
W5QEYKDB,Deep learning and case-based reasoning for predictive and adaptive traffic emergency management,0,0
ZC3UYALA,Possibilistic AIRS induction from uncertain data,1,0
6PBV4L54,Weighted Fuzzy Interpolative Reasoning Based on the Slopes of Fuzzy Sets and Particle Swarm Optimization Techniques,0,0
UEXNC74X,Deep learning based matrix completion,0,0
ZHA5CY6A,Refinement operators for directed labeled graphs with applications to instance-based learning,0,0
WXL6C38K,A benchmark of selected algorithmic differentiation tools on some problems in computer vision and machine learning,0,0
JS6XTEN8,Understanding adversarial examples requires a theory of artefacts for deep learning,0,0
TADKJC3H,Training Binarized Neural Networks using Ternary Multipliers,0,0
SSFQQ8XR,Performance evaluation of fuzzy clustered case-based reasoning,0,0
57NJKR3Q,A learning system based on lazy metareasoning,0,1
ZMR83WWL,Hybrid Reasoning-based Privacy-Aware Disease Prediction Support System,0,0
4K274QZ9,Parameter identification for symbolic regression using nonlinear least squares,0,0
ED9VWN2P,A novel explainable image classification framework: case study on skin cancer and plant disease prediction,0,0
LXVVU9IG,Deep learning for noise-tolerant RDFS reasoning,0,1
Q7NAWFG3,Coverage-directed test generation automated by machine learning - A review,0,0
J9SKSF6N,Using Machine Learning to Improve Cylindrical Algebraic Decomposition,0,0
HKSWXY29,Learning a bidirectional mapping between human whole-body motion and natural language using deep recurrent neural networks,0,0
Y5DEU66R,Opera-oriented character relations extraction for role interaction and behaviour Understanding: a deep learning approach,0,1
IMUWQCJG,Type-1 and singleton fuzzy logic system trained by a fast scaled conjugate gradient methods for dealing with binary classification problems,0,1
HIJL2VU6,Learning efficient logic programs,0,1
PPIJBUP8,Urban Intelligence with Deep Edges,0,0
YEYDA8HI,ILIOU machine learning preprocessing method for depression type prediction,0,0
8I89SD4K,A deep learning inspired belief rule-based expert system,1,1
MNNI7L8R,The changing fortunes of pattern recognition and computer vision,0,0
E9QRNUBD,Fuzzy sets in data analysis: From statistical foundations to machine learning,0,1
Y63DYXIK,ANCFIS: A neurofuzzy architecture employing complex fuzzy sets,0,0
GYKW9BLA,Intelligent feature engineering and ontological mapping of brain tumour histomorphologies by deep learning,0,0
VSSHXGIM,Exhaustive simulation of consecutive mental states of human agents,0,0
7MGKKE7Q,A logic-based relational learning approach to relation extraction: The OntoILPER system,0,1
B5Y83LBQ,On learning effective ensembles of deep neural networks for intrusion detection,0,0
ECHDXEJG,Splicerover: Interpretable convolutional neural networks for improved splice site prediction,0,0
Y7XQEZMH,Machine learning steered symbolic execution framework for complex software code,1,1
LS69UH8F,Machine Learning and Conceptual Reasoning for Inconsistency Detection,1,1
CI546TXE,Premise selection for mathematics by corpus analysis and Kernel methods,0,0
6Q2DW2ZL,Rule inducing by fuzzy lattice reasoning classifier based on metric distances (FLRC-MD),0,0
LK4RL8K4,Biometrics and forensics integration using deep multi-modal semantic alignment and joint embedding,0,0
2MDIKLK7,Modelling spatial and temporal context to support activity recognition,0,0
V6GFPJBU,Video reasoning for conflict events through feature extraction,0,1
TZPURNF3,Mining the semantic web: Statistical learning for next generation knowledge bases,1,1
NWKGBV36,Reasoning about ideal interruptible moments: A soft computing implementation of an interruption classifier in free-form task environments,0,1
UBS58BBV,Geometry-attentive relational reasoning for robust facial landmark detection,0,0
U3SRTFRB,Case-based reasoning for safety assessment of critical software,0,0
GWAQ7FNX,Hound: Causal Learning for Datacenter-scale Straggler Diagnosis,0,0
G4HD5S9E,"Studies in using a universal exchange and inference language for evidence based medicine. Semi-automated learning and reasoning for PICO methodology, systematic review, and environmental epidemiology",0,0
RJ8WN6JX,The uncertainty and explainability in object recognition,0,0
M7ZG4WZM,A machine learning approach to predict the winner in StarCraft based on influence maps,0,0
AP4S9FHA,Multi-objective optimal control for proactive decision making with temporal logic models,0,0
D98FGVN5,A study on leading machine learning techniques for high order fuzzy time series forecasting,0,0
WI9SL3MG,A brain-inspired multimodal data mining approach for human activity recognition in elderly homes,0,0
ETE3ZTWR,ALSTM: An attention-based long short-term memory framework for knowledge base reasoning,0,1
FELSBHY4,Image captioning via hierarchical attention mechanism and policy gradient optimization,0,0
FC8PKM8Q,Cancer miRNA biomarkers classification using a new representation algorithm and evolutionary deep learning,0,0
QFCCXVHG,Classifying and completing word analogies by machine learning,0,0
7QUCC4LF,Detecting control system misbehavior by fingerprinting programmable logic controller functionality,0,0
KQKN3SHS,Evolutionary Deep Learning-Based Energy Consumption Prediction for Buildings,0,0
ME6YR92R,Modality-wise relational reasoning for one-shot sensor-based activity recognition,0,0
UMI9HNEY,Improving Load Forecasting Process for a Power Distribution Network Using Hybrid AI and Deep Learning Algorithms,0,1
S8J4ZJ49,"Semantically-based priors and nuanced knowledge core for Big Data, Social AI, and language understanding",0,0
XK7N7E5X,Symbolic regression in dynamic scenarios with gradually changing targets,0,0
WM45UBTN,A machine learning based plasticity model using proper orthogonal decomposition,0,0
8UBLGFBX,Logic-driven autoencoders,0,1
TI86647N,Diagnosis of Acute Poisoning using explainable artificial intelligence,0,0
BHHRLTYN,"Significance of models of computation, from turing model to natural computation",0,1
5ZKZKZH8,Using dynamic time warping distances as features for improved time series classification,0,0
B2ZYRVRM,Trace2TAP: Synthesizing Trigger-Action Programs from Traces of Behavior,0,1
SKTJX4GI,Learning similarity measures from data,0,0
D6GWTMCQ,Introduction to Symbolic Plan and Goal Recognition Reuth Mirsky,0,0
RQ8SSQUN,Fuzzy ILP Classification of web reports after linguistic text mining,0,0
I2FPD8T4,Ensemble reduction via logic minimization,0,0
MQAZ3KLB,"From Cognitive to Intelligent Secondary Cooperative Networks for the Future Internet: Design, Advances, and Challenges",0,0
66UQX9LW,An Analysis of Machine- and Human-Analytics in Classification,0,0
G5P9LXN5,Paraconsistent OWL and related logics,0,0
5Z8CLFZV,Learning in context: enhancing machine learning with context-based reasoning,1,0
PDXCAKK7,Interval type-2 fuzzy weighted support vector machine learning for energy efficient biped walking,0,0
JQIKCMV2,Extending the Tsetlin Machine with Integer-Weighted Clauses for Increased Interpretability,1,1
GDPJCNFX,Transparent insertion of custom logic in HTTP(S) streams using PbProxy,0,0
WIM3YU49,A state of the art review of intelligent scheduling,0,0
U9TXV924,STQS: Interpretable multi-modal Spatial-Temporal-seQuential model for automatic Sleep scoring,0,0
QJ4AF8EJ,A novel method based on symbolic regression for interpretable semantic similarity measurement,1,1
2PZIW8P2,Data driven modeling of plastic deformation,0,0
85WXY5JP,Evolutionary design of decision trees,0,0
XL6MBMQQ,Novel machine learning technique for predicting teaching strategy effectiveness,0,0
QV9CPFGX,Can machine learning learn a decision oracle for NP problems? A test on SAT,0,0
6GZPGNHG,Machine learning-enabled scalable performance prediction of scientific codes,0,0
HTKS76HQ,A Novel Case Base Reasoning and Frequent Pattern Based Decision Support System for Mitigating Software Risk Factors,0,0
BUF2U245,"Predicting Influential Blogger's by a Novel, Hybrid and Optimized Case Based Reasoning Approach with Balanced Random Forest Using Imbalanced Data",0,0
4Z3PIM3Z,Learning-assisted automated reasoning with Flyspeck,0,0
4X7XLFCR,Deep learning in design workflows: The elusive design pixel,0,0
YYIVF5VW,Data-driven RANS closures for three-dimensional flows around bluff bodies,0,0
52US9EXA,Reverse JPEG Compatibility Attack,0,0
8DCVPD9F,Emerging ADAS Thermal Reliability Needs and Solutions,0,0
CFM48IW5,User-centered visual analysis using a hybrid reasoning architecture for intensive care units,0,0
KUZ8IDWH,CBR-PDS: a case-based reasoning phishing detection system,0,0
FZP45CHF,Text categorization: past and present,0,0
2YI822R8,Design of Target Recognition System Based on Machine Learning Hardware Accelerator,0,0
C5WP8S97,Cloud-Based Industrial Cyber-Physical System for Data-Driven Reasoning: A Review and Use Case on an Industry 4.0 Pilot Line,0,0
ARN3RXUK,Generalized backpropagation algorithm for training second-order neural networks,0,1
JBRJXR8E,Incremental learning of event definitions with Inductive Logic Programming,0,1
T5YMERQC,HCET: Hierarchical clinical embedding with topic modeling on electronic health records for predicting future depression,0,0
W2Q4E8E4,A probabilistic logic approach to outcome prediction in team games using historical data and domain knowledge,1,1
ADEGV37A,Learning hierarchical probabilistic logic programs,1,1
H5Z76FA7,Expectation maximization over binary decision diagrams for probabilistic logic programs,0,1
V5PXV8Y4,Classification of rubberized coir fibres using deep learning-based neural fuzzy decision tree approach,0,0
KRNL9WN7,Trust-Based Cloud Machine Learning Model Selection for Industrial IoT and Smart City Services,0,0
MB46W5JT,kProbLog: an algebraic Prolog for machine learning,0,0
QLRGLIJM,A proposal to apply inductive logic programming to self-healing problem in grid computing: How will it work?,0,0
EVGQZIY3,Case-Based Reasoning for Product Style Construction and Fuzzy Analytic Hierarchy Process Evaluation Modeling Using Consumers Linguistic Variables,0,0
R4MQZT37,Temporal Memory with Magnetic Racetracks,0,0
T3BYK5QU,Collective decision making: A great opportunity for constraint reasoning,0,1
NZDFEZUF,Shades of Knowledge-Infused Learning for Enhancing Deep Learning,1,1
AS6GJRJX,A wildfire warning system applied to the state of Acre in the Brazilian Amazon,0,0
JSY3MU9J,Combining user reputation and provenance analysis for trust assessment,0,0
YYEVWWQY,A process framework for inducing and explaining Datalog theories,0,0
CEVZ9A8R,Semantics of deductive databases with spiking neural P systems,1,1
DEC2SS8Q,Service Function Chain Embedding for NFV-Enabled IoT Based on Deep Reinforcement Learning,0,0
4SSJP9ZF,Merged Logic and Memory Fabrics for Accelerating Machine Learning Workloads,0,0
EHDBNMTE,Area-efficient differential Gaussian circuit for dedicated hardware implementations of Gaussian function based machine learning algorithms,0,0
MEUHSLXX,Hyperspectral Image Features Classification Using Deep Learning Recurrent Neural Networks,0,0
7UTFGGRP,Predicting Learning in a Multi-component Serious Game,0,0
QYLXBZ8F,ADRL: An attention-based deep reinforcement learning framework for knowledge graph reasoning,0,1
3K5G87V9,Detection and Evaluation of Driver Distraction Using Machine Learning and Fuzzy Logic,0,1
XFC4A3AK,Identification of synthesis approaches for IP/IC piracy of reversible circuits,0,0
PRMW99KR,"Modeling of daily pan evaporation in sub tropical climates using ANN, LS-SVR, Fuzzy Logic, and ANFIS",0,0
SXGNIEJ6,Second order Takagi-Sugeno fuzzy model with domain adaptation for nonlinear regression,0,0
X8HIAGSC,Weakly Supervised Object Detection Using Proposal- and Semantic-Level Relationships,0,0
YTWBLFZR,A decision support system for managing irrigation in agriculture,0,0
LPN27JNL,Machine Learning for Detecting Anomalies and Intrusions in Communication Networks,0,0
EBS59373,FlowNet: A Deep Learning Framework for Clustering and Selection of Streamlines and Stream Surfaces,0,0
TV3J9KRS,"Usage of case-based reasoning, neural network and adaptive neuro-fuzzy inference system classification techniques in breast cancer dataset classification diagnosis",0,0
Z7Z6DZLR,Emerging paradigms in machine learning: An introduction,0,0
AFDMMMUD,Learning symbolic representations of hybrid dynamical systems,0,0
JYEVPN66,Compound-protein interaction prediction with end-to-end learning of neural networks for graphs and sequences,0,0
2AVPZCMD,Effective feature representation using symbolic approach for classification and clustering of big data,0,1
3SUBVMMD,Machine learning-based wear fault diagnosis for marine diesel engine by fusing multiple data-driven models,1,1
KEPLHGWM,Dimensionality reduction for data visualization,0,0
QHLZ8IM8,A decomposition of the outlier detection problem into a set of supervised learning problems,0,0
KCKZY7A9,Efficient Activity Recognition in Smart Homes Using Delayed Fuzzy Temporal Windows on Binary Sensors,0,0
J5WFD34E,IoT and deep learning-inspired multi-model framework for monitoring Active Fire Locations in Agricultural Activities,0,1
2C3YIFAI,Complexity at Mesoscales: A Common Challenge in Developing Artificial Intelligence,0,1
272WDNHF,Reasoning with noisy software effort data,0,0
LHVT8TTX,A global MINLP approach to symbolic regression,0,0
TZXBCWPB,An experimental study on symbolic extreme learning machine,1,1
ZJ779KRY,Uncertainty quantification in deep convolutional neural network diagnostics of journal bearings with ovalization fault,0,0
XBNNQS9L,An application of case-based reasoning with machine learning for forensic autopsy,0,0
IUMVGNXV,Sentiment analysis using rule-based and case-based reasoning,1,0
R6ZRSFTB,Modeling valuation and core affect in a cognitive architecture: The impact of valence and arousal on memory and decision-making,0,0
75XE98GS,Sentiment classification technology based on Markov logic networks,0,1
BSVUEGBM,"Ontology Summit 2017 communiqué-AI, learning, reasoning and ontologies",0,0
9QSDA68G,A segment-wise prediction based on genetic algorithm for object recognition,0,0
38BIX8UA,Modeling and analyzing evaluation cost of CUDA kernels,0,0
S37GBJ72,Can we automate diagrammatic reasoning?,0,0
MG8ILZPE,Understanding and improving ontology reasoning efficiency through learning and ranking,0,0
