Key,Item Type,Publication Year,Author,Title,Abstract Note,Publication Title,DOI,Url,Date,Date Added,Date Modified
KIRM4EBZ,journalArticle,2021,"Vonrueden, L.; Mayer, S.; Beckh, K.; Georgiev, B.; Giesselbach, S.; Heese, R.; Kirsch, B.; Walczak, M.; Pfrommer, J.; Pick, A.; Ramamurthy, R.; Garcke, J.; Bauckhage, C.; Schuecker, J.",Informed Machine Learning - A Taxonomy and Survey of Integrating Prior Knowledge into Learning Systems,"Despite its great success, machine learning can have its limits when dealing with insufficient training data. A potential solution is the additional integration of prior knowledge into the training process which leads to the notion of informed machine learning. In this paper, we present a structured overview of various approaches in this field. We provide a definition and propose a concept for informed machine learning which illustrates its building blocks and distinguishes it from conventional machine learning. We introduce a taxonomy that serves as a classification framework for informed machine learning approaches. It considers the source of knowledge, its representation, and its integration into the machine learning pipeline. Based on this taxonomy, we survey related research and describe how different knowledge representations such as algebraic equations, logic rules, or simulation results can be used in learning systems. This evaluation of numerous papers on the basis of our taxonomy uncovers key methods in the field of informed machine learning. CCBY",IEEE Transactions on Knowledge and Data Engineering,10.1109/TKDE.2021.3079836,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105863468&doi=10.1109%2fTKDE.2021.3079836&partnerID=40&md5=3945f72c7aa111fb2c91e6d4636de977,2021,2021-07-20 15:48:24,2021-07-20 15:48:24
K8KF6UMX,journalArticle,2018,"Sreelekha, S.",NeuroSymbolic integration with uncertainty,"Most of the tasks which require intelligent behavior have some degree of uncertainty associated with them. The occurrence of uncertainty might be because of several reasons such as the incomplete domain knowledge, unreliable or ambiguous data due to measurement errors, inconsistent data representation. Most of the knowledge-based systems require the incorporation of some form of uncertainty management, in order to handle this kind of indeterminacy present in the system. In this paper, we present one such method to handle the uncertainty in neurules, a neuro-symbolic integration concept. Neuro-Computing is used within the symbolic frame work for improving the performance of symbolic rules. The uncertainty, the personal belief degree that an uncertain event may occur is managed by computing the composite belief values of incomplete or conflicting data. With the implementation of uncertainty management in neurules, the accuracy of the inference mechanism and the generalization performance can be improved. © 2018, Springer Nature Switzerland AG.",Annals of Mathematics and Artificial Intelligence,10.1007/s10472-018-9605-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056089637&doi=10.1007%2fs10472-018-9605-y&partnerID=40&md5=7b536c76a9f545463667915525d71135,2018,2021-07-20 15:48:24,2021-07-20 15:48:24
FVUVUB3N,journalArticle,2019,"Alirezaie, M.; Längkvist, M.; Sioutis, M.; Loutfi, A.",Semantic referee: A neural-symbolic framework for enhancing geospatial semantic segmentation,"Understanding why machine learning algorithms may fail is usually the task of the human expert that uses domain knowledge and contextual information to discover systematic shortcomings in either the data or the algorithm. In this paper, we propose a semantic referee, which is able to extract qualitative features of the errors emerging from deep machine learning frameworks and suggest corrections. The semantic referee relies on ontological reasoning about spatial knowledge in order to characterize errors in terms of their spatial relations with the environment. Using semantics, the reasoner interacts with the learning algorithm as a supervisor. In this paper, the proposed method of the interaction between a neural network classifier and a semantic referee shows how to improve the performance of semantic segmentation for satellite imagery data. © 2019 - IOS Press and the authors. All rights reserved.",Semantic Web,10.3233/SW-180362,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072400163&doi=10.3233%2fSW-180362&partnerID=40&md5=0c0a71f7e614556f6e265a952bc2be44,2019,2021-07-20 15:48:24,2021-07-20 15:48:24
2TUT8Z5S,journalArticle,2021,"van Bekkum, M.; de Boer, M.; van Harmelen, F.; Meyer-Vitali, A.; Teije, A.","Modular design patterns for hybrid learning and reasoning systems: a taxonomy, patterns and use cases","The unification of statistical (data-driven) and symbolic (knowledge-driven) methods is widely recognized as one of the key challenges of modern AI. Recent years have seen a large number of publications on such hybrid neuro-symbolic AI systems. That rapidly growing literature is highly diverse, mostly empirical, and is lacking a unifying view of the large variety of these hybrid systems. In this paper, we analyze a large body of recent literature and we propose a set of modular design patterns for such hybrid, neuro-symbolic systems. We are able to describe the architecture of a very large number of hybrid systems by composing only a small set of elementary patterns as building blocks. The main contributions of this paper are: 1) a taxonomically organised vocabulary to describe both processes and data structures used in hybrid systems; 2) a set of 15+ design patterns for hybrid AI systems organized in a set of elementary patterns and a set of compositional patterns; 3) an application of these design patterns in two realistic use-cases for hybrid AI systems. Our patterns reveal similarities between systems that were not recognized until now. Finally, our design patterns extend and refine Kautz’s earlier attempt at categorizing neuro-symbolic architectures. © 2021, The Author(s).",Applied Intelligence,10.1007/s10489-021-02394-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108116690&doi=10.1007%2fs10489-021-02394-3&partnerID=40&md5=d23e1c358cf7b9ded5d7fb5ce7d6ad33,2021,2021-07-20 15:48:24,2021-07-20 15:48:24
Y3PYNSZX,journalArticle,2021,"Han, Z.; Wei, B.; Xi, X.; Chen, B.; Yin, Y.; Li, S.",Unifying neural learning and symbolic reasoning for spinal medical report generation,"Automated medical report generation in spine radiology, i.e., given spinal medical images and directly create radiologist-level diagnosis reports to support clinical decision making, is a novel yet fundamental study in the domain of artificial intelligence in healthcare. However, it is incredibly challenging because it is an extremely complicated task that involves visual perception and high-level reasoning processes. In this paper, we propose the neural-symbolic learning (NSL) framework that performs human-like learning by unifying deep neural learning and symbolic logical reasoning for the spinal medical report generation. Generally speaking, the NSL framework firstly employs deep neural learning to imitate human visual perception for detecting abnormalities of target spinal structures. Concretely, we design an adversarial graph network that interpolates a symbolic graph reasoning module into a generative adversarial network through embedding prior domain knowledge, achieving semantic segmentation of spinal structures with high complexity and variability. NSL secondly conducts human-like symbolic logical reasoning that realizes unsupervised causal effect analysis of detected entities of abnormalities through meta-interpretive learning. NSL finally fills these discoveries of target diseases into a unified template, successfully achieving a comprehensive medical report generation. When employed in a real-world clinical dataset, a series of empirical studies demonstrate its capacity on spinal medical report generation and show that our algorithm remarkably exceeds existing methods in the detection of spinal structures. These indicate its potential as a clinical tool that contributes to computer-aided diagnosis. © 2020",Medical Image Analysis,10.1016/j.media.2020.101872,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094323461&doi=10.1016%2fj.media.2020.101872&partnerID=40&md5=6fb4c90947d3fd6fce24756a93bfd9b9,2021,2021-07-20 15:48:24,2021-07-20 15:48:24
7CM6V7SH,journalArticle,2014,"Hatzilygeroudis, I.; Prentzas, J.",Fuzzy and neuro-symbolic approaches in personal credit scoring: Assessment of bank loan applicants,"Credit scoring is a vital task in the financial domain. An important aspect in credit scoring involves the assessment of bank loan applications. Loan applications are frequently assessed by banking personnel regarding the ability/possibility of satisfactorily dealing with loan demands. Intelligent methods may be employed to assist in the required tasks. In this chapter, we present the design, implementation and evaluation of two separate intelligent systems that assess bank loan applications. The systems employ different knowledge representation formalisms. More specifically, the corresponding intelligent systems are a fuzzy expert system and a neuro-symbolic expert system. The former employs fuzzy rules based on knowledge elicited from experts. The latter is based on neurules, a type of neuro-symbolic rules that combine a symbolic (production rules) and a connectionist (adaline unit) representation. A characteristic of neurules is that they retain the naturalness and modularity of symbolic rules. Neurules were produced from available patterns. Evaluation showed that the performance of both systems is close although their knowledge bases were derived from different types of source knowledge. © 2014 Springer International Publishing Switzerland.",Studies in Computational Intelligence,10.1007/978-3-319-01866-9_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958528749&doi=10.1007%2f978-3-319-01866-9_10&partnerID=40&md5=d85f5a1001a31aa8001d51869f5fd356,2014,2021-07-20 15:48:24,2021-07-20 15:48:24
TPT5W9FR,journalArticle,2016,"Prentzas, J.; Hatzilygeroudis, I.",Assessment of life insurance applications: An approach integrating neuro-symbolic rule-based with case-based reasoning,"Assessment of applications for life insurance is an important task in the insurance sector that concerns estimation of potential risks underlying an application, if accepted. This task is accomplished by specialized personnel of insurance companies. Because of recent financial crises, this task is more demanding, and intelligent computer-based methods could be employed to assist. In this paper, we present an intelligent approach to assessment of life insurance applications, which is based on an integration of neurule-based with case-based reasoning. Neurules are a type of neuro-symbolic rules that combine a symbolic (production rules) and a connectionist (adaline unit) representation. A characteristic of neurules is that in contrast to other hybrid neuro-symbolic approaches, they retain the naturalness and modularity of symbolic rules. Neurules are produced from available symbolic rules that represent general knowledge, which however do not completely cover the domain. We use health condition, age, gender, annual income, profession, insurance type and primary life insurance benefit as assessment parameters used in rule conditions. The integration of neurules and cases employs different types of indices for the cases according to different roles they play in neurule-based reasoning. This results in its accuracy improvement. Experimental results demonstrate the effectiveness of the approach. © 2015 Wiley Publishing Ltd.",Expert Systems,10.1111/exsy.12137,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947982891&doi=10.1111%2fexsy.12137&partnerID=40&md5=3f0355d67b192ef1aea3aa52c1ab5584,2016,2021-07-20 15:48:24,2021-07-20 15:48:24
B6HMY5VN,journalArticle,2020,"Hohenecker, P.; Lukasiewicz, T.",Ontology reasoning with deep neural networks,"The ability to conduct logical reasoning is a fundamental aspect of intelligent human behavior, and thus an important problem along the way to human-level artificial intelligence. Traditionally, logic-based symbolic methods from the field of knowledge representation and reasoning have been used to equip agents with capabilities that resemble human logical reasoning qualities. More recently, however, there has been an increasing interest in using machine learning rather than logic-based symbolic formalisms to tackle these tasks. In this paper, we employ state-of-the-art methods for training deep neural networks to devise a novel model that is able to learn how to effectively perform logical reasoning in the form of basic ontology reasoning. This is an important and at the same time very natural logical reasoning task, which is why the presented approach is applicable to a plethora of important real-world problems. We present the outcomes of several experiments, which show that our model is able to learn to perform highly accurate ontology reasoning on very large, diverse, and challenging benchmarks. Furthermore, it turned out that the suggested approach suffers much less from different obstacles that prohibit logic-based symbolic reasoning, and, at the same time, is surprisingly plausible from a biological point of view. © 2020 AI Access Foundation. All rights reserved.",Journal of Artificial Intelligence Research,10.1613/JAIR.1.11661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091394619&doi=10.1613%2fJAIR.1.11661&partnerID=40&md5=f2c4fe69dd532c4c3c1697020bd217c3,2020,2021-07-20 15:48:25,2021-07-20 15:48:25
HMMJSAAE,journalArticle,2017,"Besold, T.R.; Garcez, A.A.; Stenning, K.; van der Torre, L.; van Lambalgen, M.",Reasoning in Non-probabilistic Uncertainty: Logic Programming and Neural-Symbolic Computing as Examples,"This article aims to achieve two goals: to show that probability is not the only way of dealing with uncertainty (and even more, that there are kinds of uncertainty which are for principled reasons not addressable with probabilistic means); and to provide evidence that logic-based methods can well support reasoning with uncertainty. For the latter claim, two paradigmatic examples are presented: logic programming with Kleene semantics for modelling reasoning from information in a discourse, to an interpretation of the state of affairs of the intended model, and a neural-symbolic implementation of input/output logic for dealing with uncertainty in dynamic normative contexts. © 2017, Springer Science+Business Media Dordrecht.",Minds and Machines,10.1007/s11023-017-9428-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014652011&doi=10.1007%2fs11023-017-9428-3&partnerID=40&md5=7fc0aac7a6a945f1f9ab9c4c5b9a43a1,2017,2021-07-20 15:48:25,2021-07-20 15:48:25
YR46S9XC,journalArticle,2020,"Jia, H.; Chen, S.",Integrated data and knowledge driven methodology for human activity recognition,"Human activity recognition has been a popular research area concerned with identifying the specific movement or action of a person based on variety of sensor data. Conventional human activity recognition approaches are mainly data driven, which are not working well for composite activity recognition due to the complexity and uncertainty of real scenarios. We propose in this paper a hierarchical structure-based framework and methodology for human activity recognition by an integration of data-driven approach and knowledge-based approach, which provides an interesting framework capable of bridging lower-level pattern recognition and higher-level knowledge for reasoning and explanation. More specifically, this approach constructs a hierarchical structure for representing the composite activity by a composition of lower-level actions and gestures according to its semantic meaning. This hierarchical structure is then transformed into formal syntactical logical formulas and rules, based on which the resolution based automated reasoning is applied to recognize the composite activity given the recognized lower-level actions by using data driven machine learning methods. The work is the validated using some open-source data about video based human activity recognition. The present work provides a promising framework and application illustration of integration of machine learning and symbolic reasoning. © 2020 Elsevier Inc.",Information Sciences,10.1016/j.ins.2020.03.081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085927756&doi=10.1016%2fj.ins.2020.03.081&partnerID=40&md5=760f02da321fd6489d045b170c525f04,2020,2021-07-20 15:48:25,2021-07-20 15:48:25
A84GZVVK,journalArticle,2018,"Sünderhauf, N.; Brock, O.; Scheirer, W.; Hadsell, R.; Fox, D.; Leitner, J.; Upcroft, B.; Abbeel, P.; Burgard, W.; Milford, M.; Corke, P.",The limits and potentials of deep learning for robotics,"The application of deep learning in robotics leads to very specific problems and research questions that are typically not addressed by the computer vision and machine learning communities. In this paper we discuss a number of robotics-specific learning, reasoning, and embodiment challenges for deep learning. We explain the need for better evaluation metrics, highlight the importance and unique challenges for deep robotic learning in simulation, and explore the spectrum between purely data-driven and model-driven approaches. We hope this paper provides a motivating overview of important research directions to overcome the current limitations, and helps to fulfill the promising potentials of deep learning in robotics. © 2018, © The Author(s) 2018.",International Journal of Robotics Research,10.1177/0278364918770733,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046709786&doi=10.1177%2f0278364918770733&partnerID=40&md5=0bc3b31b095684a8cbbab2e29e82f2a3,2018,2021-07-20 15:48:25,2021-07-20 15:48:25
NAKSBACG,journalArticle,2021,"Ai, L.; Muggleton, S.H.; Hocquette, C.; Gromowski, M.; Schmid, U.",Beneficial and harmful explanatory machine learning,"Given the recent successes of Deep Learning in AI there has been increased interest in the role and need for explanations in machine learned theories. A distinct notion in this context is that of Michie’s definition of ultra-strong machine learning (USML). USML is demonstrated by a measurable increase in human performance of a task following provision to the human of a symbolic machine learned theory for task performance. A recent paper demonstrates the beneficial effect of a machine learned logic theory for a classification task, yet no existing work to our knowledge has examined the potential harmfulness of machine’s involvement for human comprehension during learning. This paper investigates the explanatory effects of a machine learned theory in the context of simple two person games and proposes a framework for identifying the harmfulness of machine explanations based on the Cognitive Science literature. The approach involves a cognitive window consisting of two quantifiable bounds and it is supported by empirical evidence collected from human trials. Our quantitative and qualitative results indicate that human learning aided by a symbolic machine learned theory which satisfies a cognitive window has achieved significantly higher performance than human self learning. Results also demonstrate that human learning aided by a symbolic machine learned theory that fails to satisfy this window leads to significantly worse performance than unaided human learning. © 2021, The Author(s).",Machine Learning,10.1007/s10994-020-05941-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102509030&doi=10.1007%2fs10994-020-05941-0&partnerID=40&md5=3b780a16d9b0cb76ce2ffa395d3ba073,2021,2021-07-20 15:48:25,2021-07-20 15:48:25
9W2TRGDW,journalArticle,2021,"Zeng, Z.; Li, X.",Application of human computing in image captioning under deep learning,"Image captioning refers to a kind of machine learning technology that makes an input of an image automatically generate some descriptive texts, with this being widely applied in image search, unmanned driving, VR and AR. Deep learning performs well in some designated situations, but since it lacks reasoning ability compared with humans, it has difficulty solving problems like UUs. This paper introduces image captioning under the deep learning method based on human computing to solve UUs problems where the training set is not identical to the test set. We test this method on the data sets of Corel5K and PASCAL VOC 2012, using several popular image captioning models, and the result shows it to be efficient. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",Microsystem Technologies,10.1007/s00542-019-04473-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066850932&doi=10.1007%2fs00542-019-04473-5&partnerID=40&md5=f1c21225c9587d8c68a4e36fc66555fe,2021,2021-07-20 15:48:25,2021-07-20 15:48:25
