Key,Item Type,Publication Year,Author,Title,"Include (0,1)",Notes/Criteria,Input data,Abstract Note,Publication Title,DOI,Url,Date,Date Added,Date Modified,Scopus relevance order
M36TNPXK,journalArticle,2021,"Cozman, F.G.; Munhoz, H.N.",Some thoughts on knowledge-enhanced machine learning,1,survey,position paper,"How can we employ theoretical insights and practical tools from knowledge representation and reasoning to enhance machine learning, and when is it worthwhile to do so? This paper is based on an invited talk delivered at ECSQARU2019 around this question. It emphasizes the knowledge representation and reasoning side of knowledge-enhanced machine learning, looking at a few case studies: the finite model theory of probabilistic languages, the generation of explanations for embeddings, and an “explainable” version of the Winograd Challenge. © 2021 Elsevier Inc.",International Journal of Approximate Reasoning,10.1016/j.ijar.2021.06.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109146391&doi=10.1016%2fj.ijar.2021.06.003&partnerID=40&md5=fd187a6fb7b604ab8b39c82f94a80793,2021,7/20/21 15:48,7/20/21 15:48,72
DFVAQCYK,journalArticle,2015,"Hüllermeier, E.",Does machine learning need fuzzy logic?,1,survey,,"This article is a short position paper in which the author outlines his (necessarily subjective) perception of current research in fuzzy machine learning, that is, the use of formal concepts and mathematical tools from fuzzy sets and fuzzy logic in the field of machine learning. The paper starts with a critical appraisal of previous contributions to fuzzy machine learning and ends with a suggestion of some directions for future work. © 2015 Elsevier B.V. All rights reserved.",Fuzzy Sets and Systems,10.1016/j.fss.2015.09.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945489768&doi=10.1016%2fj.fss.2015.09.001&partnerID=40&md5=b1842c1a461d20de00951b4effc44cbd,2015,7/20/21 15:48,7/20/21 15:48,75
G7A2MTFU,journalArticle,2019,"Khemlani, S.; Johnson-Laird, P.N.",Why Machines Don’t (yet) Reason Like People,1,survey,,"AI has never come to grips with how human beings reason in daily life. Many automated theorem-proving technologies exist, but they cannot serve as a foundation for automated reasoning systems. In this paper, we trace their limitations back to two historical developments in AI: the motivation to establish automated theorem-provers for systems of mathematical logic, and the formulation of nonmonotonic systems of reasoning. We then describe why human reasoning cannot be simulated by current machine reasoning or deep learning methodologies. People can generate inferences on their own instead of just evaluating them. They use strategies and fallible shortcuts when they reason. The discovery of an inconsistency does not result in an explosion of inferences—instead, it often prompts reasoners to abandon a premise. And the connectives they use in natural language have different meanings than those in classical logic. Only recently have cognitive scientists begun to implement automated reasoning systems that reflect these human patterns of reasoning. A key constraint of these recent implementations is that they compute, not proofs or truth values, but possibilities. © 2019, This is a U.S. government work and not under copyright protection in the U.S.; foreign copyright protection may apply.",KI - Kunstliche Intelligenz,10.1007/s13218-019-00599-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074617318&doi=10.1007%2fs13218-019-00599-w&partnerID=40&md5=a6f38ebad9483391866b21845ea15e4f,2019,7/20/21 15:48,7/20/21 15:48,85
JQNQNRGA,journalArticle,2019,"Leeuwenberg, A.; Moens, M.-F.",A survey on temporal reasoning for temporal information extraction from text,1,survey,,"Time is deeply woven into how people perceive, and communicate about the world. Almost unconsciously, we provide our language utterances with temporal cues, like verb tenses, and we can hardly produce sentences without such cues. Extracting temporal cues from text, and constructing a global temporal view about the order of described events is a major challenge of automatic natural language understanding. Temporal reasoning, the process of combining different temporal cues into a coherent temporal view, plays a central role in temporal information extraction. This article presents a comprehensive survey of the research from the past decades on temporal reasoning for automatic temporal information extraction from text, providing a case study on how combining symbolic reasoning with machine learning-based information extraction systems can improve performance. It gives a clear overview of the used methodologies for temporal reasoning, and explains how temporal reasoning can be, and has been successfully integrated into temporal information extraction systems. Based on the distillation of existing work, this survey also suggests currently unexplored research areas. We argue that the level of temporal reasoning that current systems use is still incomplete for the full task of temporal information extraction, and that a deeper understanding of how the various types of temporal information can be integrated into temporal reasoning is required to drive future research in this area. © 2019 AI Access Foundation. All rights reserved.",Journal of Artificial Intelligence Research,10.1613/jair.1.11727,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075483377&doi=10.1613%2fjair.1.11727&partnerID=40&md5=1db8d20cce9d93aa12e06ec9ad74540f,2019,7/20/21 15:48,7/20/21 15:48,87
N74Z86UI,journalArticle,2014,"Bottou, L.",From machine learning to machine reasoning: An essay,1,survey,,"A plausible definition of ""reasoning"" could be ""algebraically manipulating previously acquired knowledge in order to answer a new question"". This definition covers first-order logical inference or probabilistic inference. It also includes much simpler manipulations commonly used to build large learning systems. For instance, we can build an optical character recognition system by first training a character segmenter, an isolated character recognizer, and a language model, using appropriate labelled training sets. Adequately concatenating these modules and fine tuning the resulting system can be viewed as an algebraic operation in a space of models. The resulting model answers a new question, that is, converting the image of a text page into a computer readable text. This observation suggests a conceptual continuity between algebraically rich inference systems, such as logical or probabilistic inference, and simple manipulations, such as the mere concatenation of trainable learning systems. Therefore, instead of trying to bridge the gap between machine learning systems and sophisticated ""all-purpose"" inference mechanisms, we can instead algebraically enrich the set of manipulations applicable to training systems, and build reasoning capabilities from the ground up. © 2013 The Author(s).",Machine Learning,10.1007/s10994-013-5335-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894902026&doi=10.1007%2fs10994-013-5335-x&partnerID=40&md5=294e90e9a10ef0743770ebe073caba74,2014,7/20/21 15:48,7/20/21 15:48,150
UN2ELMEG,journalArticle,2011,"Prentzas, J.; Hatzilygeroudis, I.",Neurules-A Type of Neuro-symbolic Rules: An Overview,1,survey,,"Neurules are a kind of integrated rules integrating neurocomputing and production rules. Each neurule is represented as an adaline unit. Thus, the corresponding neurule base consists of a number of autonomous adaline units (neurules). Due to this fact, a modular and natural knowledge base is constructed, in contrast to existing connectionist knowledge bases. In this paper, we present an overview of our main work involving neurules. We focus on aspects concerning construction of neurules, efficient updates of neurule bases, neurule-based inference and combination of neurules with case-based reasoning. Neurules may be constructed from either symbolic rule bases or empirical data in the form of training examples. Due to the fact that the source knowledge of neurules may change with time, efficient updates of corresponding neurule bases to reflect such changes are performed. Furthermore, the neurule-based inference mechanism is interactive and more efficient than the inference mechanism used in connectionist expert systems. Finally, neurules can be naturally combined with case-based reasoning to provide a more effective representation scheme that exploits multiple knowledge sources and provides enhanced reasoning capabilities. © Springer-Verlag Berlin Heidelberg 2011.","Smart Innovation, Systems and Technologies",10.1007/978-3-642-19618-8_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875611088&doi=10.1007%2f978-3-642-19618-8_9&partnerID=40&md5=28cfe0939e764527c00dabf882416579,2011,7/20/21 15:48,7/20/21 15:48,182
E9QRNUBD,journalArticle,2019,"Couso, I.; Borgelt, C.; Hullermeier, E.; Kruse, R.",Fuzzy sets in data analysis: From statistical foundations to machine learning,1,survey,fuzzy logic,"Basic ideas and formal concepts from fuzzy sets and fuzzy logic have been used successfully in various branches of science and engineering. This paper elaborates on the use of fuzzy sets in the broad field of data analysis and statistical sciences, including modern manifestations such as data mining and machine learning. In the fuzzy logic community, this branch of research has recently gained in importance, especially due to the emergence of data science as a new scientific discipline, and the increasing relevance of machine learning as a key methodology of modern artificial intelligence. This development has been accompanied by an internal shift from largely knowledge-based to strongly data-driven fuzzy modeling and systems design. Reflecting on the historical dimension and evolution of the area, we discuss the role of fuzzy logic in data analysis and related fields, highlight existing contributions of fuzzy sets in these fields, and outline interesting directions for future work. © 2005-2012 IEEE.",IEEE Computational Intelligence Magazine,10.1109/MCI.2018.2881642,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060024760&doi=10.1109%2fMCI.2018.2881642&partnerID=40&md5=6ec75e137f0fed53d6fb882182688cd1,2019,7/20/21 15:48,7/20/21 15:48,214
TZPURNF3,journalArticle,2012,"Rettinger, A.; Lösch, U.; Tresp, V.; D'Amato, C.; Fanizzi, N.",Mining the semantic web: Statistical learning for next generation knowledge bases,1,survey,,"In the SemanticWeb vision of theWorldWideWeb, content will not only be accessible to humans but will also be available in machine interpretable form as ontological knowledge bases. Ontological knowledge bases enable formal querying and reasoning and, consequently, a main research focus has been the investigation of how deductive reasoning can be utilized in ontological representations to enable more advanced applications. However, purely logic methods have not yet proven to be very effective for several reasons: First, there still is the unsolved problem of scalability of reasoning to Web scale. Second, logical reasoning has problems with uncertain information, which is abundant on SemanticWeb data due to its distributed and heterogeneous nature. Third, the construction of ontological knowledge bases suitable for advanced reasoning techniques is complex, which ultimately results in a lack of such expressive real-world data sets with large amounts of instance data. From another perspective, the more expressive structured representations open up new opportunities for data mining, knowledge extraction and machine learning techniques. If moving towards the idea that part of the knowledge already lies in the data, inductive methods appear promising, in particular since inductive methods can inherently handle noisy, inconsistent, uncertain and missing data. While there has been broad coverage of inducing concept structures from less structured sources (text, Web pages), like in ontology learning, given the problems mentioned above, we focus on new methods for dealing with Semantic Web knowledge bases, relying on statistical inference on their standard representations. We argue that machine learning research has to offer a wide variety of methods applicable to different expressivity levels of SemanticWeb knowledge bases: ranging from weakly expressive but widely available knowledge bases in RDF to highly expressive first-order knowledge bases, this paper surveys statistical approaches to mining the Semantic Web. We specifically cover similarity and distance-based methods, kernel machines, multivariate prediction models, relational graphical models and first-order probabilistic learning approaches and discuss their applicability to Semantic Web representations. Finally, we present selected experimentswhich were conducted on SemanticWebmining tasks for some of the algorithms presented before. This is intended to show the breadth and general potential of this exiting new research and application area for data mining. © The Author(s) 2012.",Data Mining and Knowledge Discovery,10.1007/s10618-012-0253-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870679926&doi=10.1007%2fs10618-012-0253-2&partnerID=40&md5=57b77f00f808fa74152d2e71b6e46930,2012,7/20/21 15:48,7/20/21 15:48,228
BHHRLTYN,journalArticle,2011,"Dodig-Crnkovic, G.","Significance of models of computation, from turing model to natural computation",1,survey,,"The increased interactivity and connectivity of computational devices along with the spreading of computational tools and computational thinking across the fields, has changed our understanding of the nature of computing. In the course of this development computing models have been extended from the initial abstract symbol manipulating mechanisms of stand-alone, discrete sequential machines, to the models of natural computing in the physical world, generally concurrent asynchronous processes capable of modelling living systems, their informational structures and dynamics on both symbolic and sub-symbolic information processing levels. Present account of models of computation highlights several topics of importance for the development of new understanding of computing and its role: natural computation and the relationship between the model and physical implementation, interactivity as fundamental for computational modelling of concurrent information processing systems such as living organisms and their networks, and the new developments in logic needed to support this generalized framework. Computing understood as information processing is closely related to natural sciences; it helps us recognize connections between sciences, and provides a unified approach for modeling and simulating of both living and non-living systems. © Springer Science+Business Media B.V. 2011.",Minds and Machines,10.1007/s11023-011-9235-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959541227&doi=10.1007%2fs11023-011-9235-1&partnerID=40&md5=45e543febfe4fb73c47ee2543f846541,2011,7/20/21 15:48,7/20/21 15:48,252
T3BYK5QU,journalArticle,2014,"Rossi, F.",Collective decision making: A great opportunity for constraint reasoning,1,survey,,"Collective decision making is an area of increasingly growing interest, mainly due to the rise of many IT-enabled environments where people connect and share information with others. We believe that constraint reasoning can have a major impact in this field, by providing general and flexible frameworks to model agents' preferences over the alternative decisions, efficient algorithms to compute the best individual and collective decisions, and innovative approaches to deal with missing information. However, in order to do this, we claim that constraint reasoning should increase its efforts to open up to other research areas, such as voting and game theory, multi-agent systems, machine learning, and reasoning under uncertainty. © 2013 Springer Science+Business Media New York.",Constraints,10.1007/s10601-013-9153-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898774890&doi=10.1007%2fs10601-013-9153-3&partnerID=40&md5=8d339a0c3d54927ae9ca7f5f6aec796f,2014,7/20/21 15:48,7/20/21 15:48,298
NZDFEZUF,journalArticle,2019,"Sheth, A.; Gaur, M.; Kursuncu, U.; Wickramarachchi, R.",Shades of Knowledge-Infused Learning for Enhancing Deep Learning,1,survey,,"Deep Learning has already proven to be the primary technique to address a number of problems. It holds further promise in solving more challenging problems if we can overcome obstacles, such as the lack of quality training data and poor interpretability. The exploitation of domain knowledge and application semantics can enhance existing deep learning methods by infusing relevant conceptual information into a statistical, data-driven computational approach. This will require resolving the impedance mismatch due to different representational forms and abstractions between symbolic and statistical AI techniques. In this article, we describe a continuum that comprises of three stages for infusion of knowledge into the machine/deep learning architectures. As this continuum progresses across these three stages, it starts with shallow infusion in the form of embeddings, and attention and knowledge-based constraints improve with a semideep infusion. Toward the end reflecting deeper incorporation of knowledge, we articulate the value of incorporating knowledge at different levels of abstractions in the latent layers of neural networks. While shallow infusion is well studied and semideep infusion is in progress, we consider Deep Infusion of Knowledge as a new paradigm that will significantly advance the capabilities and promises of deep learning. © 1997-2012 IEEE.",IEEE Internet Computing,10.1109/MIC.2019.2960071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078880219&doi=10.1109%2fMIC.2019.2960071&partnerID=40&md5=b40371358e6addc357267e24838743f7,2019,7/20/21 15:48,7/20/21 15:48,299
2C3YIFAI,journalArticle,2019,"Guo, L.; Wu, J.; Li, J.",Complexity at Mesoscales: A Common Challenge in Developing Artificial Intelligence,1,survey,,"Exploring the physical mechanisms of complex systems and making effective use of them are the keys to dealing with the complexity of the world. The emergence of big data and the enhancement of computing power, in conjunction with the improvement of optimization algorithms, are leading to the development of artificial intelligence (AI) driven by deep learning. However, deep learning fails to reveal the underlying logic and physical connotations of the problems being solved. Mesoscience provides a concept to understand the mechanism of the spatiotemporal multiscale structure of complex systems, and its capability for analyzing complex problems has been validated in different fields. This paper proposes a research paradigm for AI, which introduces the analytical principles of mesoscience into the design of deep learning models. This is done to address the fundamental problem of deep learning models detaching the physical prototype from the problem being solved; the purpose is to promote the sustainable development of AI. © 2019 THE AUTHORS",Engineering,10.1016/j.eng.2019.08.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072045193&doi=10.1016%2fj.eng.2019.08.005&partnerID=40&md5=708378b1411cf987624c0a08ccac9c33,2019,7/20/21 15:48,7/20/21 15:48,328
PEWIPSFT,journalArticle,2017,"Forbus, K.D.; Liang, C.; Rabkina, I.",Representation and Computation in Cognitive Models,1,survey,,"One of the central issues in cognitive science is the nature of human representations. We argue that symbolic representations are essential for capturing human cognitive capabilities. We start by examining some common misconceptions found in discussions of representations and models. Next we examine evidence that symbolic representations are essential for capturing human cognitive capabilities, drawing on the analogy literature. Then we examine fundamental limitations of feature vectors and other distributed representations that, despite their recent successes on various practical problems, suggest that they are insufficient to capture many aspects of human cognition. After that, we describe the implications for cognitive architecture of our view that analogy is central, and we speculate on roles for hybrid approaches. We close with an analogy that might help bridge the gap. Copyright © 2017 Cognitive Science Society, Inc.",Topics in Cognitive Science,10.1111/tops.12277,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021324802&doi=10.1111%2ftops.12277&partnerID=40&md5=c3e0b2d59cc2ae1e283bc2530ca7ad23,2017,7/20/21 15:48,7/20/21 15:48,412
7KQW8ICA,journalArticle,2019,"Fuller, T.J.","Cognitive Architecture, Holistic Inference and Bayesian Networks",1,survey,,"Two long-standing arguments in cognitive science invoke the assumption that holistic inference is computationally infeasible. The first is Fodor’s skeptical argument toward computational modeling of ordinary inductive reasoning. The second advocates modular computational mechanisms of the kind posited by Cosmides, Tooby and Sperber. Based on advances in machine learning related to Bayes nets, as well as investigations into the structure of scientific and ordinary information, I maintain neither argument establishes its architectural conclusion. Similar considerations also undermine Fodor’s decades-long diagnosis of artificial intelligence research as confounded by an inability to circumscribe the amount of information relevant to inferential processes. This diagnosis is particularly inapposite with respect to Bayes nets, since one of their strengths as machine learning systems has been their capacity to reason probabilistically about large data sets whose size overwhelms the capacities of individual human reasoners. A general moral follows from these criticisms: Insights into artificial and human cognitive systems are likely to be cultivated by focusing greater attention on the structure and density of connections among items of information that are available to them. © 2019, Springer Nature B.V.",Minds and Machines,10.1007/s11023-019-09505-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073679712&doi=10.1007%2fs11023-019-09505-7&partnerID=40&md5=8aaf0c92ff8a3adb2183866b036b611e,2019,7/20/21 15:49,7/20/21 15:49,617
