Key,Title,Abstract,include_aparna,include_kyle
KIRM4EBZ,Informed Machine Learning - A Taxonomy and Survey of Integrating Prior Knowledge into Learning Systems,"Despite its great success, machine learning can have its limits when dealing with insufficient training data. A potential solution is the additional integration of prior knowledge into the training process which leads to the notion of informed machine learning. In this paper, we present a structured overview of various approaches in this field. We provide a definition and propose a concept for informed machine learning which illustrates its building blocks and distinguishes it from conventional machine learning. We introduce a taxonomy that serves as a classification framework for informed machine learning approaches. It considers the source of knowledge, its representation, and its integration into the machine learning pipeline. Based on this taxonomy, we survey related research and describe how different knowledge representations such as algebraic equations, logic rules, or simulation results can be used in learning systems. This evaluation of numerous papers on the basis of our taxonomy uncovers key methods in the field of informed machine learning. CCBY",1,1
K8KF6UMX,NeuroSymbolic integration with uncertainty,"Most of the tasks which require intelligent behavior have some degree of uncertainty associated with them. The occurrence of uncertainty might be because of several reasons such as the incomplete domain knowledge, unreliable or ambiguous data due to measurement errors, inconsistent data representation. Most of the knowledge-based systems require the incorporation of some form of uncertainty management, in order to handle this kind of indeterminacy present in the system. In this paper, we present one such method to handle the uncertainty in neurules, a neuro-symbolic integration concept. Neuro-Computing is used within the symbolic frame work for improving the performance of symbolic rules. The uncertainty, the personal belief degree that an uncertain event may occur is managed by computing the composite belief values of incomplete or conflicting data. With the implementation of uncertainty management in neurules, the accuracy of the inference mechanism and the generalization performance can be improved. © 2018, Springer Nature Switzerland AG.",1,1
FVUVUB3N,Semantic referee: A neural-symbolic framework for enhancing geospatial semantic segmentation,"Understanding why machine learning algorithms may fail is usually the task of the human expert that uses domain knowledge and contextual information to discover systematic shortcomings in either the data or the algorithm. In this paper, we propose a semantic referee, which is able to extract qualitative features of the errors emerging from deep machine learning frameworks and suggest corrections. The semantic referee relies on ontological reasoning about spatial knowledge in order to characterize errors in terms of their spatial relations with the environment. Using semantics, the reasoner interacts with the learning algorithm as a supervisor. In this paper, the proposed method of the interaction between a neural network classifier and a semantic referee shows how to improve the performance of semantic segmentation for satellite imagery data. © 2019 - IOS Press and the authors. All rights reserved.",1,1
2TUT8Z5S,"Modular design patterns for hybrid learning and reasoning systems: a taxonomy, patterns and use cases","The unification of statistical (data-driven) and symbolic (knowledge-driven) methods is widely recognized as one of the key challenges of modern AI. Recent years have seen a large number of publications on such hybrid neuro-symbolic AI systems. That rapidly growing literature is highly diverse, mostly empirical, and is lacking a unifying view of the large variety of these hybrid systems. In this paper, we analyze a large body of recent literature and we propose a set of modular design patterns for such hybrid, neuro-symbolic systems. We are able to describe the architecture of a very large number of hybrid systems by composing only a small set of elementary patterns as building blocks. The main contributions of this paper are: 1) a taxonomically organised vocabulary to describe both processes and data structures used in hybrid systems; 2) a set of 15+ design patterns for hybrid AI systems organized in a set of elementary patterns and a set of compositional patterns; 3) an application of these design patterns in two realistic use-cases for hybrid AI systems. Our patterns reveal similarities between systems that were not recognized until now. Finally, our design patterns extend and refine Kautz’s earlier attempt at categorizing neuro-symbolic architectures. © 2021, The Author(s).",1,1
Y3PYNSZX,Unifying neural learning and symbolic reasoning for spinal medical report generation,"Automated medical report generation in spine radiology, i.e., given spinal medical images and directly create radiologist-level diagnosis reports to support clinical decision making, is a novel yet fundamental study in the domain of artificial intelligence in healthcare. However, it is incredibly challenging because it is an extremely complicated task that involves visual perception and high-level reasoning processes. In this paper, we propose the neural-symbolic learning (NSL) framework that performs human-like learning by unifying deep neural learning and symbolic logical reasoning for the spinal medical report generation. Generally speaking, the NSL framework firstly employs deep neural learning to imitate human visual perception for detecting abnormalities of target spinal structures. Concretely, we design an adversarial graph network that interpolates a symbolic graph reasoning module into a generative adversarial network through embedding prior domain knowledge, achieving semantic segmentation of spinal structures with high complexity and variability. NSL secondly conducts human-like symbolic logical reasoning that realizes unsupervised causal effect analysis of detected entities of abnormalities through meta-interpretive learning. NSL finally fills these discoveries of target diseases into a unified template, successfully achieving a comprehensive medical report generation. When employed in a real-world clinical dataset, a series of empirical studies demonstrate its capacity on spinal medical report generation and show that our algorithm remarkably exceeds existing methods in the detection of spinal structures. These indicate its potential as a clinical tool that contributes to computer-aided diagnosis. © 2020",1,0
7CM6V7SH,Fuzzy and neuro-symbolic approaches in personal credit scoring: Assessment of bank loan applicants,"Credit scoring is a vital task in the financial domain. An important aspect in credit scoring involves the assessment of bank loan applications. Loan applications are frequently assessed by banking personnel regarding the ability/possibility of satisfactorily dealing with loan demands. Intelligent methods may be employed to assist in the required tasks. In this chapter, we present the design, implementation and evaluation of two separate intelligent systems that assess bank loan applications. The systems employ different knowledge representation formalisms. More specifically, the corresponding intelligent systems are a fuzzy expert system and a neuro-symbolic expert system. The former employs fuzzy rules based on knowledge elicited from experts. The latter is based on neurules, a type of neuro-symbolic rules that combine a symbolic (production rules) and a connectionist (adaline unit) representation. A characteristic of neurules is that they retain the naturalness and modularity of symbolic rules. Neurules were produced from available patterns. Evaluation showed that the performance of both systems is close although their knowledge bases were derived from different types of source knowledge. © 2014 Springer International Publishing Switzerland.",1,0
TPT5W9FR,Assessment of life insurance applications: An approach integrating neuro-symbolic rule-based with case-based reasoning,"Assessment of applications for life insurance is an important task in the insurance sector that concerns estimation of potential risks underlying an application, if accepted. This task is accomplished by specialized personnel of insurance companies. Because of recent financial crises, this task is more demanding, and intelligent computer-based methods could be employed to assist. In this paper, we present an intelligent approach to assessment of life insurance applications, which is based on an integration of neurule-based with case-based reasoning. Neurules are a type of neuro-symbolic rules that combine a symbolic (production rules) and a connectionist (adaline unit) representation. A characteristic of neurules is that in contrast to other hybrid neuro-symbolic approaches, they retain the naturalness and modularity of symbolic rules. Neurules are produced from available symbolic rules that represent general knowledge, which however do not completely cover the domain. We use health condition, age, gender, annual income, profession, insurance type and primary life insurance benefit as assessment parameters used in rule conditions. The integration of neurules and cases employs different types of indices for the cases according to different roles they play in neurule-based reasoning. This results in its accuracy improvement. Experimental results demonstrate the effectiveness of the approach. © 2015 Wiley Publishing Ltd.",1,0
B6HMY5VN,Ontology reasoning with deep neural networks,"The ability to conduct logical reasoning is a fundamental aspect of intelligent human behavior, and thus an important problem along the way to human-level artificial intelligence. Traditionally, logic-based symbolic methods from the field of knowledge representation and reasoning have been used to equip agents with capabilities that resemble human logical reasoning qualities. More recently, however, there has been an increasing interest in using machine learning rather than logic-based symbolic formalisms to tackle these tasks. In this paper, we employ state-of-the-art methods for training deep neural networks to devise a novel model that is able to learn how to effectively perform logical reasoning in the form of basic ontology reasoning. This is an important and at the same time very natural logical reasoning task, which is why the presented approach is applicable to a plethora of important real-world problems. We present the outcomes of several experiments, which show that our model is able to learn to perform highly accurate ontology reasoning on very large, diverse, and challenging benchmarks. Furthermore, it turned out that the suggested approach suffers much less from different obstacles that prohibit logic-based symbolic reasoning, and, at the same time, is surprisingly plausible from a biological point of view. © 2020 AI Access Foundation. All rights reserved.",1,1
HMMJSAAE,Reasoning in Non-probabilistic Uncertainty: Logic Programming and Neural-Symbolic Computing as Examples,"This article aims to achieve two goals: to show that probability is not the only way of dealing with uncertainty (and even more, that there are kinds of uncertainty which are for principled reasons not addressable with probabilistic means); and to provide evidence that logic-based methods can well support reasoning with uncertainty. For the latter claim, two paradigmatic examples are presented: logic programming with Kleene semantics for modelling reasoning from information in a discourse, to an interpretation of the state of affairs of the intended model, and a neural-symbolic implementation of input/output logic for dealing with uncertainty in dynamic normative contexts. © 2017, Springer Science+Business Media Dordrecht.",1,1
YR46S9XC,Integrated data and knowledge driven methodology for human activity recognition,"Human activity recognition has been a popular research area concerned with identifying the specific movement or action of a person based on variety of sensor data. Conventional human activity recognition approaches are mainly data driven, which are not working well for composite activity recognition due to the complexity and uncertainty of real scenarios. We propose in this paper a hierarchical structure-based framework and methodology for human activity recognition by an integration of data-driven approach and knowledge-based approach, which provides an interesting framework capable of bridging lower-level pattern recognition and higher-level knowledge for reasoning and explanation. More specifically, this approach constructs a hierarchical structure for representing the composite activity by a composition of lower-level actions and gestures according to its semantic meaning. This hierarchical structure is then transformed into formal syntactical logical formulas and rules, based on which the resolution based automated reasoning is applied to recognize the composite activity given the recognized lower-level actions by using data driven machine learning methods. The work is the validated using some open-source data about video based human activity recognition. The present work provides a promising framework and application illustration of integration of machine learning and symbolic reasoning. © 2020 Elsevier Inc.",0,0
A84GZVVK,The limits and potentials of deep learning for robotics,"The application of deep learning in robotics leads to very specific problems and research questions that are typically not addressed by the computer vision and machine learning communities. In this paper we discuss a number of robotics-specific learning, reasoning, and embodiment challenges for deep learning. We explain the need for better evaluation metrics, highlight the importance and unique challenges for deep robotic learning in simulation, and explore the spectrum between purely data-driven and model-driven approaches. We hope this paper provides a motivating overview of important research directions to overcome the current limitations, and helps to fulfill the promising potentials of deep learning in robotics. © 2018, © The Author(s) 2018.",0,0
NAKSBACG,Beneficial and harmful explanatory machine learning,"Given the recent successes of Deep Learning in AI there has been increased interest in the role and need for explanations in machine learned theories. A distinct notion in this context is that of Michie’s definition of ultra-strong machine learning (USML). USML is demonstrated by a measurable increase in human performance of a task following provision to the human of a symbolic machine learned theory for task performance. A recent paper demonstrates the beneficial effect of a machine learned logic theory for a classification task, yet no existing work to our knowledge has examined the potential harmfulness of machine’s involvement for human comprehension during learning. This paper investigates the explanatory effects of a machine learned theory in the context of simple two person games and proposes a framework for identifying the harmfulness of machine explanations based on the Cognitive Science literature. The approach involves a cognitive window consisting of two quantifiable bounds and it is supported by empirical evidence collected from human trials. Our quantitative and qualitative results indicate that human learning aided by a symbolic machine learned theory which satisfies a cognitive window has achieved significantly higher performance than human self learning. Results also demonstrate that human learning aided by a symbolic machine learned theory that fails to satisfy this window leads to significantly worse performance than unaided human learning. © 2021, The Author(s).",1,0
9W2TRGDW,Application of human computing in image captioning under deep learning,"Image captioning refers to a kind of machine learning technology that makes an input of an image automatically generate some descriptive texts, with this being widely applied in image search, unmanned driving, VR and AR. Deep learning performs well in some designated situations, but since it lacks reasoning ability compared with humans, it has difficulty solving problems like UUs. This paper introduces image captioning under the deep learning method based on human computing to solve UUs problems where the training set is not identical to the test set. We test this method on the data sets of Corel5K and PASCAL VOC 2012, using several popular image captioning models, and the result shows it to be efficient. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",0,0
9VD974LX,"Machine learning, inductive reasoning, and reliability of generalisations","The present paper shows how statistical learning theory and machine learning models can be used to enhance understanding of AI-related epistemological issues regarding inductive reasoning and reliability of generalisations. Towards this aim, the paper proceeds as follows. First, it expounds Price’s dual image of representation in terms of the notions of e-representations and i-representations that constitute subject naturalism. For Price, this is not a strictly anti-representationalist position but rather a dualist one (e- and i-representations). Second, the paper links this debate with machine learning in terms of statistical learning theory becoming more viable epistemological tool when it abandons the perspective of object naturalism. The paper then argues that machine learning grounds a form of knowing that can be understood in terms of e- and i-representation learning. Third, this synthesis shows a way of analysing inductive reasoning in terms of reliability of generalisations stemming from a structure of e- and i-representations. In the age of Artificial Intelligence, connecting Price’s dual view of representation with Deep Learning provides an epistemological way forward and even perhaps an approach to how knowing is possible. © 2018, Springer-Verlag London Ltd., part of Springer Nature.",1,1
2FCUJH2G,From symbolic to sub-symbolic information in question classification,"Question Answering (QA) is undoubtedly a growing field of current research in Artificial Intelligence. Question classification, a QA subtask, aims to associate a category to each question, typically representing the semantic class of its answer. This step is of major importance in the QA process, since it is the basis of several key decisions. For instance, classification helps reducing the number of possible answer candidates, as only answers matching the question category should be taken into account. This paper presents and evaluates a rulebased question classifier that partially founds its performance in the detection of the question headword and in its mapping into the target category through the use ofWordNet. Moreover, we use the rule-based classifier as a features' provider of a machine learning-based question classifier. A detailed analysis of the rule-base contribution is presented. Despite using a very compact feature space, state of the art results are obtained. © Springer Science+Business Media B.V. 2010.",1,0
W25MFCK4,TensorLog: A probabilistic database implemented using deep-learning infrastructure,"We present an implementation of a probabilistic first-order logic called TensorLog, in which classes of logical queries are compiled into differentiable functions in a neural-network infrastructure such as Tensorflow or Theano. This leads to a close integration of probabilistic logical reasoning with deep-learning infrastructure: in particular, it enables high-performance deep learning frameworks to be used for tuning the parameters of a probabilistic logic. The integration with these frameworks enables use of GPU-based parallel processors for inference and learning, making TensorLog the first highly parallellizable probabilistic logic. Experimental results show that TensorLog scales to problems involving hundreds of thousands of knowledge-base triples and tens of thousands of examples. © 2020 AI Access Foundation. All rights reserved.",1,1
V3QFHYAM,Requirements Engineering in the Days of Artificial Intelligence,"Artificial Intelligence (AI) has a long tradition in software and requirements engineering (RE). Over the years, many AI techniques have been employed to represent and analyze requirements, ranging from knowledge representation and reasoning in the 1980s to the use of natural language (NL) processing, machine learning, and deep learning since the 2000s. AI techniques have been successfully applied in practice, for example, to manage large-volume requirements. © 1984-2012 IEEE.",1,0
ZN3Q37BX,ObjectAction Complexes: Grounded abstractions of sensorymotor processes,"This paper formalises ObjectAction Complexes (OACs) as a basis for symbolic representations of sensorymotor experience and behaviours. OACs are designed to capture the interaction between objects and associated actions in artificial cognitive systems. This paper gives a formal definition of OACs, provides examples of their use for autonomous cognitive robots, and enumerates a number of critical learning problems in terms of OACs. © 2011 Elsevier B.V. All rights reserved.",0,0
TA7789L5,Beyond engagement: an EEG-based methodology for assessing user’s confusion in an educational game,"Confusion is an emotion, which may occur when the learner is confronting inconsistence between new knowledge and existing cognitive structure, or reasoning for solving the puzzle and problem. Although confusion is not pleasant, it is necessary for the learner to engage in understanding and deep learning. Consequently, confusion assessment has attracted increased interest in e-learning. However, current studies have targeted no further than engagement detection and measurement, while there is lack of studies in investigating cognitive and emotional aspects beyond engagement in the context of game-based learning. To quantify confused states in logic reasoning in game-based learning, we propose an EEG-based methodology for assessing the user’s confusion using the OpenBCI device with 8 channels. In the complicated context of game play, it is difficult, and sometimes impossible, to collect the ground truth of the data in real tasks. To solve this issue, this work leverages cross-task and cross-subject methods to build a classifier, that is, training on the data of one standardized cognitive test paradigm (Raven’s test) and testing on the data of real tasks in game play (Sokoban Game). It provides a new possibility to create a classifier based on a small dataset. We also employ the end-to-end algorithm of deep learning in machine learning. Results showed the feasibility of this proposal in the task variation of the classifier, with an accuracy of 91.04%. The proposed EEG-based methodology is suitable to analyze learners’ confusion on the long game-play duration and has a good adaption in real tasks. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.",0,0
JGU2SECC,Medical knowledge embedding based on recursive neural network for multi-disease diagnosis,"The representation of knowledge based on first-order logic captures the richness of natural language and supports multiple probabilistic inference models. Although symbolic representation enables quantitative reasoning with statistical probability, it is difficult to utilize with machine learning models as they perform numerical operations. In contrast, knowledge embedding (i.e., high-dimensional and continuous vectors) is a feasible approach to complex reasoning that can not only retain the semantic information of knowledge, but also establish the quantifiable relationship among embeddings. In this paper, we propose a recursive neural knowledge network (RNKN), which combines medical knowledge based on first-order logic with a recursive neural network for multi-disease diagnosis. After the RNKN is efficiently trained using manually annotated Chinese Electronic Medical Records (CEMRs), diagnosis-oriented knowledge embeddings and weight matrixes are learned. The experimental results confirm that the diagnostic accuracy of the RNKN is superior to those of four machine learning models, four classical neural networks and Markov logic network. The results also demonstrate that the more explicit the evidence extracted from CEMRs, the better the performance. The RNKN gradually reveals the interpretation of knowledge embeddings as the number of training epochs increases. © 2019 Elsevier B.V.",0,1
Q4V9P98H,Mutual Explanations for Cooperative Decision Making in Medicine,"Exploiting mutual explanations for interactive learning is presented as part of an interdisciplinary research project on transparent machine learning for medical decision support. Focus of the project is to combine deep learning black box approaches with interpretable machine learning for classification of different types of medical images to combine the predictive accuracy of deep learning and the transparency and comprehensibility of interpretable models. Specifically, we present an extension of the Inductive Logic Programming system Aleph to allow for interactive learning. Medical experts can ask for verbal explanations. They can correct classification decisions and in addition can also correct the explanations. Thereby, expert knowledge can be taken into account in form of constraints for model adaption. © 2020, The Author(s).",0,0
7MMJY5BM,The CoRg Project: Cognitive Reasoning,"The term cognitive computing refers to new hardware and/or software that mimics the functioning of the human brain. In the context of question answering and commonsense reasoning this means that the reasoning process of humans shall be modeled by adequate technical means. However, since humans do not follow the rules of classical logic, a system designed to model these abilities must be very versatile. The aim of the CoRg project (Cognitive Reasoning) is to successfully complete a reasoning task with commonsense reasoning. We address different benchmarks with focus on the COPA benchmark set (Choice of Plausible Alternatives). Since humans naturally use background knowledge, we have to deal with large background knowledge bases and must be able to reason with multiple input formats and sources in the CoRg system, in order to draw explainable conclusions. For this, we have to find appropriate logics for cognitive reasoning. For a successful reasoning system, nowadays it seems to be important to combine automated reasoning with machine learning technology like recurrent neural networks. © 2019, Gesellschaft für Informatik e.V. and Springer-Verlag GmbH Germany, part of Springer Nature.",1,1
XNAC7N7B,Improving efficiency of merging symbolic rules into integrated rules: Splitting methods and mergability criteria,"Neurules are a type of neuro-symbolic rules integrating neurocomputing and production rules. Each neurule is represented as an adaline unit. Neurules exhibit characteristics such as modularity, naturalness and ability to perform interactive and integrated inferences and provide explanations for reached conclusions. One way of producing a neurule base is through conversion of an existing symbolic rule base yielding an equivalent but more compact rule base. The conversion process merges symbolic rules having the same conclusion into one or more neurules. Because of the inability of the adaline unit to handle inseparability, more than one neurule for each conclusion may be produced by splitting the initial set of symbolic rules into subsets. This paper presents research work improving the conversion process in terms of runtime and number of produced neurules. First, we show how easier it is to construct a neurule base than a connectionist one. Second, we present alternative rule set splitting methods. Finally, we define criteria concerning the ability or inability to convert a rule set into a single, equivalent, but more compact rule. With application of such mergability criteria, the conversion process of symbolic rules into neurules becomes more time-efficient. All the aforementioned are supported by experimental results. © 2014 Wiley Publishing Ltd.",1,1
B7EZ93DX,Verify and measure the quality of rule based machine leaning,"In recent years, explainable AI has been gaining great attention, and there is a surge of interest in studying how prediction models work and how to provide formal guarantees for the models. Rule based machine learning (RBML), which aims to automatically identify and learn a set of relational rules that collectively represent the knowledge captured by the system, are a popular class of techniques in machine learning and data mining. Since inconsistencies in the rule base learnt can have a significant, negative impact on how the system will perform and on the conclusions that it will reach, the present work addresses the issues of verification and evaluation of consistency of rule base resulted from machine learning or domain expert using the logic based automated reasoning method. The main contribution consists of two parts. The first one focused on the consistency of rule base in the classical logic sense, which can be transformed into conjunctive normal form, so the consistency of rule base learnt can be verified via a resolution based automated reasoning method. Due to the uncertainty inevitably included in the rule-base during the learning process, the more detailed work has been presented in the second part, i.e., focused on providing a formal foundation of RBML under uncertainty in order to support logical analysis, verify and measure the consistency degree of the rule-base under uncertainty based on many-valued logic automated reasoning framework and algorithms. Some examples are also provided in both parts to illustrate the feasibility and effectiveness of the present work. © 2020 Elsevier B.V.",1,0
6LD73KV7,Predicate invention-based specialization in Inductive Logic Programming,"Three relevant areas of interest in symbolic Machine Learning are incremental supervised learning, multistrategy learning and predicate invention. In many real-world tasks, new observations may point out the inadequacy of the learned model. In such a case, incremental approaches allow to adjust it, instead of learning a new model from scratch. Specifically, when a negative example is wrongly classified by a model, specialization refinement operators are needed. A powerful way to specialize a theory in Inductive Logic Programming is adding negated preconditions to concept definitions. This paper describes an empowered specialization operator that allows to introduce the negation of conjunctions of preconditions using predicate invention. An implementation of the operator is proposed, and experiments purposely devised to stress it prove that the proposed approach is correct and viable even under quite complex conditions. © 2016, Springer Science+Business Media New York.",0,0
