Doc type,Researcher,Title,Scopus Hash ID,DOI,Journal/Conference,Year,Business Use Case,Technical Application,Type of Learning,Key-intake,Contribution,Authors Definition of NeSy,Symbolic terms,Neural terms,NeSy Category,Kautz category,Datasets,Model description,Evaluation Metrics,Reported Score,Study Quality,Comments,MISC,,,
ar,A,Solving the twitter sentiment analysis problem based on a machine learning-based approach,4EF4BXD9,10.1007/s12065-019-00301-x,Evolutionary Intelligence,2020,Sentiment analysis,classification,supervised,Combined 4 methods of feature selection which is given as input to GA which optimizes the features. Einstien conorm is used to combine values from 4 methods,,,semantic enrichement,SVM,sequential,1. symbolic Neuro symbolic,"Stanford Twitter Sentiment (STS), STS-Gold, Strict Obama-McCain Debate, Obama-McCain Debate",feature selection -> SV\M,"Precision/recall, Accuracy, F1",Upto 85%,61.11%,"Twitter sentiment analysis is perfomed using support vector machine and multinomial
naïve Bayes classifcation algorithms. Vector space is computed by ",VERY POOR QUALITY PAPER,,,
ar,K,The CoRg Project: Cognitive Reasoning,7MMJY5BM,10.1007/s13218-019-00601-5,KI - Kunstliche Intelligenz,2019,Question answering,reasoning,supervised,"Authors argue that combining logic reasoning with ML improves performance and gerates explainable results. The challenge is in finding an appropriate logics for cognitive (human-like) reasoning. The objective of CoRg is to develop a system for cognitive computing.
","So far we implemented a first prototype of the CoRg system, using KNEWS, WordNet, Hyper, ConceptNet Numberbatch and neural network techniques and evaluated it on COPA.",,logic,recurrent neural network (RNN),sequential,1. symbolic Neuro symbolic,COPA benchmark set (Choice of Plausible Alternatives),raw text -> FOL (using KNEWS) -> augment with bg knwledge bases -> theorem prover -> NN,,,44.44%,"The study explores using a variety of logic systems for Cognitive Reasoning. The authors posit that combining logic programming with NN should produce not only more accurate results, but also provide expalainbility. It is a work in progress. Results are not reported. ",,,,
ar,K,Semantic-based regularization for learning and inference,7Q5JRVK2,10.1016/j.artint.2015.08.011,Artificial Intelligence,2015,Topic modeling / categorization,classification,semi-supervised,adding prior knowledge in the form of grounded knowledge as constraints significantly improves accuracy.,"Semantic Based Regularization (SBR),",,"statistical relational learning (SLR, RML),
fuzzy logic,
FOL,
Transductive learning,
grounding,
propositionalization,
semantic enrichment",SVM,compiled,5. Neuro_Symbolic,CORA,"""Semantic Based Regularization (SBR) builds a multi-layer architecture having kernel machines at the input layer. The output of the kernel machines is fed to the higher layers implementing a fuzzy generalization of the FOL knowledge. The resulting model is continuous with respect to the feature values. Therefore, the high-level semantic inference provided by the logic can be back-propagated down to the kernel machines using any gradient-based schema.""
","Area Under the Curve (AUC),
F1",0.48 - 0.66,88.89%,"Prior knowledge in the form of grounded FOL rules is used as constraints to optimization. To translate logical expressions, t-norm functions are defined for connectives AND and NOT, as well as universal and existential quatifiers, the results of which mimic that of fuzzy logic (ie., continuous in the range [0,1]). While the performance of the proposed architecture is a significant improvement on the chosen benchmarks (SVM, MLN, and variants thereof), the absolute accuracy scores (on the CORA dataset) are still relatively low (ie., not too far off random chance). The limitation appears to be the use of SVM (seemingly because it lends itself to a transductive (semi-supervised) setting - ie., where there is little labeled data, transduction is used to assign labels to data points in close promiximty to labeled points, a bit like using clustering). This is a classification task in a setting with little labeled data. Future experiments could be conducted with more recent NN approaches in place of the SVM. In addition, other NLP architectures may be better benchmarks for this particular task.",,,,
ar,K,Medical knowledge embedding based on recursive neural network for multi-disease diagnosis,JGU2SECC,10.1016/j.artmed.2019.101772,Artificial Intelligence in Medicine,2020,Decision making,"classification,
multi-label (371 labels) probalities",supervised,Using Huffman trees to build symbols and logic into a Recursive NN which can be optimized with GD.,"Knowledge-based neural network, in which nerve cells in a hidden layer consist of first-order logic.
For neural network parameter learning, a complete theoretical framework based on back-propagation was established to minimize the cross-entropy error.
",,"FOL,
Huffman tree","recursive neural knowledge network (RNKN),
recursive neural network (RNN)",compiled,4. Neuro: Symbolic → Neuro,CEMR,"text -> KG triples -> Huffman tree -> logic functions as nerve cells -> softmax,
optimized using GD/backProp","p@k,
Discounted Cummulative Gain (DCG)",[0.36 - 0.72],72.22%,"The study encodes knowledge in the form of huffman trees made of triples, and logic expressions, in order to jointly learn embeddings and model weights. The first layer consists of entities, the second layer consists of relations (x-> y). Higher layers compute logic rules. The root node is the final embedding representing a document (in this case a single health record). Softmax is used to calculate class probabilities. back propagation is used for optimization. Sub-symbolic representations are learned from symbolic features and rules iteratively.",interesting approach that would be worth trying for propaganda detection,,,
ar,K,Concept generalization and fusion for abstractive sentence generation,7YX447XS,10.1016/j.eswa.2016.01.007,Expert Systems with Applications,2016,Text summarization,generative,supervised,"Dependency parsing and wordNet provide input to a ML clasification model, the output of which is use to generate sentences based on rules.",we have addressed the problem of concepts fusion and generalization for abstractive sentence generation.,,"semantic enrichement,
dependency parsing",SVM,nested,3. Neuro; Symbolic,NLTK,sentences -> dependency parse -> generate candidates (versions) -> reduce search space using rules -> SVM to select best candidate -> generate sentence using rules,F1,0.808,77.78%,"Uses external data sources to semantically enrich text summarization. It is the application text fusion. The system benefits from an internal machine learnign module. Comparisons with other ML text summarization systems are given, however, these baselines appear to be very weak. There is no comparison with NN, or neural language models. To reasses the approach, more modern ML/DL techniques should be be considered.",,,,
ar,K,Semi-supervised learning for big social data analysis,GS3TRUYZ,10.1016/j.neucom.2017.10.010,Neurocomputing,2018,Sentiment analysis,classification,semi-supervised,The addtion of prior knowledge to bias the classification model improves the accuracy of sentiment predictions.,"AffectNet: combined ConceptNet and WNA - commonsense and emotional knowledge are melded together.
AffectNet2: AffectNet with reduced dimentionality.
a flexible framework for semisupervised learning comprising of two parts: clustering and regularized classification.",,"commonsense knowledge,
graph represenatation",SVM,cooperative,5. Neuro_Symbolic,"Pang and Lee,
AffectNet benchmark",clutering -> classification regularized by output of clustering,Accuracy,88.50%,77.78%,"The study embeds prior knowledge in the form of a graph representing concepts and relations from natural language. These are projected into multi-dimentional space and a clustering algorithm is employed to generate the solution space. Subsequently, a regularized classification algorithm is employed where the output of the clustering stage is used in the regularization term. I have classified this as Kautz category 5. However, it differs from the cat5 defition in that the regularization term is not a logic rule, but prior knowledge.",,,,
ar,K,Deepening the IDA* algorithm for knowledge graph reasoning through neural network architecture,KTEHK4MZ,10.1016/j.neucom.2020.12.040,Neurocomputing,2021,KG Completion / link prediction,classification,reinforcement ,Two phased approach combining NN and traditional path-finding techniques improves KG reasoning performance.,Deep-IDA* framework that integrates the traditional path searching algorithms IDA* and deep neural networks for KG reasoning (link prediction).,,Markov Decision Process (MDP),reinforcement learning (RL),cooperative,2. Symbolic[Neuro],"NELL-995,
WN18RR,
FB15-237
","fusion of various models that do path-finding and path-reasoning. Pathfinding combines Deepening DFS and A*, the result of which is fed to a GNN for path reasoning. There are many neural modules inside this framework including BERT, LSTM, GRU, and GCN.  ","Mean Reciprocal Rank (MRR),
Hits@K,
Mean Average Precision (MAP)",Better than all benchmarks (see tables in paper),66.67%,"While the results reported exceed SOTA, the system lacks parsimony. The computation times are not reported.",not text data,,,
ar,A,Heterogeneous graph reasoning for knowledge-grounded medical dialogue system,2PNFHS7L,10.1016/j.neucom.2021.02.021,Neurocomputing,2021,Dialog system,classification,supervised,RNN (encoder) + GAT + RNN (decoder) ,heterogeneous graph reasoning (HGR) model to unify the dialogue context understanding and entity-correlation reasoning.,,knowledge graph (KG),recurrent neural network (RNN),compiled,4. Neuro: Symbolic → Neuro,"MDG-C, MDG-D",RNN -> GAT -> RNN,"F1, Precision/recall, Bleu score",Upto 44%,77.78%,"Though it is medical application, might be useful. Heterogeneous graph reasoning model to efficiently incorporate the contextual information and domain knowledge for entity reasoning in medical dialogue. ",,,,
ar,A,Assessing cognitive alignment in different types of dialog by means of a network model,6DWCY3EC,10.1016/j.neunet.2012.02.013,Neural Networks,2012,Relation extraction,classification,semi-supervised,dialog alignment.,,,"graph representation, 
position reasoning",neural network (NN),cooperative,3. Neuro; Symbolic,"Jigsaw Map Game, Speechand  Gesture  Alignment corpus", priming and spreading activation are modeledi n terms of two layered time aligned networking,F1,Upto 91%,44.44%,"Alignment is important for idioms like (learn by hearts, ready-mades etc). But sometimes speakers create their own linguistic representations. . Whether the class of aligned dialogs can be identified across different types of dialog. A successful classification indicates a structural fingerprint left by alignment, regardless of the underlying dialog type.","dialog, 
conversation, 
graph representations of communication units as input to machine learning ",,,
ar,K,Learning to activate logic rules for textual reasoning,NB39QA35,10.1016/j.neunet.2018.06.012,Neural Networks,2018,Question answering,reasoning,reinforcement ,"Image Scheme (IS) is acquired from early life experience, which is also our hypothesis in this work
our work aims at precise reasoning, good interpretability of models, and perfect performances on small dataset","We propose a novel memory-augmented neural network framework making use of logic rules inducted from existing theories of Image Schema and Cognitive Model.
We redefine textual reasoning tasks as interactive-feedback process with human working memory. Under certain assumptions, we jointly solve two main problems: variable binding and relation activating, via deep reinforcement learning.
Our experimental results show the existence of common properties among real-world relations, and the probability to partially re-construct human logic system to boost performances on language comprehension tasks.
Variable-Relation Reasoning Machine (VRRM)

",NA,"Sequencial decision making,
predicate logic,
relational logic,
rule based,
rule induction,
cognitive linguistics","reinforcement learning (RL),
Memory Network,
neural network (NN)
",cooperative,3. Neuro; Symbolic,bAbI-20,"We redefine textual reasoning as a sequential decision-making problem, and solve it with reinforcement learning (RL).",Test error rate,0.70%,66.67%,"This work makes the hypothesis that human reasoning can be modeled by Image Schemas (IS). Schemas are made up of logical rules on (Entity1,Relation,Entitity2) tuples, such as transitivity, or inversion. Input sentences and questions are encoded as the concatenation of individual word embeddings with zero paddings. An MLP module is used to learn a set of tuples by performing simulations and utilizing Reinforcement Learning. This work is limited by the nature of the synthetic data set. It is not shown how well it might generalize to a real world scenario. There is also a limited number of schemas, and as the authors point out, future work should include additional schemas more representative of human reasoning. (See also https://arxiv.org/pdf/1706.01427.pdf from DeepMind 2017)",,,,
ar,K,Fuzzy commonsense reasoning for multimodal sentiment analysis,B47SSE6P,10.1016/j.patrec.2019.04.024,Pattern Recognition Letters,2019,Sentiment analysis,classification,supervised,multi-modal sentiment analysis. The computational cost is reduced by projecting the feature embeddings onto a 4 dimentional affective space. Accuracy is increased by the use of fuzzy rules.,"Convolutional Fuzzy Sentiment Classifier (CFSN). in this paper we use a low-dimensional RNN to classify concepts learned via deep learning. By projecting temporal features onto AffectiveSpace, we are able to interpret the features learned. Lastly, we take into account that most sentences have mixed emotions such as sarcasm that can only be modeled effectively using fuzzy membership functions. Hence, we predict the final accuracy of the classifier using fuzzy blending over each pair of simple emotions",,"fuzzy logic,
fuzzy neural network (FNN),
logical connectives","convolutional neural network (CNN),
recurrent neural network (RNN),
deep belief network (DBN)",nested,2. Symbolic[Neuro],"multiple, multi-modal",text -> NN -> n-grams -> low-dimenstion ->  RNN -> CDBN (convolutional deep belief network) -> Fuzzy Logic calssification ,Accuracy,10-20% accuracy improvement over baselines,77.78%,"Not strictly text input. Text is only part of the input, and has been converted using pretrained embeddings. sentiment analysis. includes text datasets. This pipeline includes selection of logical connectives at the input phase, and a fuzzy logic classifier at the output phase.",,,,
ar,A,A new neutrosophic TF-IDF term weighting for text mining tasks: text classification use case,ACDMDN8W,10.1108/IJWIS-11-2020-0067,International Journal of Web Information Systems,2021,Text classification,classification,supervised,Neutrosophic reasoning to analyze and generate weights for terms in natural languages.,"a new term weighting method, which uses the term frequencies as components to define the relevance and the ambiguity of term;",,"fuzzy logic,
Neutrosophy",neural network (NN),sequential,1. symbolic Neuro symbolic,"BBC News database, BBC SPORTS database, Kaagle news ","SVM, feedforward network",Area Under the Curve (AUC),Upto 97%,77.78%,"Instead of directly using TF-IDF, a new weighting method is proposed. This combines the advantages of the neutrosophic reasoning and ambiguity membership function to determine the weight for a given term from a document. ",,,,eliminated
ar,A,Question Answering Systems with Deep Learning-Based Symbolic Processing,EGI547RA,10.1109/ACCESS.2019.2948081,IEEE Access,2019,Text classification,classification,supervised,Question answering = NMT ; Embedding for symbolic ; NMT -> Seq2Seq model and Transformer ; ,Prolog-like processing system using deep learning,,symbolic processing,transformer,sequential,1. symbolic Neuro symbolic,"Kinsources, Geoquery",Tranformers,"Accuracy, Rate",Upto 99%,55.56%,They tried to build prolog like system (in terms of unification and inference) using deep learning and achieved the same using NMT. Embedding is generated with the help of word2vec n graycode. Unification is also done using word2vec.  Data is reconsutrcuted using augmentation (proper nouns  are replicated).  ,,,,
ar,K,Hierarchical Graph Transformer-Based Deep Learning Model for Large-Scale Multi-Label Text Classification,3YFVRRKE,10.1109/ACCESS.2020.2972751,IEEE Access,2020,Text classification,classification,supervised,Text -> Graph -> embedding ; attention mechanism at various levels to capture semantics,"graph-based document modeling, hierarchical transformer encoder architecture for feature extraction, and weight-directed loss for label classification.",,semantic net,"convolutional neural network (CNN),
recurrent neural network (RNN)",sequential,1. symbolic Neuro symbolic,"Reuters Corpus Volume 1, RCV1-2K, AmazonCat-13K",Graph embeddings ; CNN for feature extraction ; Transformer LSTM,"NDCG@K, p@k",Upto 95%,83.33%,"combination of graph-based document modeling and the hierarchical transformer. By capturing the logical structure in the text, performance is improved.",,,,
ar,A,Robust reasoning over heterogeneous textual information for fact verification,74QZV8X9,10.1109/ACCESS.2020.3019586,IEEE Access,2020,Fact verification,classification,supervised,KG + GNN ,Double-graph-based reasoning approach for claim verification.,,knowledge graph (KG),graph neural network (GNN),nested,2. Symbolic[Neuro],"FEVER, UKP Snopes Corpus","XLNet, Combination of knowledge graph (KG) and graph neural network (GNN), XLNet, Combination of knowledge graph (KG) and graph neural network (GNN) -> GCN + GAT ; ","F1, Accuracy",Upto 78%,72.22%,"Fact verification using pretrained embedding models ; CONTEXTUAL SEMANTIC GRAPH CONSTRUCTION G1 using AllenNLP(converts sentences into Tuples) finetuned using Wordnet -> CONTEXTUAL KNOWLEDGE GRAPH CONSTRUCTION G2 using conceptnet -> CONTEXTUAL COLLABORATIVE KNOWLEDGE GRAPH CONSTRUCTION modeled using XLNet, TransR (input - G1 + G2 output - prob )",VERY POOR QUALITY PAPER,,,
ar,K,Sentence-Level Classification Using Parallel Fuzzy Deep Learning Classifier,BAMGPUCX,10.1109/ACCESS.2021.3053917,IEEE Access,2021,Sentiment analysis,classification,supervised,"Data cleaning and preprocessing, as well as the addtion of the fuzzy logic component (MFS) significantly improves performance on sentiment analysis tasks on Twitter datsets compared to SOTA. In addition, parallelization using hadoop map reduce significantly reduces computation time.","we develop a new hybrid fuzzy-deep learning approach, that basically integrates the CNN, FFNN deep learning networks with the MFS fuzzy logic system.",NA,"fuzzy logic,
fuzzy rules,
mamdani fuzzy system (MFS)","convolutional neural network (CNN),
neural network (NN)",sequential,1. symbolic Neuro symbolic,"sentiment140, sentiment140,
COVID-19_Sentiments","TREC,
SST-1,
MR,
SST-2","F1,
Accuracy,
Precision/Recall,
True Positive Rate (TPR), True Negative Rate (TNR) or Specificity, False Positive Rate (FPR), False Negative Rate (FNR), Error Rate (ER), Precision (PR), Classification Rate or Accuracy (AC), Kappa Statistic (KS), F1-score (FS) and Time Consumption (TC)",upwards of 99% F1 and accuracy,88.89%,"A pipeline is proposed for sentence level sentiment analysis on two Twitter datasets. The pipeline comprises of data cleaning and preprocessing (this effort alone reduces the error rate by an order of magnitude), learning embeddings, CNN+FFNN for classification, and a MFS (Mandani Fuzzy System) classification step. The algorithms are implemented on hadoop map reduce. The best models achieve F1 and accuracy scores above the SOTA, as well as improve computational efficiency and cost complexity. For the MFS, the choices of linguistic terms and fuzzy rules are made manually relying on domain expertise.  It would be interesting to see how well this system performs on less emotionally charged datasets. A future neural-symbolic direction might be to learn these ""parameters"" automatically with a view to a generalizable system. 
The system doesn't fall into any of the Kautz categories, as it's not strictly speaking an integration of neuro-symnolic techniques, but rather a sequential pipeline.",,,,
cp,K,Cases without borders: Automating knowledge acquisition approach using deep autoencoders and siamese networks in case-based reasoning,2-s2.0-85081087069,10.1109/ICTAI.2019.00027,"31st IEEE International Conference on Tools with Artificial Intelligence, ICTAI 2019",2019,Question answering,recommendation,unsupervised,"This paper presents an enhanced version of DeepKAF, where a hybrid CBR approach performs automatic feature extractions and defines similarity measures across the entire textual case base.","enhancements in the DeepKAF architecture for hybrid Textual Case-based Reasoning. Using Skip-thought + MaLSTM (Manhatan siamese network).
",,case based reasoning (CBR),recurrent neural network (RNN),sequential,1. symbolic Neuro symbolic,Private,Skipthought & MaLSTM -> similarities across all cases.,p@k,,83.33%,"Improvemnet of the overall framework performance in terms of less training time, faster retrieval and more accurate results. The unsupervised approach of generating text representations beat the supervised approach. SImilarities between the learned representations and cases were more accurate. AE helped speeding up the overall model training process of and improved the overall retrieval time as well.
","I'm not sure if this can be considered Neuro-symbolic. The case base could be considered symbolic, but it's a stretch since all we are doing is comparing sub-symbolic representations.",,,
