"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IA53F6PJ","journalArticle","2020","Agnesina, Anthony; Lim, Sung Kyu; Lepercq, Etienne; Cid, Jose Escobedo Del","Improving FPGA-Based Logic Emulation Systems through Machine Learning","ACM Trans. Des. Autom. Electron. Syst.","","1084-4309","10.1145/3399595","https://doi.org/10.1145/3399595","We present a machine learning (ML) framework to improve the use of computing resources in the FPGA compilation step of a commercial FPGA-based logic emulation flow. Our ML models enable highly accurate predictability of the final place and route design qualities, runtime, and optimal mapping parameters. We identify key compilation features that may require aggressive compilation efforts using our ML models. Experiments based on our large-scale database from an industry’s emulation system show that our ML models help reduce the total number of jobs required for a given netlist by 33%. Moreover, our job scheduling algorithm based on our ML model reduces the overall time to completion of concurrent compilation runs by 24%. In addition, we propose a new method to compute “recommendations” from our ML model to perform re-partitioning of difficult partitions. Tested on a large-scale industry system on chip design, our recommendation flow provides additional 15% compile time savings for the entire system on chip. To exploit our ML model inside the time-critical multi-FPGA partitioning step, we implement it in an optimized multi-threaded representation.","2020-07","2021-07-20 15:23:37","2021-07-20 15:23:37","","","","5","25","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","emulation flow optimization with machine learning; Field programmable gate array; SoC verification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"872EWCQA","conferencePaper","2020","Hattori, Momoko; Sawada, Shimpei; Hamaji, Shinichiro; Sakai, Masahiro; Shimizu, Shunsuke","Semi-Static Type, Shape, and Symbolic Shape Inference for Dynamic Computation Graphs","Proceedings of the 4th ACM SIGPLAN International Workshop on Machine Learning and Programming Languages","978-1-4503-7996-0","","10.1145/3394450.3397465","https://doi.org/10.1145/3394450.3397465","The growing interest in deep learning has created a demand to compile computation graphs to accelerate execution and to deploy applications on various devices. Modern deep learning frameworks construct computation graphs dynamically. This gives rise to the problem of inferring types of dynamic computation graphs. Two approaches are known. One of them is a dynamic approach that constructs the computation graph from the execution trace of an actual input. While this approach is straightforward, the results of the shape inference will consist of only concrete values and is often difficult for users to interpret. The other one performs static analysis over the source program. This method can produce symbolic shape inference results but suffers from the dynamic nature of the host programming language Python. In this paper, we propose a novel approach for type, shape, and symbolic shape inference of dynamic computation graphs as a mixture of the above two methods. We present results of applying our prototype inference engine for networks written with PyTorch and demonstrate its effectiveness for nontrivial networks.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","11–19","","","","","","","MAPL 2020","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: London, UK","","","","dependent types; dynamic languages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P4VZ6K97","journalArticle","2020","Eldafrawy, Mohamed; Boutros, Andrew; Yazdanshenas, Sadegh; Betz, Vaughn","FPGA Logic Block Architectures for Efficient Deep Learning Inference","ACM Trans. Reconfigurable Technol. Syst.","","1936-7406","10.1145/3393668","https://doi.org/10.1145/3393668","Reducing the precision of deep neural network (DNN) inference accelerators can yield large efficiency gains with little or no accuracy degradation compared to half or single precision floating-point by enabling more multiplication operations per unit area. A wide range of precisions fall on the pareto-optimal curve of hardware efficiency vs. accuracy with no single precision dominating, making the variable precision capabilities of FPGAs very valuable. We propose three types of logic block architectural enhancements and fully evaluate a total of six architectures that improve the area efficiency of multiplications and additions implemented in the soft fabric. Increasing the LUT fracturability and adding two adders to the ALM (4-bit Adder Double Chain architecture) leads to a 1.5× area reduction for arithmetic heavy machine learning (ML) kernels, while increasing their speed. In addition, this architecture also reduces the logic area of general applications by 6%, while increasing the critical path delay by only 1%. However, our highest impact option, which adds a 9-bit shadow multiplier to the logic clusters, reduces the area and critical path delay of ML kernels by 2.4× and 1.2×, respectively. These large gains come at a cost of 15% logic area increase for general applications.","2020-06","2021-07-20 15:23:37","2021-07-20 15:23:37","","","","3","13","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","CAD tools; Deep neural networks; FPGA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYG2YYEK","conferencePaper","2020","Li, Ang; J. Chen, Suming; Qin, Jingzheng; Qin, Zhen","Training Machine Learning Models With Causal Logic","Companion Proceedings of the Web Conference 2020","978-1-4503-7024-0","","10.1145/3366424.3383415","https://doi.org/10.1145/3366424.3383415","Machine-learning (ML) models are ubiquitously used to make a variety of inferences, a common application being to predict and categorize user behavior. However, ML models often suffer from only being exposed to biased data – for instance, a search ranking model that uses clicks to determine how to rank will suffer from position bias. The difficulty arises due to user feedback only being observed for one treatment and not existing counterfactually for other potential treatments. In this work, we discuss a real-world situation in which a binary classification model is used in production in order to make decisions about how to treat users. We introduce the model and discuss the limitations of our modeling approach. We show that by using unit selection criterion we can do a better job classifying users. Following, we propose a causal modeling method in which we can take the existing data and use it to derive bounds that can be used to modify the objective function in order to incorporate causal learning into our training process. We demonstrate the effectiveness of this approach in a real-world setting.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","557–561","","","","","","","WWW '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Taipei, Taiwan","","","","counterfactual learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NMUCX3X","conferencePaper","2020","Ko, Heung-Kook; Park, Sena; Ryu, Jihyun; Kim, Sung Ryul; Lee, Giwon; Lee, Dongjoon; Pae, Sangwoo; Lee, Euncheol; Ji, Yongsun; Jiang, Hia; Jeong, TaeYoung; Uemura, Taiki; Kwon, Dongkyun; Do, Hyungrok; Kahng, Hyungu; Cho, Yoon Sang; Lee, Jiyoon; Kim, Seoung Bum","Early Diagnosis and Prediction of Wafer Quality Using Machine Learning on Sub-10nm Logic Technology","2020 IEEE International Reliability Physics Symposium (IRPS)","","","10.1109/IRPS45951.2020.9128932","https://doi.org/10.1109/IRPS45951.2020.9128932","This paper proposes to use machine learning (ML) methods to predict wafer quality using Fab inline measured items, DC measurements, and DVS (Dynamic Voltage Stress) at wafer sort. With developed ML approach, the predicted accuracy is more than 80% in 8 nm products used in this study. We believe this method can be further fine-tuned to help enable ICs at the high level expected for automotive systems. By assigning predictive rankings, the method also helps enable best tooling system for higher quality","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","1–5","","","","","","","","","","","IEEE Press","","","","","","","","","event-place: Dallas, TX, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Y9F6VP9","conferencePaper","2020","Jiang, Wei; Yin, Yanchao","Reasoning Algorithms for Complex Matching Features","Proceedings of the 4th International Conference on Machine Learning and Soft Computing","978-1-4503-7631-0","","10.1145/3380688.3380689","https://doi.org/10.1145/3380688.3380689","Aiming at the problem of unclear description of matching relationship between complex surfaces and insufficient consideration of feature attributes reflecting process constraints, an accurate reasoning algorithm based on topological ranking of feature matching is proposed. Based on the analysis of matching process correlation and feature attributes of typical complex surfaces, a matching topological sequencing model is constructed. The matching objects are encapsulated and topologically ranked by directed acyclic graph, and the precise reasoning among matching feature attributes is realized by using the fuzzy ideal solution. Finally, the validity of the model and the algorithm is verified by an application case.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","76–80","","","","","","","ICMLSC 2020","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Haiphong City, Viet Nam","","","","Feature Attributes; Matching Reasoning; Modular Encapsulation; Topological Sequencing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGFPQGAX","thesis","2020","Eldafrawy, Mohamed Bahaaeldin Mohamed; Anderson, Jason; Moshovos, Andreas","FPGA Logic Block Architectures for Efficient Deep Learning Inference","","","","","","Reducing the precision of deep neural networks can yield large efficiency gains with little or no accuracy degradation compared to single-precision floating-point representation. A wide range of precisions fall on the pareto-optimal curve of hardware efficiency vs. accuracy with no single precision dominating, making the variable precision capabilities of field-programmable gate arrays (FPGAs) very valuable. This thesis proposes six FPGA logic block architectures that improve the area efficiency of multiplications and additions implemented in the soft fabric. Increasing the look-up table fracturability and adding two adders to the adaptive logic module leads to a 1.5x area reduction for machine learning (ML) kernels and increases their speed, while simultaneously reducing the area of general applications by 6%. On the other hand, adding a 9-bit shadow multiplier to logic blocks reduces ML kernels' area by 2.4x and critical path delay by 1.4x, but increases the area of general applications by 15%.","2020","2021-07-20 15:23:37","2021-07-20 15:23:37","","","","","","","","","","","","","University of Toronto (Canada)","","","","PhD Thesis","","","","","ISBN: 9798662389755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XG2UA9W8","journalArticle","2020","Zermane, Hanane; Kasmi, Rached","Intelligent Industrial Process Control Based on Fuzzy Logic and Machine Learning","Int. J. Fuzzy Syst. Appl.","","2156-177X","10.4018/IJFSA.2020010104","https://doi.org/10.4018/IJFSA.2020010104","Manufacturing automation is a double-edged sword, on one hand, it increases productivity of production system, cost reduction, reliability, etc. However, on the other hand it increases the complexity of the system. This has led to the need of efficient solutions such as artificial techniques. Data and experiences are extracted from experts that usually rely on common sense when they solve problems. They also use vague and ambiguous terms. However, knowledge engineer would have difficulties providing a computer with the same level of understanding. To resolve this situation, this article proposed fuzzy logic to know how the authors can represent expert knowledge that uses fuzzy terms in supervising complex industrial processes as a first step. As a second step, adopting one of the powerful techniques of machine learning, which is Support Vector Machine (SVM), the authors want to classify data to determine state of the supervision system and learn how to supervise the process preserving habitual linguistic used by operators.","2020-01","2021-07-20 15:23:37","2021-07-20 15:23:37","","92–111","","1","9","","","","","","","","","","","","","","","","","Place: USA Publisher: IGI Global","","","","Expert Knowledge; Artificial Intelligence; Automation; Fuzzy Logic; Machine Learning Algorithms; Manufacturing; Process Control; Support Vector Machines","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHVFFANR","bookSection","2019","Dai, Wang-Zhou; Xu, Qiuling; Yu, Yang; Zhou, Zhi-Hua","Bridging Machine Learning and Logical Reasoning by Abductive Learning","Proceedings of the 33rd International Conference on Neural Information Processing Systems","","","","","Perception and reasoning are two representative abilities of intelligence that are integrated seamlessly during human problem-solving processes. In the area of artificial intelligence (AI), the two abilities are usually realised by machine learning and logic programming, respectively. However, the two categories of techniques were developed separately throughout most of the history of AI. In this paper, we present the abductive learning targeted at unifying the two AI paradigms in a mutually beneficial way, where the machine learning model learns to perceive primitive logic facts from data, while logical reasoning can exploit symbolic domain knowledge and correct the wrongly perceived facts for improving the machine learning models. Furthermore, we propose a novel approach to optimise the machine learning model and the logical reasoning model jointly. We demonstrate that by using abductive learning, machines can learn to recognise numbers and resolve unknown mathematical operations simultaneously from images of simple hand-written equations. Moreover, the learned models can be generalised to longer equations and adapted to different tasks, which is beyond the capability of state-of-the-art deep learning models.","2019","2021-07-20 15:23:37","2021-07-20 15:23:37","","","","","","","","","","","","","Curran Associates Inc.","Red Hook, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWNWRZCC","journalArticle","2019","Bentkamp, Alexander; Blanchette, Jasmin Christian; Klakow, Dietrich","A Formal Proof of the Expressiveness of Deep Learning","J. Autom. Reason.","","0168-7433","10.1007/s10817-018-9481-5","https://doi.org/10.1007/s10817-018-9481-5","Deep learning has had a profound impact on computer science in recent years, with applications to image recognition, language processing, bioinformatics, and more. Recently, Cohen et al. provided theoretical evidence for the superiority of deep learning over shallow learning. We formalized their mathematical proof using Isabelle/HOL. The Isabelle development simplifies and generalizes the original proof, while working around the limitations of the HOL type system. To support the formalization, we developed reusable libraries of formalized mathematics, including results about the matrix rank, the Borel measure, and multivariate polynomials as well as a library for tensor analysis.","2019-08","2021-07-20 15:23:38","2021-07-20 15:23:38","","347–368","","2","63","","","","","","","","","","","","","","","","","Place: Berlin, Heidelberg Publisher: Springer-Verlag","","","","Machine learning; Convolutional arithmetic circuits; Deep learning; Formalization; Isabelle/HOL; Tensors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
